table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_nonfederal
8804,r001,All states,All states,,1,"['537,619', '&nbsp;']","['466,162', '&nbsp;']","['71,457', '&nbsp;']","['28,905', '&nbsp;']","['42,552', '&nbsp;']"
8804,r002,All states -> Alabama,All states,Alabama,2,"['2,937', '&nbsp;']","['1,329', '&nbsp;']","['1,609', '&nbsp;']","['1,497', '&nbsp;']","['112', '&nbsp;']"
8804,r003,All states -> Alaska,All states,Alaska,2,"['47', 'e']","['43', 'e']","['3', '&nbsp;']","['1', 'e']","['2', '&nbsp;']"
8804,r004,All states -> Arizona,All states,Arizona,2,"['7,110', '&nbsp;']","['4,899', '&nbsp;']","['2,211', 'i']","['1,457', 'i']","['754', '&nbsp;']"
8804,r005,All states -> Arkansas,All states,Arkansas,2,"['414', '&nbsp;']","['360', '&nbsp;']","['54', '&nbsp;']","['16', '&nbsp;']","['38', '&nbsp;']"
8804,r006,All states -> California,All states,California,2,"['193,063', '&nbsp;']","['175,459', '&nbsp;']","['17,604', '&nbsp;']","['8,580', '&nbsp;']","['9,024', '&nbsp;']"
8804,r007,All states -> Colorado,All states,Colorado,2,"['7,145', '&nbsp;']","['6,042', '&nbsp;']","['1,103', '&nbsp;']","['887', '&nbsp;']","['216', '&nbsp;']"
8804,r008,All states -> Connecticut,All states,Connecticut,2,"['7,902', '&nbsp;']","['6,487', '&nbsp;']","['1,415', '&nbsp;']","['1,022', '&nbsp;']","['393', '&nbsp;']"
8804,r009,All states -> Delaware,All states,Delaware,2,"['2,499', '&nbsp;']","['1,688', '&nbsp;']","['811', '&nbsp;']","['7', '&nbsp;']","['804', '&nbsp;']"
8804,r010,All states -> District of Columbia,All states,District of Columbia,2,"['659', '&nbsp;']","['509', '&nbsp;']","['150', '&nbsp;']","['118', '&nbsp;']","['31', '&nbsp;']"
8804,r011,All states -> Florida,All states,Florida,2,"['7,885', '&nbsp;']","['5,762', '&nbsp;']","['2,122', '&nbsp;']","['1,284', 'i']","['838', '&nbsp;']"
8804,r012,All states -> Georgia,All states,Georgia,2,"['5,389', '&nbsp;']","['4,426', '&nbsp;']","['963', 'i']","['149', 'i']","['814', 'i']"
8804,r013,All states -> Hawaii,All states,Hawaii,2,"['279', '&nbsp;']","['216', '&nbsp;']","['62', '&nbsp;']","['25', '&nbsp;']","['37', '&nbsp;']"
8804,r014,All states -> Idaho,All states,Idaho,2,"['2,210', 'i']","['2,139', 'i']","['71', '&nbsp;']","['5', 'i']","['66', '&nbsp;']"
8804,r015,All states -> Illinois,All states,Illinois,2,"['14,097', '&nbsp;']","['13,415', '&nbsp;']","['683', '&nbsp;']","['101', '&nbsp;']","['582', '&nbsp;']"
