table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
3518,r001,All detailed fields,All detailed fields,,,,1,690117,100.0,408228,100.0,281889,100.0,66247,100.0,30349,100.0
3518,r002,All detailed fields -> Science,All detailed fields,Science,,,2,453691,65.7,259795,63.6,193896,68.8,38503,58.1,18819,62.0
3518,r003,All detailed fields -> Science -> Agricultural sciences,All detailed fields,Science,Agricultural sciences,,3,9518,1.4,5629,1.4,3889,1.4,1079,1.6,645,2.1
3518,r004,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,91993,13.3,38078,9.3,53915,19.1,21847,33.0,8229,27.1
3518,r005,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,5342,0.8,808,0.2,4534,1.6,1912,2.9,755,2.5
3518,r006,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,15801,2.3,8635,2.1,7166,2.5,2203,3.3,766,2.5
3518,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,9820,1.4,5241,1.3,4579,1.6,1942,2.9,622,2.0
3518,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,897,0.1,7,0.05,890,0.3,164,0.2,36,0.1
3518,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,6228,0.9,3036,0.7,3192,1.1,721,1.1,400,1.3
3518,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,3255,0.5,3157,0.8,98,0.05,87,0.1,91,0.3
3518,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,1687,0.2,392,0.1,1295,0.5,667,1.0,314,1.0
3518,r012,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,5902,0.9,927,0.2,4975,1.8,1785,2.7,579,1.9
3518,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,3510,0.5,939,0.2,2571,0.9,414,0.6,183,0.6
3518,r014,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,4692,0.7,2776,0.7,1916,0.7,285,0.4,99,0.3
3518,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,4,2663,0.4,581,0.1,2082,0.7,1472,2.2,501,1.7
