table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_united_states,field_puerto_ricoa,field_canada,field_austria,field_belgium,field_czechia,field_denmark,field_finland,field_france,field_germany,field_hungary,field_ireland,field_italy,field_luxembourg,field_netherlands,field_norway,field_poland,field_russia,field_spain,field_sweden,field_switzerland,field_turkey,field_united_kingdom,field_other_european_locations
6592,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['104,464', '']","['539', 'i']","['6,862', '']","['651', 'i']","['2,324', '']","['527', '']","['593', '']","['600', '']","['3,313', '']","['8,879', '']","['246', '']","['4,207', '']","['1,611', '']","['274', '']","['2,108', '']","['363', '']","['958', '']","['492', '']","['1,033', '']","['1,247', '']","['4,536', '']","['159', '']","['11,797', '']","['2,847', '']"
6592,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['64,351', '']","['516', 'i']","['3,610', '']","['556', 'i']","['2,020', '']","['180', '']","['375', '']","['358', '']","['2,091', '']","['6,917', '']","['96', '']","['2,281', '']","['1,109', '']","['206', '']","['1,106', '']","['260', '']","['608', '']","['256', '']","['661', '']","['639', '']","['2,946', '']","['75', '']","['5,565', '']","['1,624', '']"
6592,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['835', '']","['2', '']","['28', '']","['1', '']","['11', '']","['*', '']","['1', '']","['*', '']","['46', '']","['39', '']","['*', '']","['1', '']","['6', '']","['0', '']","['13', '']","['8', '']","['17', '']","['2', '']","['10', '']","['2', '']","['18', '']","['1', '']","['82', '']","['86', '']"
6592,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['674', '']","['0', '']","['2', '']","['0', '']","['19', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['8', '']","['32', '']","['0', '']","['0', '']","['0', '']","['*', '']","['7', '']","['*', '']","['0', '']","['362', '']","['2', '']","['40', '']","['2', '']"
6592,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['157', '']","['0', '']","['5', '']","['0', '']","['12', '']","['0', '']","['0', '']","['1', '']","['18', '']","['7', '']","['0', '']","['0', '']","['5', '']","['0', '']","['4', '']","['0', '']","['*', '']","['0', '']","['0', '']","['3', '']","['7', '']","['0', '']","['5', '']","['32', '']"
6592,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['7', '']","['0', '']","['*', '']","['0', '']","['0 - 8', '']","['0', '']","['0', '']","['0', '']","['0 - 8', '']","['*', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6592,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['101', '']","['0', '']","['53', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']","['2', '']","['14', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']","['0', '']","['1', '']","['0', '']","['0', '']","['*', '']","['1', '']","['1', '']","['4', '']","['0', '']"
6592,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['9', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['9', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6592,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['171 - 176', '']","['0', '']","['0 - 70', '']","['*', '']","['0 - 39', '']","['0', '']","['3', '']","['0', '']","['5', '']","['9', '']","['0', '']","['0', '']","['1', '']","['*', '']","['5', '']","['*', '']","['*', '']","['0', '']","['*', '']","['*', '']","['*', '']","['*', '']","['0 - 131', '']","['*', '']"
6592,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['18,568', '']","['103', '']","['789', '']","['360', 'i']","['1,631', '']","['30', '']","['119', '']","['48', '']","['711', '']","['1,128', '']","['38', '']","['1,454', '']","['319', '']","['181', '']","['398', '']","['46', '']","['100', '']","['97', '']","['324', '']","['175', '']","['1,772', '']","['57', '']","['2,224', '']","['1,041', '']"
6592,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['742', '']","['0', '']","['0 - 87', '']","['0 - 3', '']","['43', '']","['0 - 4', '']","['8', '']","['0 - 6', '']","['54', '']","['60', '']","['0 - 3', '']","['0 - 2', '']","['14', '']","['0 - 122', '']","['65', '']","['1', '']","['0 - 5', '']","['0 - 3', '']","['21', '']","['0 - 6', '']","['29', '']","['8', '']","['88', '']","['24', '']"
6592,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['523', '']","['0', '']","['0 - 87', '']","['0', '']","['23', '']","['0', '']","['0', '']","['0 - 6', '']","['10', '']","['60', '']","['0', '']","['0', '']","['0 - 16', '']","['0 - 181', '']","['24', '']","['0', '']","['1', '']","['0 - 3', '']","['2', '']","['0', '']","['1', '']","['0 - 3', '']","['15', '']","['0 - 52', '']"
