table_id,row_id,employer_location_full_path,employer_location_level_1,employer_location_level_2,employer_location_level_3,employer_location_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_science_occupations_total_median_salary,field_science_occupations_total_se,field_science_occupations_biological_agricultural_and_other_life_scientist_median_salary,field_science_occupations_biological_agricultural_and_other_life_scientist_se,field_science_occupations_computer_and_information_scientist_median_salary,field_science_occupations_computer_and_information_scientist_se,field_science_occupations_mathematical_scientist_median_salary,field_science_occupations_mathematical_scientist_se,field_science_occupations_physical_scientist_median_salary,field_science_occupations_physical_scientist_se,field_science_occupations_psychologist_median_salary,field_science_occupations_psychologist_se,field_science_occupations_social_scientist_median_salary,field_science_occupations_social_scientist_se,field_engineering_occupations_median_salary,field_engineering_occupations_se,field_s_e_related_occupations_median_salary,field_s_e_related_occupations_se,field_non_s_e_occupations_median_salary,field_non_s_e_occupations_se
3748,r001,All locations,All locations,,,1,119000,1000,106000,1500,100000,500,149000,2000,114000,2500,102000,2500,100000,500,99000,1500,130000,500,130000,500,138000,3500
3748,r002,All locations -> New England,All locations,New England,,2,126000,3500,118000,2500,111000,4000,148000,5500,124000,8000,109000,5500,108000,5500,114000,8000,142000,4000,138000,9500,150000,6000
3748,r003,All locations -> New England -> Connecticut,All locations,New England,Connecticut,3,120000,5000,109000,6000,109000,7000,143000,18000,136000,17500,97000,2000,104000,8500,116000,9000,140000,7000,110000,13500,148000,12500
3748,r004,All locations -> New England -> Maine,All locations,New England,Maine,3,85000,6500,80000,5500,81000,14000,,,,,91000,15500,95000,10000,65000,7000,,,116000,15500,93000,12500
3748,r005,All locations -> New England -> Massachusetts,All locations,New England,Massachusetts,3,133000,3000,124000,3500,117000,3500,149000,2000,129000,7000,117000,6000,112000,7000,124000,6500,146000,5500,146000,5500,160000,7500
3748,r006,All locations -> New England -> New Hampshire,All locations,New England,New Hampshire,3,119000,12000,98000,9000,81000,8500,154000,33000,S,S,124000,13500,103000,21000,73000,4000,126000,14000,121000,24000,132000,11500
3748,r007,All locations -> New England -> Rhode Island,All locations,New England,Rhode Island,3,106000,4000,104000,3500,96000,13500,,,102000,14000,105000,8000,106000,10500,112000,24000,126000,23000,109000,12500,119000,18000
3748,r008,All locations -> New England -> Vermont,All locations,New England,Vermont,3,104000,4000,89000,7500,73000,22500,,,101000,10000,68000,12000,128000,42000,89000,5000,133000,14500,186000,32500,104000,12000
3748,r009,All locations -> Middle Atlantic,All locations,Middle Atlantic,,2,122000,3000,115000,2500,109000,2500,149000,3000,138000,6500,108000,6000,100000,1500,103000,4000,125000,1500,138000,5500,149000,2000
3748,r010,All locations -> Middle Atlantic -> New Jersey,All locations,Middle Atlantic,New Jersey,3,136000,4500,130000,4500,132000,9500,149000,5500,144000,14000,129000,9500,99000,10500,105000,12000,137000,8500,145000,14000,156000,7000
3748,r011,All locations -> Middle Atlantic -> New York,All locations,Middle Atlantic,New York,3,125000,3500,114000,3500,100000,4000,160000,11000,151000,11000,102000,8000,104000,3000,104000,5000,123000,4000,139000,7000,149000,6500
3748,r012,All locations -> Middle Atlantic -> Pennsylvania,All locations,Middle Atlantic,Pennsylvania,3,110000,3500,104000,2500,107000,4500,118000,10500,119000,4000,100000,2000,94000,4000,101000,4000,120000,2500,125000,11500,144000,11000
3748,r013,All locations -> East North Central,All locations,East North Central,,2,105000,1500,98000,2000,95000,2000,122000,4000,97000,5000,94000,3000,98000,3000,90000,4500,119000,1500,119000,3000,125000,4000
3748,r014,All locations -> East North Central -> Illinois,All locations,East North Central,Illinois,3,115000,4500,101000,4000,105000,5000,125000,6500,104000,11500,96000,7500,96000,4500,94000,3500,124000,3500,130000,16500,141000,9000
