table_id,row_id,field_of_highest_degree_and_place_of_birth_full_path,field_of_highest_degree_and_place_of_birth_level_1,field_of_highest_degree_and_place_of_birth_level_2,field_of_highest_degree_and_place_of_birth_level_3,field_of_highest_degree_and_place_of_birth_hierarchy_depth,field_total,field_s_e_occupations,field_s_e_related_occupations,field_non_s_e_occupations
5592,r001,"All foreign-born college graduates, all degree fields","All foreign-born college graduates, all degree fields",,,1,8602000,2192000,1802000,4609000
5592,r002,"All foreign-born college graduates, all degree fields -> India","All foreign-born college graduates, all degree fields",India,,2,1334000,632000,239000,463000
5592,r003,"All foreign-born college graduates, all degree fields -> China","All foreign-born college graduates, all degree fields",China,,2,666000,299000,129000,238000
5592,r004,"All foreign-born college graduates, all degree fields -> Philippines","All foreign-born college graduates, all degree fields",Philippines,,2,634000,54000,277000,303000
5592,r005,"All foreign-born college graduates, all degree fields -> Mexico","All foreign-born college graduates, all degree fields",Mexico,,2,468000,59000,71000,338000
5592,r006,"All foreign-born college graduates, all degree fields -> Canada","All foreign-born college graduates, all degree fields",Canada,,2,364000,68000,53000,243000
5592,r007,"All foreign-born college graduates, all degree fields -> Germany, not specified","All foreign-born college graduates, all degree fields","Germany, not specified",,2,287000,44000,44000,198000
5592,r008,"All foreign-born college graduates, all degree fields -> South Korea","All foreign-born college graduates, all degree fields",South Korea,,2,281000,59000,68000,154000
5592,r009,"All foreign-born college graduates, all degree fields -> Vietnam","All foreign-born college graduates, all degree fields",Vietnam,,2,215000,65000,43000,107000
5592,r010,"All foreign-born college graduates, all degree fields -> Taiwan","All foreign-born college graduates, all degree fields",Taiwan,,2,178000,52000,28000,97000
5592,r011,"All foreign-born college graduates, all degree fields -> United Kingdom, not specified","All foreign-born college graduates, all degree fields","United Kingdom, not specified",,2,161000,36000,26000,100000
5592,r012,"All foreign-born college graduates, all degree fields -> Japan","All foreign-born college graduates, all degree fields",Japan,,2,143000,25000,24000,93000
5592,r013,"All foreign-born college graduates, all degree fields -> Colombia","All foreign-born college graduates, all degree fields",Colombia,,2,139000,22000,22000,96000
5592,r014,"All foreign-born college graduates, all degree fields -> Iran","All foreign-born college graduates, all degree fields",Iran,,2,135000,49000,33000,53000
5592,r015,"All foreign-born college graduates, all degree fields -> Jamaica","All foreign-born college graduates, all degree fields",Jamaica,,2,133000,8000,34000,91000
