table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_employees_total,field_employees_r_d
9687,r001,All states,All states,,1,"['23,654', '  ']","['2,132', '  ']"
9687,r002,All states -> Alabama,All states,Alabama,2,"['262', '  ']","['13', '  ']"
9687,r003,All states -> Alaska,All states,Alaska,2,"['27', '  ']","['1', '  ']"
9687,r004,All states -> Arizona,All states,Arizona,2,"['508', '  ']","['28', '  ']"
9687,r005,All states -> Arkansas,All states,Arkansas,2,"['167', '  ']","['4', '  ']"
9687,r006,All states -> California,All states,California,2,"['2,842', '  ']","['490', '  ']"
9687,r007,All states -> Colorado,All states,Colorado,2,"['454', '  ']","['41', '  ']"
9687,r008,All states -> Connecticut,All states,Connecticut,2,"['301', '  ']","['23', '  ']"
9687,r009,All states -> Delaware,All states,Delaware,2,"['79', '  ']","['7', '  ']"
9687,r010,All states -> District of Columbia,All states,District of Columbia,2,"['47', '  ']","['4', '  ']"
9687,r011,All states -> Florida,All states,Florida,2,"['1,022', '  ']","['63', '  ']"
9687,r012,All states -> Georgia,All states,Georgia,2,"['739', '  ']","['36', '  ']"
9687,r013,All states -> Hawaii,All states,Hawaii,2,"['38', '  ']","['2', '  ']"
9687,r014,All states -> Idaho,All states,Idaho,2,"['107', '  ']","['7', '  ']"
9687,r015,All states -> Illinois,All states,Illinois,2,"['1,104', '  ']","['71', '  ']"
9687,r016,All states -> Indiana,All states,Indiana,2,"['561', '  ']","['36', '  ']"
9687,r017,All states -> Iowa,All states,Iowa,2,"['278', '  ']","['18', '  ']"
9687,r018,All states -> Kansas,All states,Kansas,2,"['265', '  ']","['16', '  ']"
9687,r019,All states -> Kentucky,All states,Kentucky,2,"['345', '  ']","['9', '  ']"
9687,r020,All states -> Louisiana,All states,Louisiana,2,"['166', '  ']","['5', '  ']"
9687,r021,All states -> Maine,All states,Maine,2,"['62', '  ']","['3', '  ']"
9687,r022,All states -> Maryland,All states,Maryland,2,"['355', '  ']","['35', '  ']"
9687,r023,All states -> Massachusetts,All states,Massachusetts,2,"['522', '  ']","['96', '  ']"
9687,r024,All states -> Michigan,All states,Michigan,2,"['847', '  ']","['102', '  ']"
9687,r025,All states -> Minnesota,All states,Minnesota,2,"['503', '  ']","['45', '  ']"
9687,r026,All states -> Mississippi,All states,Mississippi,2,"['130', '  ']","['3', '  ']"
9687,r027,All states -> Missouri,All states,Missouri,2,"['378', '  ']","['21', '  ']"
9687,r028,All states -> Montana,All states,Montana,2,"['34', '  ']","['3', '  ']"
9687,r029,All states -> Nebraska,All states,Nebraska,2,"['161', '  ']","['8', '  ']"
9687,r030,All states -> Nevada,All states,Nevada,2,"['156', '  ']","['6', '  ']"
9687,r031,All states -> New Hampshire,All states,New Hampshire,2,"['90', '  ']","['14', '  ']"
9687,r032,All states -> New Jersey,All states,New Jersey,2,"['660', '  ']","['67', '  ']"
9687,r033,All states -> New Mexico,All states,New Mexico,2,"['61', '  ']","['3', '  ']"
9687,r034,All states -> New York,All states,New York,2,"['822', '  ']","['92', '  ']"
9687,r035,All states -> North Carolina,All states,North Carolina,2,"['784', '  ']","['58', '  ']"
9687,r036,All states -> North Dakota,All states,North Dakota,2,"['49', '  ']","['3', '  ']"
9687,r037,All states -> Ohio,All states,Ohio,2,"['899', '  ']","['61', '  ']"
9687,r038,All states -> Oklahoma,All states,Oklahoma,2,"['176', '  ']","['9', '  ']"
9687,r039,All states -> Oregon,All states,Oregon,2,"['299', '  ']","['32', '  ']"
9687,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['836', '  ']","['71', '  ']"
9687,r041,All states -> Rhode Island,All states,Rhode Island,2,"['44', '  ']","['3', '  ']"
9687,r042,All states -> South Carolina,All states,South Carolina,2,"['275', '  ']","['12', '  ']"
9687,r043,All states -> South Dakota,All states,South Dakota,2,"['50', '  ']","['3', '  ']"
9687,r044,All states -> Tennessee,All states,Tennessee,2,"['515', '  ']","['20', '  ']"
9687,r045,All states -> Texas,All states,Texas,2,"['1,976', '  ']","['127', '  ']"
9687,r046,All states -> Utah,All states,Utah,2,"['250', '  ']","['23', '  ']"
9687,r047,All states -> Vermont,All states,Vermont,2,"['31', '  ']","['2', '  ']"
9687,r048,All states -> Virginia,All states,Virginia,2,"['568', '  ']","['52', '  ']"
9687,r049,All states -> Washington,All states,Washington,2,"['724', '  ']","['152', '  ']"
9687,r050,All states -> West Virginia,All states,West Virginia,2,"['69', '  ']","['3', '  ']"
9687,r051,All states -> Wisconsin,All states,Wisconsin,2,"['546', '  ']","['45', '  ']"
9687,r052,All states -> Wyoming,All states,Wyoming,2,"['18', '  ']","['1', '  ']"
9687,r053,All states -> Undistributed<sup>a</sup>,All states,Undistributed<sup>a</sup>,2,"['1,451', '  ']","['84', '  ']"
