table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_biological_aspects,field_social_aspects,field_other_psychological_sciences
3887,r001,All agencies,All agencies,,,,1,1366066.7,16077.3,10599.7,1339389.7
3887,r002,All agencies -> Departments,All agencies,Departments,,,2,,,,
3887,r003,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,3,36752.6,4929.4,2266.9,29556.3
3887,r004,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,4,850.2,0.0,386.7,463.5
3887,r005,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,4,17703.6,0.0,0.0,17703.6
3887,r006,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,4,13690.3,3049.3,0.0,10641.0
3887,r007,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,4,4508.5,1880.1,1880.2,748.2
3887,r008,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,3,1247598.6,0.0,0.0,1247598.6
3887,r009,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,4,1247598.6,0.0,0.0,1247598.6
3887,r010,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,3,1436.1,0.0,886.8,549.3
3887,r011,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,4,1436.1,0.0,886.8,549.3
3887,r012,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,3,44037.1,0.0,0.0,44037.1
3887,r013,All agencies -> Other agencies,All agencies,Other agencies,,,2,,,,
3887,r014,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,3,36242.3,11148.0,7445.9,17648.4
