table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_hierarchy_depth,field_all_federal_obligations,field_r_da_total,field_r_da_research,field_r_da_advanced_technology_development,field_r_da_major_systems_development,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11226,r001,All agencies,All agencies,,,1,44628417,41303924,2458641,1287520,753806,512849,17885,1942928,850831
11226,r002,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,,2,1905757,1184208,na,na,na,0,0,139826,581724
11226,r003,All agencies -> Department of Commerce,All agencies,Department of Commerce,,2,513921,417646,na,na,na,0,0,33430,62846
11226,r004,All agencies -> Department of Defense,All agencies,Department of Defense,,2,4528476,4499967,2458641,1287520,753806,0,11885,853,15771
11226,r005,All agencies -> Department of Defense -> Department of the Air Force,All agencies,Department of Defense,Department of the Air Force,3,759525,731016,584810,30046,116160,0,11885,853,15771
11226,r006,All agencies -> Department of Defense -> Department of the Army,All agencies,Department of Defense,Department of the Army,3,586806,586806,398152,103332,85322,0,0,0,0
11226,r007,All agencies -> Department of Defense -> Department of the Navy,All agencies,Department of Defense,Department of the Navy,3,1189586,1189586,730135,100771,358680,0,0,0,0
11226,r008,All agencies -> Department of Defense -> Other Department of Defense,All agencies,Department of Defense,Other Department of Defense,3,1992558,1992558,745544,1053371,193644,0,0,0,0
11226,r009,All agencies -> Department of Education,All agencies,Department of Education,,2,195882,191852,na,na,na,0,0,0,4030
11226,r010,All agencies -> Department of Energy,All agencies,Department of Energy,,2,1477289,1476523,na,na,na,66,0,0,700
11226,r011,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,,2,26694087,25303729,na,na,na,157980,0,1136253,96124
11226,r012,All agencies -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Department of Health and Human Services,Administration for Children and Families,3,1800,1800,na,na,na,0,0,0,0
11226,r013,All agencies -> Department of Health and Human Services -> Administration for Community Living,All agencies,Department of Health and Human Services,Administration for Community Living,3,77027,77027,na,na,na,0,0,0,0
11226,r014,All agencies -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Department of Health and Human Services,Agency for Healthcare Research and Quality,3,96014,96014,na,na,na,0,0,0,0
11226,r015,All agencies -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,3,7529,7529,na,na,na,0,0,0,0
11226,r016,All agencies -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,3,46150,46150,na,na,na,0,0,0,0
11226,r017,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,3,248510,248510,na,na,na,0,0,0,0
11226,r018,All agencies -> Department of Health and Human Services -> Centers for Medicare and Medicaid Services,All agencies,Department of Health and Human Services,Centers for Medicare and Medicaid Services,3,2081,2081,na,na,na,0,0,0,0
11226,r019,All agencies -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Department of Health and Human Services,Food and Drug Administration,3,82155,82155,na,na,na,0,0,0,0
11226,r020,All agencies -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Department of Health and Human Services,Health Resources and Services Administration,3,432303,27240,na,na,na,0,0,405063,0
11226,r021,All agencies -> Department of Health and Human Services -> National Institutes of Health,All agencies,Department of Health and Human Services,National Institutes of Health,3,25700070,24714775,na,na,na,157980,0,731190,96124
11226,r022,All agencies -> Department of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Department of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,3,447,447,na,na,na,0,0,0,0
11226,r023,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,,2,19995,19995,na,na,na,0,0,0,0
11226,r024,All agencies -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Department of Homeland Security,Science and Technology Directorate,3,19995,19995,na,na,na,0,0,0,0
11226,r025,All agencies -> Department of the Interior,All agencies,Department of the Interior,,2,60960,60960,na,na,na,0,0,0,0
11226,r026,All agencies -> Department of Justice,All agencies,Department of Justice,,2,21103,21103,na,na,na,0,0,0,0
11226,r027,All agencies -> Department of Transportation,All agencies,Department of Transportation,,2,126355,116819,na,na,na,831,6000,1582,1123
11226,r028,All agencies -> Other agencies,All agencies,Other agencies,,2,,,,,,,,,
11226,r029,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,3,53831,53831,na,na,na,0,0,0,0
11226,r030,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,3,162,162,na,na,na,0,0,0,0
11226,r031,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,3,33058,33058,na,na,na,0,0,0,0
11226,r032,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,3,2057512,2057512,na,na,na,0,0,0,0
11226,r033,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,3,6920665,5847197,na,na,na,353971,0,630984,88514
11226,r034,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,3,15537,15537,na,na,na,0,0,0,0
11226,r035,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,3,3825,3825,na,na,na,0,0,0,0
