table_id,row_id,_b_core_based_statistical_area_b_full_path,_b_core_based_statistical_area_b_level_1,_b_core_based_statistical_area_b_level_2,_b_core_based_statistical_area_b_hierarchy_depth,field_cbsa_code,field_total_business_r_d_performance,field_gdp,field_r_d_gdp
4157,r001,Domestic U.S. total,Domestic U.S. total,,1,-,"['    441,036 ', '&#160;']","['    20,463,457 ', '&#160;']","['0.022', '&#160;']"
4157,r002,"Domestic U.S. total -> San Jose-Sunnyvale-Santa Clara, CA",Domestic U.S. total,"San Jose-Sunnyvale-Santa Clara, CA",2,41940,"['67,394', '&#160;']","['    331,020 ', '&#160;']","['0.204', '&#160;']"
4157,r003,"Domestic U.S. total -> San Francisco-Oakland-Berkeley, CA",Domestic U.S. total,"San Francisco-Oakland-Berkeley, CA",2,41860,"['40,364', '&#160;']","['    548,613 ', '&#160;']","['0.074', '&#160;']"
4157,r004,"Domestic U.S. total -> New York-Newark-Jersey City, NY-NJ-PA",Domestic U.S. total,"New York-Newark-Jersey City, NY-NJ-PA",2,35620,"['29,782', '&#160;']","['    1,772,320 ', '&#160;']","['0.017', '&#160;']"
4157,r005,"Domestic U.S. total -> Seattle-Tacoma-Bellevue, WA",Domestic U.S. total,"Seattle-Tacoma-Bellevue, WA",2,42660,"['29,321', '&#160;']","['    392,037 ', '&#160;']","['0.075', '&#160;']"
4157,r006,"Domestic U.S. total -> Boston-Cambridge-Newton, MA-NH",Domestic U.S. total,"Boston-Cambridge-Newton, MA-NH",2,14460,"['25,458', '&#160;']","['    463,571 ', '&#160;']","['0.055', '&#160;']"
4157,r007,"Domestic U.S. total -> Detroit-Warren-Dearborn, MI",Domestic U.S. total,"Detroit-Warren-Dearborn, MI",2,19820,"['17,943', '&#160;']","['    267,731 ', '&#160;']","['0.067', '&#160;']"
4157,r008,"Domestic U.S. total -> Los Angeles-Long Beach-Anaheim, CA",Domestic U.S. total,"Los Angeles-Long Beach-Anaheim, CA",2,31080,"['16,565', '&#160;']","['    1,047,661 ', '&#160;']","['0.016', '&#160;']"
4157,r009,"Domestic U.S. total -> San Diego-Chula Vista-Carlsbad, CA",Domestic U.S. total,"San Diego-Chula Vista-Carlsbad, CA",2,41740,"['12,445', 'i']","['    245,139 ', '&#160;']","['0.051', '&#160;']"
4157,r010,"Domestic U.S. total -> Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Domestic U.S. total,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,37980,"['11,780', '&#160;']","['    444,148 ', '&#160;']","['0.027', '&#160;']"
4157,r011,"Domestic U.S. total -> Chicago-Naperville-Elgin, IL-IN-WI",Domestic U.S. total,"Chicago-Naperville-Elgin, IL-IN-WI",2,16980,"['10,678', '&#160;']","['    689,465 ', '&#160;']","['0.015', '&#160;']"
4157,r012,"Domestic U.S. total -> Portland-Vancouver-Hillsboro, OR-WA",Domestic U.S. total,"Portland-Vancouver-Hillsboro, OR-WA",2,38900,"['8,451', '&#160;']","['    164,420 ', '&#160;']","['0.051', '&#160;']"
