table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_paid_for_by_others_and_performed_by_the_company,field_depreciation,field_capital_expenditures_related_to_r_da,field_adjusted_domestic_r_d_paid_for_by_the_company_and_others,field_change_amount,field_change_percent
8791,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['71,457', '&nbsp;']","['2,414', '&nbsp;']","['0', '&nbsp;']","['69,043', '&nbsp;']","['-2,414', '&nbsp;']","['-3.4', '&nbsp;']"
8791,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['43,848', '&nbsp;']","['1,426', '&nbsp;']","['0', '&nbsp;']","['42,423', '&nbsp;']","['-1,426', '&nbsp;']","['-3.3', '&nbsp;']"
8791,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['254', '&nbsp;']","['13', '&nbsp;']","['0', '&nbsp;']","['241', '&nbsp;']","['-13', '&nbsp;']","['-5.2', '&nbsp;']"
8791,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['121', '&nbsp;']","['7', '&nbsp;']","['0', '&nbsp;']","['114', '&nbsp;']","['-7', '&nbsp;']","['-5.7', '&nbsp;']"
8791,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['9', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['9', '&nbsp;']","['-1', '&nbsp;']","['-5.6', '&nbsp;']"
8791,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['3', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['-0.8', '&nbsp;']"
8791,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8791,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['1', '&nbsp;']","['*', 'i']","['-0.4', '&nbsp;']"
8791,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['89 - 103', '&nbsp;']","['0 - 21', '&nbsp;']","['0', '&nbsp;']","['69 - 97', '&nbsp;']","[' -22 - -5', '&nbsp;']","['D', '&nbsp;']"
8791,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['11,675', '&nbsp;']","['746', '&nbsp;']","['0', '&nbsp;']","['10,929', '&nbsp;']","['-746', '&nbsp;']","['-6.4', '&nbsp;']"
8791,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['171', '&nbsp;']","['11', '&nbsp;']","['0', '&nbsp;']","['160', '&nbsp;']","['-11', '&nbsp;']","['-6.3', '&nbsp;']"
8791,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['73', '&nbsp;']","['9', '&nbsp;']","['0', '&nbsp;']","['64', '&nbsp;']","['-9', '&nbsp;']","['-12.4', '&nbsp;']"
8791,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['284 - 291', '&nbsp;']","['18', '&nbsp;']","['0', '&nbsp;']","['266 - 273', '&nbsp;']","['-18', '&nbsp;']","['D', '&nbsp;']"
