table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_number,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_percent,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_number,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
10695,r001,All detailed fields,All detailed fields,,,,,1,297223,100.0,21318,100.0,751,100.0,20553,100.0,12618,100.0,197,100.0,107445,100.0,7329,100.0,8083,100.0,118929,100.0
10695,r002,All detailed fields -> Science,All detailed fields,Science,,,,2,206183,69.4,16549,77.6,583,77.6,14336,69.8,8904,70.6,155,78.7,80702,75.1,5517,75.3,5986,74.1,73451,61.8
10695,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,,3,4647,1.6,242,1.1,10,1.3,129,0.6,93,0.7,1,0.5,1804,1.7,64,0.9,77,1.0,2227,1.9
10695,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,,4,4145,1.4,217,1.0,10,1.3,112,0.5,80,0.6,1,0.5,1594,1.5,53,0.7,62,0.8,2016,1.7
10695,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,,4,502,0.2,25,0.1,0,0.0,17,0.1,13,0.1,0,0.0,210,0.2,11,0.2,15,0.2,211,0.2
10695,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,,3,59638,20.1,5738,26.9,146,19.4,5423,26.4,2606,20.7,54,27.4,26223,24.4,1846,25.2,1721,21.3,15881,13.4
10695,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,,4,4994,1.7,512,2.4,19,2.5,430,2.1,193,1.5,6,3.0,2172,2.0,171,2.3,86,1.1,1405,1.2
10695,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,,4,7600,2.6,702,3.3,20,2.7,486,2.4,290,2.3,6,3.0,3428,3.2,236,3.2,189,2.3,2243,1.9
10695,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,,4,5155,1.7,489,2.3,14,1.9,522,2.5,305,2.4,3,1.5,2185,2.0,145,2.0,151,1.9,1341,1.1
10695,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,,4,887,0.3,85,0.4,0,0.0,113,0.5,20,0.2,0,0.0,348,0.3,31,0.4,15,0.2,275,0.2
