table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
9932,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,696624562,311066576,348675628,6284071,12340267,15884092,2373928
9932,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,12081222,5924342,5991928,24878,140074,0,0
9932,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,11600345,3986600,4552345,3061400,0,0,0
9932,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,2039798,1373027,666771,0,0,0,0
9932,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,220653,72026,148627,0,0,0,0
9932,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,87712398,4297472,83243088,171838,0,0,0
9932,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,9393492,2130681,7132723,0,70000,88,60000
9932,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,28200758,11521538,16679220,0,0,0,0
9932,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,1568167,456801,1111366,0,0,0,0
9932,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,4320240,3165443,1121627,0,33170,0,0
9932,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,51395556,14754507,32842033,8262,49905,3400905,339944
9932,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,2884258,2831735,52523,0,0,0,0
9932,r013,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,201790,201790,0,0,0,0,0
9932,r014,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,7278248,5902655,896502,377471,24002,77618,0
9932,r015,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,554067,0,554067,0,0,0,0
9932,r016,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,660237,508583,151654,0,0,0,0
9932,r017,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,2912086,1624451,1178624,0,109011,0,0
9932,r018,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,1500273,943443,530445,0,0,0,26385
9932,r019,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,4434431,3020549,1413882,0,0,0,0
9932,r020,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,10033831,7470302,2563529,0,0,0,0
9932,r021,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,12208306,9340175,2060192,12860,776163,18916,0
9932,r022,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,864022,529240,324782,0,10000,0,0
9932,r023,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,2,1636998,658878,678120,300000,0,0,0
9932,r024,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,2,254848,91827,163021,0,0,0,0
9932,r025,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,2,3038564,1281478,1757086,0,0,0,0
9932,r026,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,2,2820168,1632029,498878,689261,0,0,0
9932,r027,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,2,4338958,1457390,2881568,0,0,0,0
9932,r028,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,2,3400729,2613939,737128,0,49662,0,0
9932,r029,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,2,2114433,719735,1359781,0,34917,0,0
9932,r030,United States<sup>a</sup> -> Nevada,United States<sup>a</sup>,Nevada,2,208642,148642,60000,0,0,0,0
9932,r031,United States<sup>a</sup> -> New Hampshire,United States<sup>a</sup>,New Hampshire,2,136953,109562,27391,0,0,0,0
9932,r032,United States<sup>a</sup> -> New Jersey,United States<sup>a</sup>,New Jersey,2,3317395,762485,2554910,0,0,0,0
9932,r033,United States<sup>a</sup> -> New Mexico,United States<sup>a</sup>,New Mexico,2,1110427,776670,228230,0,105527,0,0
9932,r034,United States<sup>a</sup> -> New York,United States<sup>a</sup>,New York,2,274950816,151764801,99285878,1006453,8746312,12386565,1760807
9932,r035,United States<sup>a</sup> -> North Carolina,United States<sup>a</sup>,North Carolina,2,17505611,1355313,16150298,0,0,0,0
9932,r036,United States<sup>a</sup> -> North Dakota,United States<sup>a</sup>,North Dakota,2,131121,123520,7601,0,0,0,0
9932,r037,United States<sup>a</sup> -> Ohio,United States<sup>a</sup>,Ohio,2,1106388,688488,417900,0,0,0,0
9932,r038,United States<sup>a</sup> -> Oklahoma,United States<sup>a</sup>,Oklahoma,2,1946574,1492331,454243,0,0,0,0
9932,r039,United States<sup>a</sup> -> Oregon,United States<sup>a</sup>,Oregon,2,16703743,11475817,4894743,333183,0,0,0
9932,r040,United States<sup>a</sup> -> Pennsylvania,United States<sup>a</sup>,Pennsylvania,2,13041479,6303696,6675313,10000,52470,0,0
9932,r041,United States<sup>a</sup> -> Rhode Island,United States<sup>a</sup>,Rhode Island,2,5438324,4031620,1406704,0,0,0,0
9932,r042,United States<sup>a</sup> -> South Carolina,United States<sup>a</sup>,South Carolina,2,29595672,20543123,8933808,45337,1612,0,71792
9932,r043,United States<sup>a</sup> -> South Dakota,United States<sup>a</sup>,South Dakota,2,237313,221635,15678,0,0,0,0
9932,r044,United States<sup>a</sup> -> Tennessee,United States<sup>a</sup>,Tennessee,2,314273,151913,162360,0,0,0,0
9932,r045,United States<sup>a</sup> -> Texas,United States<sup>a</sup>,Texas,2,2368161,1147877,1220284,0,0,0,0
9932,r046,United States<sup>a</sup> -> Utah,United States<sup>a</sup>,Utah,2,6375939,328742,6047197,0,0,0,0
9932,r047,United States<sup>a</sup> -> Vermont,United States<sup>a</sup>,Vermont,2,1170646,1116130,54516,0,0,0,0
9932,r048,United States<sup>a</sup> -> Virginia,United States<sup>a</sup>,Virginia,2,15546707,5899348,9532359,0,0,0,115000
