table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
9863,r001,All states,All states,,1,"['6,124,669', '&nbsp;']","['4,550,744', '&nbsp;']","['179,119', '&nbsp;']","['270,888', '&nbsp;']","['16,580', '&nbsp;']","['7,685', '&nbsp;']","['26,720', '&nbsp;']","['1,004,852', '&nbsp;']","['63,157', '&nbsp;']","['4,923', '&nbsp;']"
9863,r002,All states -> Alabama,All states,Alabama,2,"['27,599', '&nbsp;']","['18,371', '&nbsp;']","['0', '&nbsp;']","['2,711', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['6,517', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r003,All states -> Alaska,All states,Alaska,2,"['826', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['44', '&nbsp;']","['0', '&nbsp;']","['345', '&nbsp;']","['0', '&nbsp;']","['437', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r004,All states -> Arizona,All states,Arizona,2,"['88,693', '&nbsp;']","['66,849', '&nbsp;']","['9,015', 'r']","['3,175', '&nbsp;']","['83', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['9,137', '&nbsp;']","['0', '&nbsp;']","['433', 'r']"
9863,r005,All states -> Arkansas,All states,Arkansas,2,"['19,073', '&nbsp;']","['16,580', '&nbsp;']","['0', '&nbsp;']","['1,362', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,131', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r006,All states -> California,All states,California,2,"['2,012,984', '&nbsp;']","['1,366,577', '&nbsp;']","['99,861', '&nbsp;']","['83,999', '&nbsp;']","['5,892', '&nbsp;']","['991', 'r']","['16,770', '&nbsp;']","['405,457', 'r']","['32,619', 'r']","['818', 'r']"
9863,r007,All states -> Colorado,All states,Colorado,2,"['234,304', '&nbsp;']","['184,814', '&nbsp;']","['594', 'r']","['19,231', '&nbsp;']","['0', '&nbsp;']","['536', '&nbsp;']","['838', 'r']","['26,099', '&nbsp;']","['2,192', '&nbsp;']","['0', '&nbsp;']"
9863,r008,All states -> Connecticut,All states,Connecticut,2,"['48,150', '&nbsp;']","['34,231', '&nbsp;']","['2,007', 'r']","['604', '&nbsp;']","['45', '&nbsp;']","['68', 'r']","['1,395', '&nbsp;']","['9,709', '&nbsp;']","['7', '&nbsp;']","['84', 'r']"
9863,r009,All states -> Delaware,All states,Delaware,2,"['69,107', '&nbsp;']","['46,860', '&nbsp;']","['8,216', '&nbsp;']","['2,018', 'r']","['12', 'r']","['15', '&nbsp;']","['0', '&nbsp;']","['11,795', 'r']","['193', 'r']","['0', '&nbsp;']"
9863,r010,All states -> District of Columbia,All states,District of Columbia,2,"['17,781', '&nbsp;']","['12,813', '&nbsp;']","['1,898', '&nbsp;']","['1,391', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,678', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r011,All states -> Florida,All states,Florida,2,"['281,389', '&nbsp;']","['199,663', '&nbsp;']","['0', '&nbsp;']","['10,611', '&nbsp;']","['711', 'r']","['590', '&nbsp;']","['0', '&nbsp;']","['68,067', 'r']","['1,549', 'r']","['198', '&nbsp;']"
9863,r012,All states -> Georgia,All states,Georgia,2,"['96,196', '&nbsp;']","['70,475', '&nbsp;']","['0', '&nbsp;']","['9,078', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['16,523', '&nbsp;']","['119', 'r']","['0', '&nbsp;']"
9863,r013,All states -> Hawaii,All states,Hawaii,2,"['2,953', '&nbsp;']","['2,953', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r014,All states -> Idaho,All states,Idaho,2,"['18,782', 'r']","['18,325', 'r']","['0', '&nbsp;']","['5', '&nbsp;']","['235', '&nbsp;']","['88', '&nbsp;']","['0', '&nbsp;']","['54', '&nbsp;']","['8', '&nbsp;']","['67', '&nbsp;']"
9863,r015,All states -> Illinois,All states,Illinois,2,"['150,100', '&nbsp;']","['127,212', '&nbsp;']","['2,019', 'r']","['1,343', '&nbsp;']","['0', '&nbsp;']","['62', '&nbsp;']","['0', '&nbsp;']","['15,413', '&nbsp;']","['4,051', 'r']","['0', '&nbsp;']"
9863,r016,All states -> Indiana,All states,Indiana,2,"['62,734', '&nbsp;']","['45,816', '&nbsp;']","['5,899', 'r']","['4,292', 'r']","['3,229', '&nbsp;']","['228', 'r']","['0', '&nbsp;']","['3,077', '&nbsp;']","['193', 'r']","['0', '&nbsp;']"
9863,r017,All states -> Iowa,All states,Iowa,2,"['18,990', '&nbsp;']","['13,102', '&nbsp;']","['1,296', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['4,032', '&nbsp;']","['361', '&nbsp;']","['199', 'r']"
9863,r018,All states -> Kansas,All states,Kansas,2,"['23,961', '&nbsp;']","['15,431', '&nbsp;']","['0', '&nbsp;']","['3,756', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['1,435', 'r']","['3,338', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r019,All states -> Kentucky,All states,Kentucky,2,"['25,048', '&nbsp;']","['18,740', '&nbsp;']","['0', '&nbsp;']","['900', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['5,129', '&nbsp;']","['279', 'r']","['0', '&nbsp;']"
9863,r020,All states -> Louisiana,All states,Louisiana,2,"['5,739', '&nbsp;']","['3,398', 'r']","['0', '&nbsp;']","['67', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1,368', '&nbsp;']","['906', '&nbsp;']","['0', '&nbsp;']"
9863,r021,All states -> Maine,All states,Maine,2,"['8,666', '&nbsp;']","['7,012', '&nbsp;']","['166', '&nbsp;']","['1,059', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['429', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r022,All states -> Maryland,All states,Maryland,2,"['172,731', '&nbsp;']","['108,654', '&nbsp;']","['8,081', '&nbsp;']","['9,808', 'r']","['765', 'r']","['903', '&nbsp;']","['501', '&nbsp;']","['41,262', '&nbsp;']","['2,756', '&nbsp;']","['0', '&nbsp;']"
9863,r023,All states -> Massachusetts,All states,Massachusetts,2,"['278,140', '&nbsp;']","['219,594', '&nbsp;']","['1,957', 'r']","['10,674', '&nbsp;']","['201', '&nbsp;']","['169', 'r']","['2,616', '&nbsp;']","['41,361', '&nbsp;']","['110', '&nbsp;']","['1,458', 'r']"
9863,r024,All states -> Michigan,All states,Michigan,2,"['102,184', '&nbsp;']","['90,822', '&nbsp;']","['0', '&nbsp;']","['523', 'r']","['0', '&nbsp;']","['192', 'r']","['0', '&nbsp;']","['9,687', '&nbsp;']","['961', '&nbsp;']","['0', '&nbsp;']"
9863,r025,All states -> Minnesota,All states,Minnesota,2,"['128,300', '&nbsp;']","['111,347', '&nbsp;']","['852', '&nbsp;']","['7,038', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['8,935', 'r']","['128', '&nbsp;']","['0', '&nbsp;']"
9863,r026,All states -> Mississippi,All states,Mississippi,2,"['7,556', '&nbsp;']","['6,973', '&nbsp;']","['0', '&nbsp;']","['165', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['418', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r027,All states -> Missouri,All states,Missouri,2,"['32,212', '&nbsp;']","['27,132', '&nbsp;']","['0', '&nbsp;']","['1,237', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['3,843', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r028,All states -> Montana,All states,Montana,2,"['14,611', '&nbsp;']","['11,679', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2,893', '&nbsp;']","['38', '&nbsp;']","['0', '&nbsp;']"
9863,r029,All states -> Nebraska,All states,Nebraska,2,"['7,014', '&nbsp;']","['5,656', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['201', 'r']","['1,157', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9863,r030,All states -> Nevada,All states,Nevada,2,"['43,669', '&nbsp;']","['35,461', '&nbsp;']","['0', '&nbsp;']","['981', 'r']","['179', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['6,732', 'r']","['316', 'r']","['0', '&nbsp;']"
