table_id,row_id,_b_field_and_sex_b_full_path,_b_field_and_sex_b_level_1,_b_field_and_sex_b_level_2,_b_field_and_sex_b_level_3,_b_field_and_sex_b_hierarchy_depth,field_1992_number,field_1992_percent,field_1997_number,field_1997_percent,field_2002_number,field_2002_percent,field_2007_number,field_2007_percent,field_2012_number,field_2012_percent,field_2017_number,field_2017_percent,field_2022_number,field_2022_percent
9463,r001,All fields<sup>a</sup>,All fields<sup>a</sup>,,,1,38886,100.0,42539,100.0,40031,100.0,48132,100.0,50943,100.0,54552,100.0,57596,100.0
9463,r002,All fields<sup>a</sup> -> Male,All fields<sup>a</sup>,Male,,2,24232,62.3,24942,58.6,21806,54.5,26202,54.4,27362,53.7,29446,54.0,30522,53.0
9463,r003,All fields<sup>a</sup> -> Female,All fields<sup>a</sup>,Female,,2,14435,37.1,17242,40.5,18140,45.3,21904,45.5,23526,46.2,25084,46.0,27069,47.0
9463,r004,All fields<sup>a</sup> -> Life sciences<sup>b</sup>,All fields<sup>a</sup>,Life sciences<sup>b</sup>,,2,7172,100.0,8421,100.0,8478,100.0,10702,100.0,11964,100.0,12554,100.0,13211,100.0
9463,r005,All fields<sup>a</sup> -> Life sciences<sup>b</sup> -> Male,All fields<sup>a</sup>,Life sciences<sup>b</sup>,Male,3,4322,60.3,4613,54.8,4443,52.4,5197,48.6,5335,44.6,5662,45.1,5729,43.4
9463,r006,All fields<sup>a</sup> -> Life sciences<sup>b</sup> -> Female,All fields<sup>a</sup>,Life sciences<sup>b</sup>,Female,3,2819,39.3,3752,44.6,4022,47.4,5497,51.4,6614,55.3,6887,54.9,7482,56.6
9463,r007,All fields<sup>a</sup> -> Physical sciences and earth sciences,All fields<sup>a</sup>,Physical sciences and earth sciences,,2,4517,100.0,4550,100.0,3875,100.0,4956,100.0,5419,100.0,6082,100.0,6649,100.0
9463,r008,All fields<sup>a</sup> -> Physical sciences and earth sciences -> Male,All fields<sup>a</sup>,Physical sciences and earth sciences,Male,3,3545,78.5,3489,76.7,2812,72.6,3447,69.6,3684,68.0,4103,67.5,4300,64.7
9463,r009,All fields<sup>a</sup> -> Physical sciences and earth sciences -> Female,All fields<sup>a</sup>,Physical sciences and earth sciences,Female,3,941,20.8,1033,22.7,1059,27.3,1508,30.4,1730,31.9,1978,32.5,2349,35.3
9463,r010,All fields<sup>a</sup> -> Mathematics and computer sciences,All fields<sup>a</sup>,Mathematics and computer sciences,,2,1927,100.0,2032,100.0,1729,100.0,3042,100.0,3496,100.0,3842,100.0,4854,100.0
9463,r011,All fields<sup>a</sup> -> Mathematics and computer sciences -> Male,All fields<sup>a</sup>,Mathematics and computer sciences,Male,3,1588,82.4,1594,78.4,1290,74.6,2307,75.8,2638,75.5,2906,75.6,3569,73.5
9463,r012,All fields<sup>a</sup> -> Mathematics and computer sciences -> Female,All fields<sup>a</sup>,Mathematics and computer sciences,Female,3,325,16.9,413,20.3,433,25.0,734,24.1,855,24.5,935,24.3,1285,26.5
9463,r013,All fields<sup>a</sup> -> Psychology and social sciences,All fields<sup>a</sup>,Psychology and social sciences,,2,6562,100.0,7369,100.0,6925,100.0,7309,100.0,8498,100.0,9034,100.0,9235,100.0
9463,r014,All fields<sup>a</sup> -> Psychology and social sciences -> Male,All fields<sup>a</sup>,Psychology and social sciences,Male,3,3386,51.6,3441,46.7,3083,44.5,3028,41.4,3539,41.6,3718,41.2,3593,38.9
9463,r015,All fields<sup>a</sup> -> Psychology and social sciences -> Female,All fields<sup>a</sup>,Psychology and social sciences,Female,3,3144,47.9,3858,52.4,3829,55.3,4278,58.5,4955,58.3,5312,58.8,5641,61.1
9463,r016,All fields<sup>a</sup> -> Engineering,All fields<sup>a</sup>,Engineering,,2,5438,100.0,6114,100.0,5081,100.0,7749,100.0,8469,100.0,9776,100.0,11530,100.0
9463,r017,All fields<sup>a</sup> -> Engineering -> Male,All fields<sup>a</sup>,Engineering,Male,3,4860,89.4,5315,86.9,4174,82.1,6141,79.2,6565,77.5,7449,76.2,8415,73.0
9463,r018,All fields<sup>a</sup> -> Engineering -> Female,All fields<sup>a</sup>,Engineering,Female,3,506,9.3,750,12.3,893,17.6,1605,20.7,1887,22.3,2321,23.7,3115,27.0
9463,r019,All fields<sup>a</sup> -> Education,All fields<sup>a</sup>,Education,,2,6677,100.0,6577,100.0,6508,100.0,6448,100.0,4802,100.0,4826,100.0,4509,100.0
9463,r020,All fields<sup>a</sup> -> Education -> Male,All fields<sup>a</sup>,Education,Male,3,2688,40.3,2394,36.4,2196,33.7,2103,32.6,1500,31.2,1535,31.8,1285,28.5
9463,r021,All fields<sup>a</sup> -> Education -> Female,All fields<sup>a</sup>,Education,Female,3,3976,59.5,4123,62.7,4299,66.1,4344,67.4,3298,68.7,3289,68.2,3224,71.5
9463,r022,All fields<sup>a</sup> -> Humanities and arts,All fields<sup>a</sup>,Humanities and arts,,2,4387,100.0,5285,100.0,5297,100.0,5085,100.0,5561,100.0,5286,100.0,4464,100.0
9463,r023,All fields<sup>a</sup> -> Humanities and arts -> Male,All fields<sup>a</sup>,Humanities and arts,Male,3,2443,55.7,2798,52.9,2676,50.5,2605,51.2,2741,49.3,2606,49.3,2191,49.1
9463,r024,All fields<sup>a</sup> -> Humanities and arts -> Female,All fields<sup>a</sup>,Humanities and arts,Female,3,1933,44.1,2450,46.4,2610,49.3,2478,48.7,2818,50.7,2679,50.7,2271,50.9
9463,r025,All fields<sup>a</sup> -> Other<sup>c</sup>,All fields<sup>a</sup>,Other<sup>c</sup>,,2,2206,100.0,2191,100.0,2138,100.0,2841,100.0,2734,100.0,3152,100.0,3144,100.0
9463,r026,All fields<sup>a</sup> -> Other<sup>c</sup> -> Male,All fields<sup>a</sup>,Other<sup>c</sup>,Male,3,1400,63.5,1298,59.2,1132,52.9,1374,48.4,1360,49.7,1467,46.5,1440,45.8
9463,r027,All fields<sup>a</sup> -> Other<sup>c</sup> -> Female,All fields<sup>a</sup>,Other<sup>c</sup>,Female,3,791,35.9,863,39.4,995,46.5,1460,51.4,1369,50.1,1683,53.4,1702,54.1
