table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_us_millions_,field_percent_of_domestic_sales_of_r_d_performers_or_fundersa,field_percent_of_domestic_sales_of_r_d_performersb
2722,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['377,806', '  ']","['3.5', '  ']","['3.7', '  ']"
2722,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['234,682', '  ']","['3.9', '  ']","['4.0', '  ']"
2722,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,412', '  ']","['0.8', '  ']","['0.8', '  ']"
2722,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,004', '  ']","['0.7', '  ']","['0.7', '  ']"
2722,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['986', '  ']","['1.4', '  ']","['1.4', '  ']"
2722,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['199', '  ']","['0.7', '  ']","['0.7', '  ']"
2722,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['932', '  ']","['1.0', '  ']","['1.0', '  ']"
2722,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['238', '  ']","['0.8', '  ']","['0.8', '  ']"
2722,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,246', '  ']","['0.3', '  ']","['0.3', '  ']"
2722,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['73,584', '  ']","['6.3', '  ']","['6.4', '  ']"
2722,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,251', '  ']","['1.3', '  ']","['1.3', '  ']"
2722,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,568', '  ']","['2.5', '  ']","['2.5', '  ']"
2722,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,135', 'i ']","['1.1', '  ']","['1.1', '  ']"
2722,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['64,800', '  ']","['9.9', '  ']","['10.1', '  ']"
2722,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,573', '  ']","['2.3', '  ']","['2.3', '  ']"
2722,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,257', '  ']","['2.0', '  ']","['2.0', '  ']"
2722,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,667', '  ']","['1.5', '  ']","['1.6', '  ']"
2722,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,361', '  ']","['2.4', '  ']","['3.3', '  ']"
