table_id,row_id,time_period,_b_total_in_survey_b_level_1,_b_total_in_survey_b_level_2,_b_total_in_survey_b_hierarchy_depth,value
3448,r001,"Fall 2019, all surveyed fields",Total in survey,Postdoctoral appointees,2,66247
3448,r002,"Fall 2019, all surveyed fields",Total in survey,Doctorate nonfaculty researchers,2,30349
3448,r003,"Fall 2019, all surveyed fields",Number imputed,Postdoctoral appointees,2,2986
3448,r004,"Fall 2019, all surveyed fields",Number imputed,Doctorate nonfaculty researchers,2,2886
3448,r005,"Fall 2019, all surveyed fields",Imputation rate (%),Postdoctoral appointees,2,4.5
3448,r006,"Fall 2019, all surveyed fields",Imputation rate (%),Doctorate nonfaculty researchers,2,9.5
3448,r007,"Fall 2019, all surveyed fields -> Science and engineering",Total in survey,Postdoctoral appointees,2,46769
3448,r008,"Fall 2019, all surveyed fields -> Science and engineering",Total in survey,Doctorate nonfaculty researchers,2,22728
3448,r009,"Fall 2019, all surveyed fields -> Science and engineering",Number imputed,Postdoctoral appointees,2,1585
3448,r010,"Fall 2019, all surveyed fields -> Science and engineering",Number imputed,Doctorate nonfaculty researchers,2,2257
3448,r011,"Fall 2019, all surveyed fields -> Science and engineering",Imputation rate (%),Postdoctoral appointees,2,3.4
3448,r012,"Fall 2019, all surveyed fields -> Science and engineering",Imputation rate (%),Doctorate nonfaculty researchers,2,9.9
3448,r013,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Total in survey,Postdoctoral appointees,2,38503
3448,r014,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Total in survey,Doctorate nonfaculty researchers,2,18819
3448,r015,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Number imputed,Postdoctoral appointees,2,1327
3448,r016,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Number imputed,Doctorate nonfaculty researchers,2,1863
3448,r017,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Imputation rate (%),Postdoctoral appointees,2,3.4
3448,r018,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Imputation rate (%),Doctorate nonfaculty researchers,2,9.9
3448,r019,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Agricultural sciences",Total in survey,Postdoctoral appointees,2,1079
3448,r020,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Agricultural sciences",Total in survey,Doctorate nonfaculty researchers,2,645
3448,r021,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Agricultural sciences",Number imputed,Postdoctoral appointees,2,10
3448,r022,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Agricultural sciences",Number imputed,Doctorate nonfaculty researchers,2,90
3448,r023,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Agricultural sciences",Imputation rate (%),Postdoctoral appointees,2,0.9
3448,r024,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Agricultural sciences",Imputation rate (%),Doctorate nonfaculty researchers,2,14.0
3448,r025,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Biological and biomedical sciences",Total in survey,Postdoctoral appointees,2,21847
3448,r026,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Biological and biomedical sciences",Total in survey,Doctorate nonfaculty researchers,2,8229
3448,r027,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Biological and biomedical sciences",Number imputed,Postdoctoral appointees,2,864
3448,r028,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Biological and biomedical sciences",Number imputed,Doctorate nonfaculty researchers,2,924
3448,r029,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Biological and biomedical sciences",Imputation rate (%),Postdoctoral appointees,2,4.0
3448,r030,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Biological and biomedical sciences",Imputation rate (%),Doctorate nonfaculty researchers,2,11.2
3448,r031,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Computer and information sciences",Total in survey,Postdoctoral appointees,2,878
3448,r032,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Computer and information sciences",Total in survey,Doctorate nonfaculty researchers,2,510
3448,r033,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Computer and information sciences",Number imputed,Postdoctoral appointees,2,27
3448,r034,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Computer and information sciences",Number imputed,Doctorate nonfaculty researchers,2,24
3448,r035,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Computer and information sciences",Imputation rate (%),Postdoctoral appointees,2,3.1
3448,r036,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Computer and information sciences",Imputation rate (%),Doctorate nonfaculty researchers,2,4.7
3448,r037,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Total in survey,Postdoctoral appointees,2,1778
3448,r038,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences",Total in survey,Doctorate nonfaculty researchers,2,2177
