table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1961,r001,World,World,,,,1,10495,10799,11234,10270,9876,10083,11660,12504,12648,15066
1961,r002,World -> North America,World,North America,,,2,1543,1325,1425,1336,1389,2003,1931,1988,1848,1970
1961,r003,World -> North America -> Canada,World,North America,Canada,,3,56,67,78,65,59,73,91,67,69,122
1961,r004,World -> North America -> Mexico,World,North America,Mexico,,3,17,16,18,32,79,83,59,44,66,111
1961,r005,World -> North America -> Puerto Rico,World,North America,Puerto Rico,,3,0,1,0,0,0,0,0,0,0,0
1961,r006,World -> North America -> United States,World,North America,United States,,3,1470,1241,1329,1239,1251,1847,1781,1877,1713,1737
1961,r007,World -> North America -> All others,World,North America,All others,,3,0,0,0,0,0,0,0,0,0,0
1961,r008,World -> Central and South America,World,Central and South America,,,2,325,391,327,361,298,350,375,374,464,438
1961,r009,World -> Central and South America -> Argentina,World,Central and South America,Argentina,,3,166,184,168,122,61,86,146,149,169,132
1961,r010,World -> Central and South America -> Brazil,World,Central and South America,Brazil,,3,100,120,122,113,184,191,156,146,229,195
1961,r011,World -> Central and South America -> All others,World,Central and South America,All others,,3,59,87,37,126,53,73,73,79,66,111
1961,r012,World -> Europe,World,Europe,,,2,5958,5754,6405,6006,5817,5656,6422,6580,6075,9095
1961,r013,World -> Europe -> EU,World,Europe,EU,,3,4558,4776,4813,4884,4787,4616,5005,5405,5108,7910
1961,r014,World -> Europe -> EU -> Austria,World,Europe,EU,Austria,4,25,12,18,27,37,33,60,22,23,83
1961,r015,World -> Europe -> EU -> Belgium,World,Europe,EU,Belgium,4,76,77,82,87,97,84,77,61,84,107
1961,r016,World -> Europe -> EU -> Denmark,World,Europe,EU,Denmark,4,220,228,194,162,116,210,230,195,200,283
1961,r017,World -> Europe -> EU -> Finland,World,Europe,EU,Finland,4,8,10,17,9,3,14,7,15,56,23
1961,r018,World -> Europe -> EU -> France,World,Europe,EU,France,4,507,553,579,635,595,579,746,1052,760,1347
1961,r019,World -> Europe -> EU -> Germany,World,Europe,EU,Germany,4,938,1002,1061,973,885,800,829,815,771,1181
1961,r020,World -> Europe -> EU -> Hungary,World,Europe,EU,Hungary,4,30,19,49,17,22,24,29,23,26,25
1961,r021,World -> Europe -> EU -> Ireland,World,Europe,EU,Ireland,4,11,22,13,11,15,22,8,24,12,20
1961,r022,World -> Europe -> EU -> Italy,World,Europe,EU,Italy,4,201,173,105,91,132,111,164,117,130,251
1961,r023,World -> Europe -> EU -> Netherlands,World,Europe,EU,Netherlands,4,1751,2037,1967,2255,2220,2036,2154,2348,2442,3692
1961,r024,World -> Europe -> EU -> Spain,World,Europe,EU,Spain,4,109,158,137,126,107,191,101,203,117,196
1961,r025,World -> Europe -> EU -> Sweden,World,Europe,EU,Sweden,4,28,32,22,31,24,33,14,23,16,39
1961,r026,World -> Europe -> EU -> United Kingdom,World,Europe,EU,United Kingdom,4,271,232,230,159,189,174,236,190,218,294
1961,r027,World -> Europe -> EU -> All others,World,Europe,EU,All others,4,383,221,339,301,345,305,350,317,253,369
1961,r028,World -> Europe -> Other Europe,World,Europe,Other Europe,,3,1400,978,1592,1122,1030,1040,1417,1175,967,1185
1961,r029,World -> Europe -> Other Europe -> Former Soviet Union,World,Europe,Other Europe,Former Soviet Union,4,560,202,453,310,266,220,447,333,58,348
1961,r030,World -> Europe -> Other Europe -> Norway,World,Europe,Other Europe,Norway,4,13,21,5,10,14,0,9,12,9,10
1961,r031,World -> Europe -> Other Europe -> Russia,World,Europe,Other Europe,Russia,4,598,520,637,489,421,406,361,461,509,452
1961,r032,World -> Europe -> Other Europe -> Switzerland,World,Europe,Other Europe,Switzerland,4,203,209,318,258,249,346,493,252,326,269
1961,r033,World -> Europe -> Other Europe -> All others,World,Europe,Other Europe,All others,4,26,26,179,55,80,68,107,117,65,106
1961,r034,World -> Asia,World,Asia,,,2,1940,2612,2219,1681,1630,1435,2182,2862,3657,2824
1961,r035,World -> Asia -> China,World,Asia,China,,3,486,960,659,246,323,255,883,1484,2018,1544
1961,r036,World -> Asia -> India,World,Asia,India,,3,2,4,3,2,1,3,1,0,4,4
1961,r037,World -> Asia -> Japan,World,Asia,Japan,,3,1141,1282,1144,991,832,703,777,767,739,605
1961,r038,World -> Asia -> Malaysia,World,Asia,Malaysia,,3,0,0,0,0,0,0,0,0,0,0
1961,r039,World -> Asia -> Singapore,World,Asia,Singapore,,3,0,0,0,0,0,1,0,1,3,0
1961,r040,World -> Asia -> South Korea,World,Asia,South Korea,,3,280,335,377,399,392,409,447,558,770,495
1961,r041,World -> Asia -> Taiwan,World,Asia,Taiwan,,3,0,0,0,0,0,0,0,0,0,0
1961,r042,World -> Asia -> All others,World,Asia,All others,,3,31,31,36,43,82,64,74,52,123,176
1961,r043,World -> Middle East,World,Middle East,,,2,113,125,134,222,197,114,154,133,140,168
1961,r044,World -> Middle East -> Israel,World,Middle East,Israel,,3,102,109,128,194,183,95,119,127,103,146
1961,r045,World -> Middle East -> All others,World,Middle East,All others,,3,11,16,6,28,14,19,35,6,37,22
1961,r046,World -> Africa,World,Africa,,,2,170,96,161,205,170,124,78,76,95,94
1961,r047,World -> Africa -> South Africa,World,Africa,South Africa,,3,169,87,109,124,125,104,71,56,88,35
1961,r048,World -> Africa -> All others,World,Africa,All others,,3,1,9,52,81,45,20,7,20,7,59
1961,r049,World -> Australia and Oceania,World,Australia and Oceania,,,2,412,358,346,311,299,325,386,342,284,341
1961,r050,World -> Australia and Oceania -> Australia,World,Australia and Oceania,Australia,,3,285,226,204,192,182,210,243,219,195,238
