table_id,row_id,type_of_institution_full_path,type_of_institution_level_1,type_of_institution_level_2,type_of_institution_level_3,type_of_institution_hierarchy_depth,field_all_sources,field_government_federal,field_government_state_and_local,field_institutional_funds_and_other_sourcesa
3041,r001,All institutions,All institutions,,,1,5145.1,146.8,1111.4,3886.9
3041,r002,All institutions -> Doctorate granting,All institutions,Doctorate granting,,2,4784.9,146.8,1026.0,3612.1
3041,r003,All institutions -> Doctorate granting -> Public,All institutions,Doctorate granting,Public,3,3898.4,145.8,1021.0,2731.6
3041,r004,All institutions -> Doctorate granting -> Private,All institutions,Doctorate granting,Private,3,886.5,1.0,5.0,880.5
3041,r005,All institutions -> Nondoctorate granting,All institutions,Nondoctorate granting,,2,360.2,0.0,85.4,274.8
