table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008c,field_2009d,field_2010d,field_2011,field_2012,field_2013,field_2014,field_2015
802,r084,All business activities -> Finance: banking and credit intermediation,All business activities,Finance: banking and credit intermediation,2,52200,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['1,365', '&nbsp;']","['1,601', '&nbsp;']","['1,834', '&nbsp;']","['2,451', '&nbsp;']","['2,710', '&nbsp;']"
802,r085,"All business activities -> Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",All business activities,"Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",2,52310,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['1,148', '&nbsp;']","['893', '&nbsp;']","['1,153', '&nbsp;']","['937', '&nbsp;']","['1,306', '&nbsp;']"
802,r086,All business activities -> Insurance carriers and related activities,All business activities,Insurance carriers and related activities,2,52400,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['1,141', '&nbsp;']","['1,573', '&nbsp;']","['887', '&nbsp;']","['1,365', '&nbsp;']"
802,r087,All business activities -> Real estate,All business activities,Real estate,2,53100,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['13', '&nbsp;']","['26', 'i']","['100', '&nbsp;']","['193', '&nbsp;']","['280', '&nbsp;']"
802,r088,All business activities -> Rental and leasing services,All business activities,Rental and leasing services,2,53200,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['27', '&nbsp;']","['D', '&nbsp;']","['69', '&nbsp;']","['59', '&nbsp;']","['70', '&nbsp;']"
802,r089,"All business activities -> Lessors of nonfinancial intangible assets, including patent licensing",All business activities,"Lessors of nonfinancial intangible assets, including patent licensing",2,53300,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['319', '&nbsp;']","['369', '&nbsp;']","['74', '&nbsp;']","['78', '&nbsp;']","['79', '&nbsp;']"
802,r090,"All business activities -> Legal, accounting, tax preparation, bookkeeping, and payroll services",All business activities,"Legal, accounting, tax preparation, bookkeeping, and payroll services",2,54111,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['578', 'i']","['417', 'i']","['514', 'i']","['826', 'i']","['1,284', '&nbsp;']"
802,r091,"All business activities -> Architectural, engineering, and related services",All business activities,"Architectural, engineering, and related services",2,54130,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['2,028', '&nbsp;']","['4,206', 'i']","['3,398', '&nbsp;']","['3,392', '&nbsp;']","['4,172', 'i']"
802,r092,All business activities -> Specialized design services,All business activities,Specialized design services,2,54140,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['271', '&nbsp;']","['207', 'i']","['101', '&nbsp;']","['97', '&nbsp;']","['83', '&nbsp;']"
802,r093,All business activities -> Computer systems design and related services<sup>g</sup>,All business activities,Computer systems design and related services<sup>g</sup>,2,54150,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['11,129', '&nbsp;']","['12,390', 'i']","['11,472', 'i']","['13,216', 'i']","['13,647', '&nbsp;']"
802,r094,"All business activities -> Management, scientific, and technical consulting services",All business activities,"Management, scientific, and technical consulting services",2,54160,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['1,745', '&nbsp;']","['2,280', '&nbsp;']","['2,030', '&nbsp;']","['1,958', '&nbsp;']","['1,760', '&nbsp;']"
802,r095,All business activities -> Research and development services in social sciences and humanities,All business activities,Research and development services in social sciences and humanities,2,54172,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['601', '&nbsp;']","['792', '&nbsp;']","['745', '&nbsp;']","['755', '&nbsp;']"
802,r096,All business activities -> Research and development services in biotechnology<sup>e</sup>,All business activities,Research and development services in biotechnology<sup>e</sup>,2,54173,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['6,030', '&nbsp;']","['7,146', '&nbsp;']","['4,145', '&nbsp;']","['3,083', 'i']","['5,287', 'i']"
802,r097,"All business activities -> Research and development services in physical, engineering, and life sciences (except biotechnology)",All business activities,"Research and development services in physical, engineering, and life sciences (except biotechnology)",2,54174,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['7,196', '&nbsp;']","['9,427', '&nbsp;']","['9,139', '&nbsp;']","['9,068', '&nbsp;']","['10,888', '&nbsp;']"
802,r098,All business activities -> Advertising and related services,All business activities,Advertising and related services,2,54180,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['80', '&nbsp;']","['377', 'i']","['450', 'i']","['435', '&nbsp;']","['425', '&nbsp;']"
802,r099,"All business activities -> Professional, scientific, and technical services (not listed elsewhere)",All business activities,"Professional, scientific, and technical services (not listed elsewhere)",2,54190,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['1,316', '&nbsp;']","['2,463', 'i']","['1,786', '&nbsp;']","['1,020', '&nbsp;']","['1,144', '&nbsp;']"
802,r100,All business activities -> Management of companies and enterprises,All business activities,Management of companies and enterprises,2,55100,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['20', '&nbsp;']","['40', '&nbsp;']","['68', '&nbsp;']","['25', 'i']","['D', '&nbsp;']"
802,r101,All business activities -> Administrative and support services,All business activities,Administrative and support services,2,56100,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['338', '&nbsp;']","['436', '&nbsp;']","['556', 'i']","['401', 'i']","['200', 'i']"
802,r102,All business activities -> Waste management and remediation services,All business activities,Waste management and remediation services,2,56200,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['19', 'i']","['D', '&nbsp;']","['39', 'i']","['31', '&nbsp;']","['24', 'i']"
802,r103,All business activities -> Offices of physicians,All business activities,Offices of physicians,2,62110,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['24', '&nbsp;']","['73', 'i']","['74', 'i']","['88', 'i']","['79', 'i']"
802,r104,All business activities -> Medical and diagnostic laboratories,All business activities,Medical and diagnostic laboratories,2,62150,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['764', '&nbsp;']","['1,027', '&nbsp;']","['959', '&nbsp;']","['965', '&nbsp;']","['1,198', '&nbsp;']"
802,r105,"All business activities -> Other ambulatory health care services (ambulance, dental, home health care)",All business activities,"Other ambulatory health care services (ambulance, dental, home health care)",2,62199,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['11', '&nbsp;']","['41', 'i']","['51', 'i']","['35', 'i']","['42', 'i']"
802,r106,All business activities -> Hospitals and nursing care facilities,All business activities,Hospitals and nursing care facilities,2,62200,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['2', '&nbsp;']","['2', 'i']","['2', '&nbsp;']","['7', 'i']","['7', '&nbsp;']"
802,r107,All business activities -> Social assistance services,All business activities,Social assistance services,2,62400,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['7', '&nbsp;']","['36', '&nbsp;']","['38', '&nbsp;']","['16', '&nbsp;']","['2', '&nbsp;']"
802,r108,"All business activities -> Arts, entertainment, and recreation",All business activities,"Arts, entertainment, and recreation",2,71000,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['105', '&nbsp;']","['108', '&nbsp;']","['31', '&nbsp;']","['91', 'i']","['51', '&nbsp;']"
802,r109,All business activities -> Accommodation and food services,All business activities,Accommodation and food services,2,72000,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['74', '&nbsp;']","['131', 'i']","['123', 'i']","['57', '&nbsp;']","['79', '&nbsp;']"
802,r110,All business activities -> Other services (not listed elsewhere),All business activities,Other services (not listed elsewhere),2,81000,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['366', '&nbsp;']","['553', '&nbsp;']","['366', '&nbsp;']","['576', '&nbsp;']","['760', '&nbsp;']"
802,r111,All business activities -> Undistributed,All business activities,Undistributed,2,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['28,583', 'i']","['1,689', 'i']","['336', 'i']","['63', '&nbsp;']","['0', '&nbsp;']"
