table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008c,field_2009d,field_2010d,field_2011,field_2012,field_2013,field_2014,field_2015
802,r021,All business activities -> In vitro diagnostic substances manufacturing<sup>e</sup>,All business activities,In vitro diagnostic substances manufacturing<sup>e</sup>,2,32542,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['1,110', '&nbsp;']","['1,044', 'i']","['831', '&nbsp;']","['729', '&nbsp;']","['801', '&nbsp;']"
802,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostics),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostics),2,32543,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['7,118', '&nbsp;']","['10,337', '&nbsp;']","['14,464', '&nbsp;']"
802,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['2,344', '&nbsp;']","['2,261', '&nbsp;']","['2,286', '&nbsp;']","['2,365', '&nbsp;']","['1,987', '&nbsp;']"
802,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['1,552', '&nbsp;']","['1,630', '&nbsp;']","['1,489', '&nbsp;']","['1,562', 'i']","['D', '&nbsp;']"
802,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['2,669', '&nbsp;']","['3,277', '&nbsp;']","['3,010', '&nbsp;']","['3,072', 'i']","['2,903', '&nbsp;']"
802,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['801', 'i']","['987', 'i']","['973', 'i']","['1,003', 'i']","['949', '&nbsp;']"
802,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['303', '&nbsp;']","['367', '&nbsp;']","['458', 'i']","['564', 'i']","['394', 'i']"
802,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['552', '&nbsp;']","['750', '&nbsp;']","['644', '&nbsp;']","['703', '&nbsp;']","['594', 'i']"
802,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['2,236', '&nbsp;']","['2,535', 'i']","['2,280', '&nbsp;']","['2,400', '&nbsp;']"
802,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['989', '&nbsp;']","['1,175', '&nbsp;']","['1,193', '&nbsp;']","['1,230', '&nbsp;']","['1,172', '&nbsp;']"
