table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6248,r034,World -> Africa -> South Africa,World,Africa,South Africa,,3,8820,13167,16534,18128,16705,17507,16670,16618,20052,20299,20178,18621,18027,16669,16133,17252,18266,18448
6248,r035,World -> Africa -> Other Africa,World,Africa,Other Africa,,3,5932,7072,7877,9028,9995,11595,13060,12558,13777,14733,14430,15413,15823,13982,15586,16848,18527,19489
6248,r036,World -> Asia,World,Asia,,,2,1042899,1177461,1325451,1427346,1533261,1735204,1942578,1928440,2340753,2661731,2837379,2890590,3085565,3126217,3282924,3607296,3973771,4000860
6248,r037,World -> Asia -> China,World,Asia,China,,3,223183,264874,298430,353666,429605,548489,710399,767923,947452,1156069,1298708,1458553,1602356,1676009,1730058,1946541,2225535,2267431
6248,r038,World -> Asia -> India,World,Asia,India,,3,30006,35578,43825,52621,59993,76369,82877,90285,111275,133794,125525,127899,142357,159926,169292,193747,209861,220838
6248,r039,World -> Asia -> Indonesia,World,Asia,Indonesia,,3,14879,18488,19879,19735,21849,27647,34867,34533,43455,50621,52241,57098,56146,56654,59310,63526,61371,64395
6248,r040,World -> Asia -> Japan,World,Asia,Japan,,3,566695,625109,683130,688609,665739,683719,736620,680676,788281,819298,838763,690239,669474,637889,707981,706840,720063,730292
6248,r041,World -> Asia -> Malaysia,World,Asia,Malaysia,,3,14306,16222,18937,18012,20839,22419,23682,18897,24936,28244,31314,32381,33418,32280,32912,33741,37659,39059
6248,r042,World -> Asia -> Philippines,World,Asia,Philippines,,3,5661,5266,5923,6329,7280,9449,8914,9681,10421,11518,12763,11158,12569,12422,13647,14316,15235,15138
6248,r043,World -> Asia -> Singapore,World,Asia,Singapore,,3,16329,17245,22393,24153,29101,32222,28726,29114,38495,43674,44804,43988,46179,44940,46079,53186,71408,66172
6248,r044,World -> Asia -> South Korea,World,Asia,South Korea,,3,102269,114248,139708,161398,184571,209277,184571,174568,227534,260083,268372,291021,317216,297340,304320,350462,376836,341172
6248,r045,World -> Asia -> Taiwan,World,Asia,Taiwan,,3,49260,56284,64532,70039,74816,80484,81207,74737,93921,100798,104146,112462,128137,130135,134784,149555,152402,148262
6248,r046,World -> Asia -> Thailand,World,Asia,Thailand,,3,13494,16172,18802,20983,24518,29247,32899,28914,33301,32914,34066,35489,36265,37220,38431,40932,44279,45722
6248,r047,World -> Asia -> Vietnam,World,Asia,Vietnam,,3,1563,1774,2170,2659,3426,4511,5581,7057,7721,8521,10281,13038,22209,20694,23765,29333,33624,37056
6248,r048,World -> Asia -> Other Asia,World,Asia,Other Asia,,3,5253,6203,7720,9140,11525,11372,12234,12054,13961,16196,16394,17263,19240,20708,22345,25118,25499,25325
6248,r049,World -> Oceania,World,Oceania,,,2,29652,38174,45368,49282,52523,64738,68265,66280,82152,97396,100373,94254,90968,77058,80262,88907,86390,81902
6248,r050,World -> Oceania -> Australia,World,Oceania,Australia,,3,26877,34672,41197,44685,48312,59291,63454,61671,76733,91262,93945,87368,83762,70660,73494,81588,79113,74797
6248,r051,World -> Oceania -> New Zealand,World,Oceania,New Zealand,,3,2775,3502,4170,4597,4212,5446,4810,4609,5419,6135,6427,6886,7206,6397,6767,7320,7277,7105
