table_id,row_id,_b_field_of_research_b_full_path,_b_field_of_research_b_level_1,_b_field_of_research_b_level_2,_b_field_of_research_b_level_3,_b_field_of_research_b_level_4,_b_field_of_research_b_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents,field_temporary_visa_holders
7202,r001,All postdocs,All postdocs,,,,1,3637,1779,1858
7202,r002,All postdocs -> Science and engineering,All postdocs,Science and engineering,,,2,3513,1700,1813
7202,r003,All postdocs -> Science and engineering -> Science,All postdocs,Science and engineering,Science,,3,2571,1238,1333
7202,r004,All postdocs -> Science and engineering -> Science -> Agricultural and veterinary sciences,All postdocs,Science and engineering,Science,Agricultural and veterinary sciences,4,7,4,3
7202,r005,All postdocs -> Science and engineering -> Science -> Biological and biomedical sciences,All postdocs,Science and engineering,Science,Biological and biomedical sciences,4,258,155,103
7202,r006,All postdocs -> Science and engineering -> Science -> Chemistry,All postdocs,Science and engineering,Science,Chemistry,4,458,265,193
7202,r007,All postdocs -> Science and engineering -> Science -> Computer and information sciences,All postdocs,Science and engineering,Science,Computer and information sciences,4,173,62,111
7202,r008,"All postdocs -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences ",All postdocs,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences ",4,242,108,134
7202,r009,All postdocs -> Science and engineering -> Science -> Materials science and chemistry,All postdocs,Science and engineering,Science,Materials science and chemistry,4,412,171,241
7202,r010,All postdocs -> Science and engineering -> Science -> Mathematics and statistics,All postdocs,Science and engineering,Science,Mathematics and statistics,4,75,32,43
7202,r011,All postdocs -> Science and engineering -> Science -> Natural resources and conservation,All postdocs,Science and engineering,Science,Natural resources and conservation,4,16,10,6
7202,r012,All postdocs -> Science and engineering -> Science -> Physics and astronomy,All postdocs,Science and engineering,Science,Physics and astronomy,4,870,399,471
7202,r013,All postdocs -> Science and engineering -> Science -> Psychology,All postdocs,Science and engineering,Science,Psychology,4,2,2,0
7202,r014,All postdocs -> Science and engineering -> Science -> Social sciences,All postdocs,Science and engineering,Science,Social sciences,4,5,3,2
7202,r015,All postdocs -> Science and engineering -> Science -> Other sciences,All postdocs,Science and engineering,Science,Other sciences,4,53,27,26
7202,r016,All postdocs -> Science and engineering -> Engineering,All postdocs,Science and engineering,Engineering,,3,942,462,480
7202,r017,"All postdocs -> Science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All postdocs,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,21,7,14
7202,r018,"All postdocs -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",All postdocs,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,46,27,19
7202,r019,"All postdocs -> Science and engineering -> Engineering -> Chemical, petroleum, and related engineering fields",All postdocs,Science and engineering,Engineering,"Chemical, petroleum, and related engineering fields",4,169,75,94
7202,r020,"All postdocs -> Science and engineering -> Engineering -> Civil, environmental, transportation, and related engineering fields",All postdocs,Science and engineering,Engineering,"Civil, environmental, transportation, and related engineering fields",4,83,41,42
7202,r021,"All postdocs -> Science and engineering -> Engineering -> Electrical, electronics, communications, and computer engineering",All postdocs,Science and engineering,Engineering,"Electrical, electronics, communications, and computer engineering",4,147,64,83
7202,r022,"All postdocs -> Science and engineering -> Engineering -> Engineering science, mechanics, and physics",All postdocs,Science and engineering,Engineering,"Engineering science, mechanics, and physics",4,124,86,38
7202,r023,"All postdocs -> Science and engineering -> Engineering -> Industrial, manufacturing, systems engineering, and operations research",All postdocs,Science and engineering,Engineering,"Industrial, manufacturing, systems engineering, and operations research",4,15,3,12
7202,r024,All postdocs -> Science and engineering -> Engineering -> Mechanical engineering,All postdocs,Science and engineering,Engineering,Mechanical engineering,4,173,59,114
7202,r025,"All postdocs -> Science and engineering -> Engineering -> Metallurgical, mining, materials, and related engineering fields",All postdocs,Science and engineering,Engineering,"Metallurgical, mining, materials, and related engineering fields",4,41,26,15
7202,r026,All postdocs -> Science and engineering -> Engineering -> Nuclear engineering,All postdocs,Science and engineering,Engineering,Nuclear engineering,4,87,53,34
7202,r027,All postdocs -> Science and engineering -> Engineering -> Other engineering fields,All postdocs,Science and engineering,Engineering,Other engineering fields,4,36,21,15
7202,r028,All postdocs -> Health ,All postdocs,Health ,,,2,3,3,0
7202,r029,All postdocs -> Multidisciplinary ,All postdocs,Multidisciplinary ,,,2,92,58,34
7202,r030,All postdocs -> Non-science or engineering ,All postdocs,Non-science or engineering ,,,2,10,6,4
7202,r031,All postdocs -> Field of research not known or reported,All postdocs,Field of research not known or reported,,,2,19,12,7
