table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_fte_r_d_employeesa_total,field_fte_r_d_employeesa_full_time_r_d_employees,field_fte_r_d_employeesa_full_time_employees_working_on_r_d_part_time,field_fte_r_d_employeesa_part_time_employees_working_on_r_d,field_fte_r_d_scientists_and_engineersb_total,field_fte_r_d_scientists_and_engineersb_full_time_r_d_employees,field_fte_r_d_scientists_and_engineersb_full_time_employees_working_on_r_d_part_time,field_fte_r_d_scientists_and_engineersb_part_time_employees_working_on_r_d
772,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['1,399', '&nbsp;']","['1,233', '&nbsp;']","['149', '&nbsp;']","['17', '&nbsp;']","['981', '&nbsp;']","['886', '&nbsp;']","['85', 'i']","['10', '&nbsp;']"
772,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['832', '&nbsp;']","['732', '&nbsp;']","['90', '&nbsp;']","['10', '&nbsp;']","['599', '&nbsp;']","['540', '&nbsp;']","['53', 'i']","['6', '&nbsp;']"
772,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['21', '&nbsp;']","['20', 'i']","['1', '&nbsp;']","['*', '&nbsp;']","['11', 'i']","['11', 'i']","['1', 'i']","['*', 'i']"
772,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['4', '&nbsp;']","['4', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['3', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
772,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['6', '&nbsp;']","['5', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
772,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['2', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['*', 'i']","['*', '&nbsp;']"
772,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['4', '&nbsp;']","['3', '&nbsp;']","['*', 'i']","['*', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
772,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['2', '&nbsp;']","['1', 'i']","['1', 'i']","['*', '&nbsp;']","['1', 'i']","['1', 'i']","['*', 'i']","['*', '&nbsp;']"
772,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
772,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['165', '&nbsp;']","['159', '&nbsp;']","['5', '&nbsp;']","['1', '&nbsp;']","['110', '&nbsp;']","['107', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']"
772,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['14', '&nbsp;']","['13', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['9', '&nbsp;']","['8', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
772,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['7', '&nbsp;']","['6', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['4', '&nbsp;']","['4', 'i']","['*', 'i']","['*', '&nbsp;']"
772,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['9', '&nbsp;']","['8', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['5', '&nbsp;']","['5', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
