table_id,row_id,impact,companies_number_,increase,decrease,no_impact,don_t_know
11573,r001,Number of workers employed,"['3,358', '&nbsp;']","['14.3', '&nbsp;']","['4.0', '&nbsp;']","['70.4', '&nbsp;']","['11.3', '&nbsp;']"
11573,r002,Skill level of workers employed,"['3,358', '&nbsp;']","['13.8', '&nbsp;']","['3.7', 'r']","['68.8', '&nbsp;']","['13.7', '&nbsp;']"
11573,r003,"Scientific, technological, engineering, and mathematical skills of workers","['3,358', '&nbsp;']","['12.4', '&nbsp;']","['3.8', 'r']","['70.7', '&nbsp;']","['13.1', '&nbsp;']"
11573,r004,Number of production workers,"['3,358', '&nbsp;']","['11.4', '&nbsp;']","['4.1', '&nbsp;']","['71.3', '&nbsp;']","['13.2', '&nbsp;']"
11573,r005,Number of nonproduction workers,"['3,358', '&nbsp;']","['6.3', '&nbsp;']","['4.3', '&nbsp;']","['77.0', '&nbsp;']","['12.4', '&nbsp;']"
11573,r006,Number of supervisory workers,"['3,358', '&nbsp;']","['5.3', '&nbsp;']","['2.5', 'r']","['80.2', '&nbsp;']","['12.0', '&nbsp;']"
11573,r007,Number of nonsupervisory workers,"['3,358', '&nbsp;']","['7.2', '&nbsp;']","['2.9', 'r']","['77.7', '&nbsp;']","['12.2', '&nbsp;']"
