table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3375,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,2845,2751,1991,-3.3,-27.6
3375,r002,R&D and R&D plant -> Conservation and land management (302),R&D and R&D plant,Conservation and land management (302),,,,2,463,476,413,2.8,-13.2
3375,r003,R&D and R&D plant -> Conservation and land management (302) -> Department of the Interior<sup>b</sup>,R&D and R&D plant,Conservation and land management (302),Department of the Interior<sup>b</sup>,,,3,157,167,158,6.4,-5.4
3375,r004,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,,,3,306,309,255,1.0,-17.5
3375,r005,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture -> Forest Service,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,Forest Service,,4,306,309,255,1.0,-17.5
3375,r006,R&D and R&D plant -> Pollution control and abatement (304),R&D and R&D plant,Pollution control and abatement (304),,,,2,491,494,324,0.6,-34.4
3375,r007,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,,,3,490,493,319,0.6,-35.3
3375,r008,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Oil spill response research,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Oil spill response research,,4,1,1,1,0.0,0.0
3375,r009,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Science and technology,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Science and technology,,4,474,474,300,0.0,-36.7
3375,r010,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Superfund,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Superfund,,4,15,18,18,20.0,0.0
3375,r011,R&D and R&D plant -> Pollution control and abatement (304) -> Coast Guard (DHS),R&D and R&D plant,Pollution control and abatement (304),Coast Guard (DHS),,,3,1,1,5,0.0,400.0
3375,r012,R&D and R&D plant -> Recreational resources (303),R&D and R&D plant,Recreational resources (303),,,,2,27,26,26,-3.7,0.0
3375,r013,R&D and R&D plant -> Recreational resources (303) -> National Park Service (DOI),R&D and R&D plant,Recreational resources (303),National Park Service (DOI),,,3,27,26,26,-3.7,0.0
3375,r014,R&D and R&D plant -> Water resources (301),R&D and R&D plant,Water resources (301),,,,2,161,145,97,-9.9,-33.1
3375,r015,R&D and R&D plant -> Water resources (301) -> Army Corps of Engineers (DOD),R&D and R&D plant,Water resources (301),Army Corps of Engineers (DOD),,,3,32,30,21,-6.3,-30.0
3375,r016,R&D and R&D plant -> Water resources (301) -> Bureau of Reclamation (DOI),R&D and R&D plant,Water resources (301),Bureau of Reclamation (DOI),,,3,129,115,76,-10.9,-33.9
3375,r017,R&D and R&D plant -> Other natural resources (306),R&D and R&D plant,Other natural resources (306),,,,2,1703,1610,1131,-5.4,-29.8
3375,r018,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC),R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),,,3,1062,950,670,-10.6,-29.4
3375,r019,"R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> National Environmental Satellite, Data, and Information Service",R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),"National Environmental Satellite, Data, and Information Service",,4,35,28,28,-19.5,-1.9
3375,r020,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> National Marine Fisheries Service,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),National Marine Fisheries Service,,4,61,69,57,13.4,-16.8
3375,r021,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> National Ocean Service,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),National Ocean Service,,4,109,105,49,-3.0,-53.1
3375,r022,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> National Weather Service,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),National Weather Service,,4,25,19,17,-23.1,-10.9
3375,r023,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> Office of Oceanic and Atmospheric Research,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),Office of Oceanic and Atmospheric Research,,4,559,553,353,-1.2,-36.2
3375,r024,R&D and R&D plant -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> Office of Marine and Aviation Operations,R&D and R&D plant,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),Office of Marine and Aviation Operations,,4,273,175,166,-35.8,-5.4
3375,r025,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI),R&D and R&D plant,Other natural resources (306),Geological Survey (DOI),,,3,640,661,461,3.2,-30.3
3375,r026,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI) -> Land resources<sup>c</sup>,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI),Land resources<sup>c</sup>,,4,79,NA,0,--,--
3375,r027,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI) -> Core science systems,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI),Core science systems,,4,51,87,68,69.9,-21.7
3375,r028,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI) -> Ecosystems,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI),Ecosystems,,4,157,252,127,59.8,-49.3
3375,r029,"R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI) -> Energy, minerals, and environmental health",R&D and R&D plant,Other natural resources (306),Geological Survey (DOI),"Energy, minerals, and environmental health",,4,100,78,79,-21.8,1.3
3375,r030,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI) -> Natural hazards,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI),Natural hazards,,4,136,124,100,-8.7,-19.0
3375,r031,R&D and R&D plant -> Other natural resources (306) -> Geological Survey (DOI) -> Water resources,R&D and R&D plant,Other natural resources (306),Geological Survey (DOI),Water resources,,4,117,120,86,2.9,-28.5
3375,r032,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,2486,2517,1780,1.3,-29.3
3375,r033,R&D and R&D plant -> R&D -> Conservation and land management (302),R&D and R&D plant,R&D,Conservation and land management (302),,,3,449,467,404,4.0,-13.5
3375,r034,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of the Interior<sup>b</sup>,R&D and R&D plant,R&D,Conservation and land management (302),Department of the Interior<sup>b</sup>,,4,151,165,156,9.3,-5.5
3375,r035,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,R&D,Conservation and land management (302),Department of Agriculture,,4,298,302,248,1.3,-17.9
3375,r036,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of Agriculture -> Forest Service,R&D and R&D plant,R&D,Conservation and land management (302),Department of Agriculture,Forest Service,5,298,302,248,1.3,-17.9
3375,r037,R&D and R&D plant -> R&D -> Pollution control and abatement (304),R&D and R&D plant,R&D,Pollution control and abatement (304),,,3,490,493,319,0.6,-35.3
3375,r038,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,,4,489,492,318,0.6,-35.4
3375,r039,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Oil spill response research,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Oil spill response research,5,1,1,1,0.0,0.0
3375,r040,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Science and technology,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Science and technology,5,473,473,299,0.0,-36.8
3375,r041,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Superfund,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Superfund,5,15,18,18,20.0,0.0
3375,r042,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Coast Guard (DHS),R&D and R&D plant,R&D,Pollution control and abatement (304),Coast Guard (DHS),,4,1,1,1,0.0,0.0
3375,r043,R&D and R&D plant -> R&D -> Recreational resources (303),R&D and R&D plant,R&D,Recreational resources (303),,,3,27,26,26,-3.7,0.0
3375,r044,R&D and R&D plant -> R&D -> Recreational resources (303) -> National Park Service (DOI),R&D and R&D plant,R&D,Recreational resources (303),National Park Service (DOI),,4,27,26,26,-3.7,0.0
3375,r045,R&D and R&D plant -> R&D -> Water resources (301),R&D and R&D plant,R&D,Water resources (301),,,3,161,145,97,-9.9,-33.1
3375,r046,R&D and R&D plant -> R&D -> Water resources (301) -> Army Corps of Engineers (DOD),R&D and R&D plant,R&D,Water resources (301),Army Corps of Engineers (DOD),,4,32,30,21,-6.3,-30.0
3375,r047,R&D and R&D plant -> R&D -> Water resources (301) -> Bureau of Reclamation (DOI),R&D and R&D plant,R&D,Water resources (301),Bureau of Reclamation (DOI),,4,129,115,76,-10.9,-33.9
3375,r048,R&D and R&D plant -> R&D -> Other natural resources (306),R&D and R&D plant,R&D,Other natural resources (306),,,3,1359,1386,934,2.0,-32.6
3375,r049,R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC),R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),,4,719,725,473,0.9,-34.7
3375,r050,"R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> National Environmental Satellite, Data, and Information Service",R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),"National Environmental Satellite, Data, and Information Service",5,35,28,28,-19.5,-1.9
3375,r051,R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> National Marine Fisheries Service,R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),National Marine Fisheries Service,5,61,69,57,13.4,-16.8
3375,r052,R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> National Ocean Service,R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),National Ocean Service,5,109,105,49,-3.0,-53.1
3375,r053,R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> National Weather Service,R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),National Weather Service,5,25,19,17,-26.2,-7.2
3375,r054,R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> Office of Oceanic and Atmospheric Research,R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),Office of Oceanic and Atmospheric Research,5,489,504,322,3.2,-36.2
3375,r055,R&D and R&D plant -> R&D -> Other natural resources (306) -> National Oceanic and Atmospheric Administration (DOC) -> Office of Marine and Aviation Operations,R&D and R&D plant,R&D,Other natural resources (306),National Oceanic and Atmospheric Administration (DOC),Office of Marine and Aviation Operations,5,0,0,0,--,--
