table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8452,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,2800,2764,3474,-1.3,25.7
8452,r002,R&D and R&D plant -> Agricultural research and services (352),R&D and R&D plant,Agricultural research and services (352),,,,2,2800,2764,3474,-1.3,25.7
8452,r003,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,,,3,2800,2764,3474,-1.3,25.7
8452,r004,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Agricultural Research Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Agricultural Research Service,,4,1631,1564,2064,-4.1,32.0
8452,r005,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Animal and Plant Health Inspection Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Animal and Plant Health Inspection Service,,4,42,42,47,0.0,11.9
8452,r006,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Economic Research Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Economic Research Service,,4,87,85,100,-2.3,17.6
8452,r007,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> National Agricultural Statistics Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,National Agricultural Statistics Service,,4,9,11,11,22.2,0.0
8452,r008,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> National Institute of Food and Agriculture,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,National Institute of Food and Agriculture,,4,1031,1062,1252,3.0,17.9
8452,r009,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,2556,2575,3130,0.7,21.6
8452,r010,R&D and R&D plant -> R&D -> Agricultural research and services (352),R&D and R&D plant,R&D,Agricultural research and services (352),,,3,2556,2575,3130,0.7,21.6
8452,r011,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,,4,2556,2575,3130,0.7,21.6
8452,r012,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Agricultural Research Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Agricultural Research Service,5,1387,1375,1720,-0.9,25.1
8452,r013,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Animal and Plant Health Inspection Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Animal and Plant Health Inspection Service,5,42,42,47,-,-
8452,r014,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Economic Research Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Economic Research Service,5,87,85,100,-2.3,17.6
8452,r015,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> National Agricultural Statistics Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,National Agricultural Statistics Service,5,9,11,11,22.2,0.0
8452,r016,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> National Institute of Food and Agriculture,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,National Institute of Food and Agriculture,5,1031,1062,1252,3.0,17.9
