table_id,row_id,type_of_award,number
6985,r001,BOA/task order,801
6985,r002,Continuing grant,141199
6985,r003,Contract,1259
6985,r004,Contract interagency agreement,943
6985,r005,Cooperative agreement,2553
6985,r006,Fellowship,11628
6985,r007,Fellowship award,1242
6985,r008,Fixed amount award,12
6985,r009,Fixed price award,186
6985,r010,GAA,110
6985,r011,Interagency agreement,2162
6985,r012,Standard grant,302552
6985,r013,Total,464647
