table_id,row_id,sex_and_financial_resource_full_path,sex_and_financial_resource_level_1,sex_and_financial_resource_level_2,sex_and_financial_resource_level_3,sex_and_financial_resource_level_4,sex_and_financial_resource_hierarchy_depth,field_all_fields_number_,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
1765,r001,Male doctorate recipients,Male doctorate recipients,,,,1,,,,,,,,,,
1765,r002,Male doctorate recipients -> Unduplicated total<sup>c</sup>,Male doctorate recipients,Unduplicated total<sup>c</sup>,,,2,26595,100.0,19.3,14.4,10.3,12.0,26.0,4.9,8.5,4.6
1765,r003,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Fellowship or scholarship,Male doctorate recipients,Unduplicated total<sup>c</sup>,Fellowship or scholarship,,3,17092,100.0,20.8,13.6,9.6,13.3,23.2,3.7,11.1,4.7
1765,r004,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Dissertation grant,Male doctorate recipients,Unduplicated total<sup>c</sup>,Dissertation grant,,3,4107,100.0,18.7,8.6,5.3,22.4,12.1,4.2,22.6,6.1
1765,r005,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,,3,,,,,,,,,,
1765,r006,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Teaching,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Teaching,4,18495,100.0,14.4,18.0,12.4,13.8,23.8,2.8,10.4,4.4
1765,r007,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Research,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Research,4,18680,100.0,18.2,18.4,11.0,10.3,31.3,2.6,4.5,3.8
1765,r008,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Other,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Other,4,1966,100.0,13.7,9.0,6.7,22.1,18.9,10.4,13.7,5.5
1765,r009,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Traineeship,Male doctorate recipients,Unduplicated total<sup>c</sup>,Traineeship,,3,993,100.0,59.2,7.0,4.2,10.3,14.7,1.4,1.7,1.4
1765,r010,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Internship or clinical residency,Male doctorate recipients,Unduplicated total<sup>c</sup>,Internship or clinical residency,,3,2441,100.0,6.4,7.0,25.3,16.4,37.7,2.7,2.0,2.4
1765,r011,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Loan (any source),Male doctorate recipients,Unduplicated total<sup>c</sup>,Loan (any source),,3,5778,100.0,18.1,8.0,5.2,21.4,12.5,11.8,15.9,7.1
