table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total,field_companies_deleteda,field_companies_requiring_action_due_to_merger_or_acquisitionb,field_companies_requiring_action_due_to_analyst_reviewc
6484,r001,Total,Total,,,1,3100,3000,100,N 
6484,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,900,800,60,N < 15
6484,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,650,600,50,N < 15
6484,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,250,250,N < 15,N < 15
6484,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,100,100,N < 15,0
6484,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,60,60,N < 15,0
6484,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,40,40,N < 15,0
6484,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,2100,2000,50,N < 15
6484,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,500,450,20,N < 15
6484,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,1600,1600,30,N < 15
6484,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,30,20,N < 15,N < 15
