table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_anthropology,field_economics,field_political_science,field_sociology,field_other_social_sciences
6373,r001,All agencies,All agencies,,,,1,439515.0,18269.4,38879.2,4554.1,19923.6,357888.8
6373,r002,All agencies -> Departments,All agencies,Departments,,,2,,,,,,
6373,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,3,20573.1,0.0,14066.6,0.0,6035.6,471.0
6373,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,4,1708.2,0.0,1708.2,0.0,0.0,0.0
6373,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,4,8547.6,0.0,5119.1,0.0,2957.5,471.0
6373,r006,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,4,10317.3,0.0,7239.2,0.0,3078.1,0.0
6373,r007,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,3,89799.2,0.0,0.0,0.0,0.0,89799.2
6373,r008,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,4,58385.7,0.0,0.0,0.0,0.0,58385.7
6373,r009,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,4,2510.7,0.0,0.0,0.0,0.0,2510.7
6373,r010,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,4,8542.8,0.0,0.0,0.0,0.0,8542.8
6373,r011,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,4,20359.9,0.0,0.0,0.0,0.0,20359.9
6373,r012,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,3,53666.0,0.0,0.0,0.0,0.0,53666.0
6373,r013,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,3,69601.8,0.0,0.0,0.0,0.0,69601.8
6373,r014,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,4,220.0,0.0,0.0,0.0,0.0,220.0
6373,r015,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,4,69381.8,0.0,0.0,0.0,0.0,69381.8
6373,r016,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,3,162.2,0.0,0.0,0.0,0.0,162.2
6373,r017,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,4,162.2,0.0,0.0,0.0,0.0,162.2
6373,r018,All agencies -> Other agencies,All agencies,Other agencies,,,2,,,,,,
6373,r019,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,3,205702.6,18261.4,24812.6,4554.1,13888.0,144186.5
6373,r020,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,3,10.2,8.0,0.0,0.0,0.0,2.2
