table_id,row_id,field_and_carnegie_category_full_path,field_and_carnegie_category_level_1,field_and_carnegie_category_level_2,field_and_carnegie_category_level_3,field_and_carnegie_category_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
959,r001,All doctorate recipients,All doctorate recipients,,,1,48777,49552,48029,48911,50944,52704,53992,54901,54862,54664
959,r002,All doctorate recipients -> Doctoral: Highest research,All doctorate recipients,Doctoral: Highest research,,2,37377,37666,36679,37754,39221,40484,41062,41426,41246,41171
959,r003,All doctorate recipients -> Doctoral: Higher research,All doctorate recipients,Doctoral: Higher research,,2,7029,7295,7124,7120,7474,7820,8197,8623,8677,8634
959,r004,All doctorate recipients -> Doctoral: Moderate research,All doctorate recipients,Doctoral: Moderate research,,2,2101,2165,1855,1693,1793,1945,2343,2230,2420,2372
959,r005,All doctorate recipients -> Other universities,All doctorate recipients,Other universities,,2,2270,2426,2371,2344,2456,2455,2390,2622,2519,2487
959,r006,All doctorate recipients -> Life sciences<sup>a</sup>,All doctorate recipients,Life sciences<sup>a</sup>,,2,11086,11403,11319,11535,11964,12208,12484,12499,12554,12592
959,r007,All doctorate recipients -> Life sciences<sup>a</sup> -> Doctoral: Highest research,All doctorate recipients,Life sciences<sup>a</sup>,Doctoral: Highest research,3,8503,8552,8570,8633,8934,9085,9064,9059,9142,9257
959,r008,All doctorate recipients -> Life sciences<sup>a</sup> -> Doctoral: Higher research,All doctorate recipients,Life sciences<sup>a</sup>,Doctoral: Higher research,3,1158,1291,1248,1267,1353,1432,1579,1574,1603,1474
959,r009,All doctorate recipients -> Life sciences<sup>a</sup> -> Doctoral: Moderate research,All doctorate recipients,Life sciences<sup>a</sup>,Doctoral: Moderate research,3,186,238,235,288,283,336,428,429,466,537
959,r010,All doctorate recipients -> Life sciences<sup>a</sup> -> Other universities,All doctorate recipients,Life sciences<sup>a</sup>,Other universities,3,1239,1322,1266,1347,1394,1355,1413,1437,1343,1324
959,r011,All doctorate recipients -> Physical sciences and earth sciences,All doctorate recipients,Physical sciences and earth sciences,,2,4946,5160,4995,5271,5419,5584,5911,5918,6252,6081
959,r012,All doctorate recipients -> Physical sciences and earth sciences -> Doctoral: Highest research,All doctorate recipients,Physical sciences and earth sciences,Doctoral: Highest research,3,4226,4415,4248,4433,4560,4699,4890,4958,5226,5121
959,r013,All doctorate recipients -> Physical sciences and earth sciences -> Doctoral: Higher research,All doctorate recipients,Physical sciences and earth sciences,Doctoral: Higher research,3,628,651,660,722,746,756,884,855,879,842
959,r014,All doctorate recipients -> Physical sciences and earth sciences -> Doctoral: Moderate research,All doctorate recipients,Physical sciences and earth sciences,Doctoral: Moderate research,3,41,27,36,46,42,56,74,38,62,52
959,r015,All doctorate recipients -> Physical sciences and earth sciences -> Other universities,All doctorate recipients,Physical sciences and earth sciences,Other universities,3,51,67,51,70,71,73,63,67,85,66
959,r016,All doctorate recipients -> Mathematics and computer sciences,All doctorate recipients,Mathematics and computer sciences,,2,3187,3163,3223,3273,3496,3660,3862,3818,3956,3843
959,r017,All doctorate recipients -> Mathematics and computer sciences -> Doctoral: Highest research,All doctorate recipients,Mathematics and computer sciences,Doctoral: Highest research,3,2724,2679,2665,2746,2916,3012,3183,3145,3211,3100
959,r018,All doctorate recipients -> Mathematics and computer sciences -> Doctoral: Higher research,All doctorate recipients,Mathematics and computer sciences,Doctoral: Higher research,3,388,418,487,446,495,558,583,566,629,608
959,r019,All doctorate recipients -> Mathematics and computer sciences -> Doctoral: Moderate research,All doctorate recipients,Mathematics and computer sciences,Doctoral: Moderate research,3,34,43,42,57,52,44,60,51,68,73
959,r020,All doctorate recipients -> Mathematics and computer sciences -> Other universities,All doctorate recipients,Mathematics and computer sciences,Other universities,3,41,23,29,24,33,46,36,56,48,62
959,r021,All doctorate recipients -> Psychology and social sciences ,All doctorate recipients,Psychology and social sciences ,,2,7635,7945,7883,8221,8498,8580,8751,9078,9060,9079
959,r022,All doctorate recipients -> Psychology and social sciences  -> Doctoral: Highest research,All doctorate recipients,Psychology and social sciences ,Doctoral: Highest research,3,5574,5768,5711,5948,6121,6167,6143,6371,6350,6360
959,r023,All doctorate recipients -> Psychology and social sciences  -> Doctoral: Higher research,All doctorate recipients,Psychology and social sciences ,Doctoral: Higher research,3,1276,1314,1286,1376,1410,1415,1525,1624,1548,1654
959,r024,All doctorate recipients -> Psychology and social sciences  -> Doctoral: Moderate research,All doctorate recipients,Psychology and social sciences ,Doctoral: Moderate research,3,452,512,491,529,591,624,739,676,748,698
959,r025,All doctorate recipients -> Psychology and social sciences  -> Other universities,All doctorate recipients,Psychology and social sciences ,Other universities,3,333,351,395,368,376,374,344,407,414,367
959,r026,All doctorate recipients -> Engineering,All doctorate recipients,Engineering,,2,7864,7642,7578,8032,8469,9000,9627,9876,9458,9843
959,r027,All doctorate recipients -> Engineering -> Doctoral: Highest research,All doctorate recipients,Engineering,Doctoral: Highest research,3,6716,6497,6394,6762,7128,7476,8092,8101,7777,8100
959,r028,All doctorate recipients -> Engineering -> Doctoral: Higher research,All doctorate recipients,Engineering,Doctoral: Higher research,3,926,922,1005,1037,1098,1273,1259,1471,1430,1455
959,r029,All doctorate recipients -> Engineering -> Doctoral: Moderate research,All doctorate recipients,Engineering,Doctoral: Moderate research,3,150,133,122,140,163,151,189,191,152,152
959,r030,All doctorate recipients -> Engineering -> Other universities,All doctorate recipients,Engineering,Other universities,3,72,90,57,93,80,100,87,113,99,136
959,r031,All doctorate recipients -> Education,All doctorate recipients,Education,,2,6561,6528,5287,4670,4803,4934,4789,5098,5146,4823
959,r032,All doctorate recipients -> Education -> Doctoral: Highest research,All doctorate recipients,Education,Doctoral: Highest research,3,3642,3704,2996,2999,3015,3113,3001,3053,3036,2847
959,r033,All doctorate recipients -> Education -> Doctoral: Higher research,All doctorate recipients,Education,Doctoral: Higher research,3,1687,1678,1430,1189,1331,1318,1259,1440,1416,1434
959,r034,All doctorate recipients -> Education -> Doctoral: Moderate research,All doctorate recipients,Education,Doctoral: Moderate research,3,1042,926,654,368,332,370,425,454,504,399
959,r035,All doctorate recipients -> Education -> Other universities,All doctorate recipients,Education,Other universities,3,190,220,207,114,125,133,104,151,190,143
959,r036,All doctorate recipients -> Humanities and arts,All doctorate recipients,Humanities and arts,,2,4736,4904,5015,5226,5561,5715,5524,5594,5480,5290
959,r037,All doctorate recipients -> Humanities and arts -> Doctoral: Highest research,All doctorate recipients,Humanities and arts,Doctoral: Highest research,3,3869,3930,4034,4195,4434,4664,4476,4524,4353,4201
959,r038,All doctorate recipients -> Humanities and arts -> Doctoral: Higher research,All doctorate recipients,Humanities and arts,Doctoral: Higher research,3,527,601,590,658,670,616,634,635,713,652
959,r039,All doctorate recipients -> Humanities and arts -> Doctoral: Moderate research,All doctorate recipients,Humanities and arts,Doctoral: Moderate research,3,67,92,105,104,164,133,134,124,154,141
959,r040,All doctorate recipients -> Humanities and arts -> Other universities,All doctorate recipients,Humanities and arts,Other universities,3,273,281,286,269,293,302,280,311,260,296
959,r041,All doctorate recipients -> Other<sup>b</sup>,All doctorate recipients,Other<sup>b</sup>,,2,2762,2807,2729,2683,2734,3023,3044,3020,2956,3113
959,r042,All doctorate recipients -> Other<sup>b</sup> -> Doctoral: Highest research,All doctorate recipients,Other<sup>b</sup>,Doctoral: Highest research,3,2123,2121,2061,2038,2113,2268,2213,2215,2151,2185
959,r043,All doctorate recipients -> Other<sup>b</sup> -> Doctoral: Higher research,All doctorate recipients,Other<sup>b</sup>,Doctoral: Higher research,3,439,420,418,425,371,452,474,458,459,515
959,r044,All doctorate recipients -> Other<sup>b</sup> -> Doctoral: Moderate research,All doctorate recipients,Other<sup>b</sup>,Doctoral: Moderate research,3,129,194,170,161,166,231,294,267,266,320
959,r045,All doctorate recipients -> Other<sup>b</sup> -> Other universities,All doctorate recipients,Other<sup>b</sup>,Other universities,3,71,72,80,59,84,72,63,80,80,93
