table_id,row_id,employment_sector_and_occupation_full_path,employment_sector_and_occupation_level_1,employment_sector_and_occupation_level_2,employment_sector_and_occupation_level_3,employment_sector_and_occupation_level_4,employment_sector_and_occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_male_median_salary,field_male_se,field_female_median_salary,field_female_se
8162,r001,All sectors,All sectors,,,,1,122000,1500,132000,2000,108000,1000
8162,r002,All sectors -> Science occupations,All sectors,Science occupations,,,2,110000,1000,120000,500,100000,500
8162,r003,"All sectors -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Science occupations,"Biological, agricultural, and other life scientists",,3,105000,500,109000,1000,100000,500
8162,r004,All sectors -> Science occupations -> Computer and information scientists,All sectors,Science occupations,Computer and information scientists,,3,150000,500,155000,2500,135000,6000
8162,r005,All sectors -> Science occupations -> Mathematical scientists,All sectors,Science occupations,Mathematical scientists,,3,120000,1500,120000,2500,119000,3000
8162,r006,All sectors -> Science occupations -> Physical scientists,All sectors,Science occupations,Physical scientists,,3,108000,2500,113000,3500,97000,2500
8162,r007,All sectors -> Science occupations -> Psychologists,All sectors,Science occupations,Psychologists,,3,101000,1500,105000,3000,100000,500
8162,r008,All sectors -> Science occupations -> Social scientists,All sectors,Science occupations,Social scientists,,3,100000,2000,108000,3000,96000,2000
8162,r009,All sectors -> Engineering occupations,All sectors,Engineering occupations,,,2,137000,2500,140000,500,125000,3000
8162,r010,All sectors -> S&E-related occupations,All sectors,S&E-related occupations,,,2,140000,1000,165000,6000,115000,2500
8162,r011,All sectors -> Non-S&E occupations,All sectors,Non-S&E occupations,,,2,150000,500,169000,3000,123000,4000
8162,r012,All sectors -> 4-year educational institution<sup>a</sup>,All sectors,4-year educational institution<sup>a</sup>,,,2,99000,1000,102000,1500,90000,500
8162,r013,All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations,All sectors,4-year educational institution<sup>a</sup>,Science occupations,,3,90000,500,96000,1500,85000,500
8162,r014,"All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,4-year educational institution<sup>a</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,85000,1000,92000,2500,76000,2000
8162,r015,All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations -> Computer and information scientists,All sectors,4-year educational institution<sup>a</sup>,Science occupations,Computer and information scientists,4,104000,4500,109000,2500,96000,4500
8162,r016,All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations -> Mathematical scientists,All sectors,4-year educational institution<sup>a</sup>,Science occupations,Mathematical scientists,4,92000,1500,94000,2000,87000,3000
8162,r017,All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations -> Physical scientists,All sectors,4-year educational institution<sup>a</sup>,Science occupations,Physical scientists,4,87000,2000,90000,2000,81000,1500
8162,r018,All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations -> Psychologists,All sectors,4-year educational institution<sup>a</sup>,Science occupations,Psychologists,4,90000,1500,94000,4000,89000,1500
8162,r019,All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations -> Social scientists,All sectors,4-year educational institution<sup>a</sup>,Science occupations,Social scientists,4,95000,1500,100000,500,90000,1000
8162,r020,All sectors -> 4-year educational institution<sup>a</sup> -> Engineering occupations,All sectors,4-year educational institution<sup>a</sup>,Engineering occupations,,3,109000,1500,110000,2000,102000,3000
8162,r021,All sectors -> 4-year educational institution<sup>a</sup> -> S&E-related occupations,All sectors,4-year educational institution<sup>a</sup>,S&E-related occupations,,3,113000,2000,129000,6500,100000,3000
8162,r022,All sectors -> 4-year educational institution<sup>a</sup> -> Non-S&E occupations,All sectors,4-year educational institution<sup>a</sup>,Non-S&E occupations,,3,125000,3500,140000,4500,109000,3000
8162,r023,All sectors -> Other educational institution<sup>b</sup>,All sectors,Other educational institution<sup>b</sup>,,,2,79000,500,80000,2000,79000,1000
8162,r024,All sectors -> Other educational institution<sup>b</sup> -> Science occupations,All sectors,Other educational institution<sup>b</sup>,Science occupations,,3,80000,2000,81000,4500,79000,1500
8162,r025,"All sectors -> Other educational institution<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Other educational institution<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,78000,5000,79000,6000,74000,4000
8162,r026,All sectors -> Other educational institution<sup>b</sup> -> Science occupations -> Computer and information scientists,All sectors,Other educational institution<sup>b</sup>,Science occupations,Computer and information scientists,4,91000,29000,110000,36500,84000,12500
8162,r027,All sectors -> Other educational institution<sup>b</sup> -> Science occupations -> Mathematical scientists,All sectors,Other educational institution<sup>b</sup>,Science occupations,Mathematical scientists,4,75000,6000,75000,6000,81000,8500
8162,r028,All sectors -> Other educational institution<sup>b</sup> -> Science occupations -> Physical scientists,All sectors,Other educational institution<sup>b</sup>,Science occupations,Physical scientists,4,72000,4500,80000,7500,69000,2000
8162,r029,All sectors -> Other educational institution<sup>b</sup> -> Science occupations -> Psychologists,All sectors,Other educational institution<sup>b</sup>,Science occupations,Psychologists,4,89000,1000,89000,7000,89000,2500
8162,r030,All sectors -> Other educational institution<sup>b</sup> -> Science occupations -> Social scientists,All sectors,Other educational institution<sup>b</sup>,Science occupations,Social scientists,4,80000,3500,80000,8000,80000,2000
8162,r031,All sectors -> Other educational institution<sup>b</sup> -> Engineering occupations,All sectors,Other educational institution<sup>b</sup>,Engineering occupations,,3,59000,3500,58000,1000,75000,11500
8162,r032,All sectors -> Other educational institution<sup>b</sup> -> S&E-related occupations,All sectors,Other educational institution<sup>b</sup>,S&E-related occupations,,3,70000,1500,70000,4000,70000,2500
8162,r033,All sectors -> Other educational institution<sup>b</sup> -> Non-S&E occupations,All sectors,Other educational institution<sup>b</sup>,Non-S&E occupations,,3,98000,4000,104000,11000,96000,8500
8162,r034,"All sectors -> Private, for profit<sup>c</sup>",All sectors,"Private, for profit<sup>c</sup>",,,2,156000,1500,161000,2500,140000,1000
8162,r035,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations",All sectors,"Private, for profit<sup>c</sup>",Science occupations,,3,150000,500,155000,1500,135000,1500
8162,r036,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,"Private, for profit<sup>c</sup>",Science occupations,"Biological, agricultural, and other life scientists",4,136000,3500,141000,4000,130000,1500
8162,r037,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations -> Computer and information scientists",All sectors,"Private, for profit<sup>c</sup>",Science occupations,Computer and information scientists,4,165000,5000,171000,4000,150000,2500
8162,r038,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations -> Mathematical scientists",All sectors,"Private, for profit<sup>c</sup>",Science occupations,Mathematical scientists,4,164000,5500,170000,6500,154000,7000
8162,r039,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations -> Physical scientists",All sectors,"Private, for profit<sup>c</sup>",Science occupations,Physical scientists,4,135000,2000,138000,4000,130000,3500
8162,r040,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations -> Psychologists",All sectors,"Private, for profit<sup>c</sup>",Science occupations,Psychologists,4,119000,5000,123000,7000,111000,7500
8162,r041,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations -> Social scientists",All sectors,"Private, for profit<sup>c</sup>",Science occupations,Social scientists,4,150000,9500,164000,13000,148000,6000
8162,r042,"All sectors -> Private, for profit<sup>c</sup> -> Engineering occupations",All sectors,"Private, for profit<sup>c</sup>",Engineering occupations,,3,150000,500,150000,3000,134000,4500
8162,r043,"All sectors -> Private, for profit<sup>c</sup> -> S&E-related occupations",All sectors,"Private, for profit<sup>c</sup>",S&E-related occupations,,3,179000,5000,190000,4500,150000,9000
8162,r044,"All sectors -> Private, for profit<sup>c</sup> -> Non-S&E occupations",All sectors,"Private, for profit<sup>c</sup>",Non-S&E occupations,,3,185000,5000,200000,500,150000,500
8162,r045,"All sectors -> Private, nonprofit",All sectors,"Private, nonprofit",,,2,125000,2000,137000,3500,110000,3000
8162,r046,"All sectors -> Private, nonprofit -> Science occupations",All sectors,"Private, nonprofit",Science occupations,,3,117000,3000,130000,3500,107000,2500
8162,r047,"All sectors -> Private, nonprofit -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,"Private, nonprofit",Science occupations,"Biological, agricultural, and other life scientists",4,99000,5000,103000,9500,98000,4000
8162,r048,"All sectors -> Private, nonprofit -> Science occupations -> Computer and information scientists",All sectors,"Private, nonprofit",Science occupations,Computer and information scientists,4,131000,4000,134000,7500,122000,11500
8162,r049,"All sectors -> Private, nonprofit -> Science occupations -> Mathematical scientists",All sectors,"Private, nonprofit",Science occupations,Mathematical scientists,4,141000,11000,149000,15500,139000,12000
8162,r050,"All sectors -> Private, nonprofit -> Science occupations -> Physical scientists",All sectors,"Private, nonprofit",Science occupations,Physical scientists,4,137000,4500,142000,5000,107000,4500
8162,r051,"All sectors -> Private, nonprofit -> Science occupations -> Psychologists",All sectors,"Private, nonprofit",Science occupations,Psychologists,4,109000,4000,116000,12000,105000,5000
8162,r052,"All sectors -> Private, nonprofit -> Science occupations -> Social scientists",All sectors,"Private, nonprofit",Science occupations,Social scientists,4,131000,7500,146000,11500,120000,6500
8162,r053,"All sectors -> Private, nonprofit -> Engineering occupations",All sectors,"Private, nonprofit",Engineering occupations,,3,143000,5500,146000,6000,138000,4000
8162,r054,"All sectors -> Private, nonprofit -> S&E-related occupations",All sectors,"Private, nonprofit",S&E-related occupations,,3,149000,7000,179000,21500,135000,7000
8162,r055,"All sectors -> Private, nonprofit -> Non-S&E occupations",All sectors,"Private, nonprofit",Non-S&E occupations,,3,120000,4000,130000,9000,109000,5000
8162,r056,All sectors -> Federal government,All sectors,Federal government,,,2,131000,2500,138000,3000,122000,3000
8162,r057,All sectors -> Federal government -> Science occupations,All sectors,Federal government,Science occupations,,3,128000,2500,130000,3000,119000,500
8162,r058,"All sectors -> Federal government -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Federal government,Science occupations,"Biological, agricultural, and other life scientists",4,124000,3000,128000,3500,119000,3000
8162,r059,All sectors -> Federal government -> Science occupations -> Computer and information scientists,All sectors,Federal government,Science occupations,Computer and information scientists,4,138000,5000,138000,5000,142000,16500
8162,r060,All sectors -> Federal government -> Science occupations -> Mathematical scientists,All sectors,Federal government,Science occupations,Mathematical scientists,4,135000,5500,138000,6000,129000,8000
8162,r061,All sectors -> Federal government -> Science occupations -> Physical scientists,All sectors,Federal government,Science occupations,Physical scientists,4,135000,4000,140000,4000,120000,3500
8162,r062,All sectors -> Federal government -> Science occupations -> Psychologists,All sectors,Federal government,Science occupations,Psychologists,4,115000,2000,119000,3000,114000,5500
8162,r063,All sectors -> Federal government -> Science occupations -> Social scientists,All sectors,Federal government,Science occupations,Social scientists,4,137000,3500,139000,6500,135000,4500
8162,r064,All sectors -> Federal government -> Engineering occupations,All sectors,Federal government,Engineering occupations,,3,140000,3000,142000,4000,134000,8000
8162,r065,All sectors -> Federal government -> S&E-related occupations,All sectors,Federal government,S&E-related occupations,,3,150000,4500,159000,6000,135000,7000
8162,r066,All sectors -> Federal government -> Non-S&E occupations,All sectors,Federal government,Non-S&E occupations,,3,144000,3500,146000,6000,141000,4000
8162,r067,All sectors -> State or local government,All sectors,State or local government,,,2,105000,3000,107000,4000,99000,1500
8162,r068,All sectors -> State or local government -> Science occupations,All sectors,State or local government,Science occupations,,3,100000,1500,104000,5000,96000,3500
8162,r069,"All sectors -> State or local government -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,State or local government,Science occupations,"Biological, agricultural, and other life scientists",4,89000,4000,89000,4500,88000,9500
8162,r070,All sectors -> State or local government -> Science occupations -> Computer and information scientists,All sectors,State or local government,Science occupations,Computer and information scientists,4,112000,21000,114000,28500,99000,12500
8162,r071,All sectors -> State or local government -> Science occupations -> Mathematical scientists,All sectors,State or local government,Science occupations,Mathematical scientists,4,78000,7500,75000,24500,79000,4500
8162,r072,All sectors -> State or local government -> Science occupations -> Physical scientists,All sectors,State or local government,Science occupations,Physical scientists,4,116000,16000,140000,11000,85000,6500
8162,r073,All sectors -> State or local government -> Science occupations -> Psychologists,All sectors,State or local government,Science occupations,Psychologists,4,103000,2500,102000,6000,108000,6000
8162,r074,All sectors -> State or local government -> Science occupations -> Social scientists,All sectors,State or local government,Science occupations,Social scientists,4,100000,4000,99000,6500,102000,4000
8162,r075,All sectors -> State or local government -> Engineering occupations,All sectors,State or local government,Engineering occupations,,3,110000,11000,118000,16500,97000,6500
8162,r076,All sectors -> State or local government -> S&E-related occupations,All sectors,State or local government,S&E-related occupations,,3,119000,4500,119000,4000,108000,8000
8162,r077,All sectors -> State or local government -> Non-S&E occupations,All sectors,State or local government,Non-S&E occupations,,3,105000,5500,91000,14500,108000,5000
8162,r078,All sectors -> Self-employed<sup>d</sup>,All sectors,Self-employed<sup>d</sup>,,,2,109000,9500,116000,8000,100000,11500
8162,r079,All sectors -> Self-employed<sup>d</sup> -> Science occupations,All sectors,Self-employed<sup>d</sup>,Science occupations,,3,118000,6500,117000,7000,118000,11500
8162,r080,"All sectors -> Self-employed<sup>d</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Self-employed<sup>d</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,97000,30000,74000,29500,S,S
8162,r081,All sectors -> Self-employed<sup>d</sup> -> Science occupations -> Computer and information scientists,All sectors,Self-employed<sup>d</sup>,Science occupations,Computer and information scientists,4,104000,32000,104000,31500,,
8162,r082,All sectors -> Self-employed<sup>d</sup> -> Science occupations -> Mathematical scientists,All sectors,Self-employed<sup>d</sup>,Science occupations,Mathematical scientists,4,97000,39500,S,S,,
8162,r083,All sectors -> Self-employed<sup>d</sup> -> Science occupations -> Physical scientists,All sectors,Self-employed<sup>d</sup>,Science occupations,Physical scientists,4,57000,22000,46000,22000,,
8162,r084,All sectors -> Self-employed<sup>d</sup> -> Science occupations -> Psychologists,All sectors,Self-employed<sup>d</sup>,Science occupations,Psychologists,4,120000,5000,135000,11000,116000,9500
8162,r085,All sectors -> Self-employed<sup>d</sup> -> Science occupations -> Social scientists,All sectors,Self-employed<sup>d</sup>,Science occupations,Social scientists,4,111000,14500,99000,7500,121000,28500
8162,r086,All sectors -> Self-employed<sup>d</sup> -> Engineering occupations,All sectors,Self-employed<sup>d</sup>,Engineering occupations,,3,94000,4500,94000,5000,,
8162,r087,All sectors -> Self-employed<sup>d</sup> -> S&E-related occupations,All sectors,Self-employed<sup>d</sup>,S&E-related occupations,,3,123000,36000,179000,86000,80000,29000
8162,r088,All sectors -> Self-employed<sup>d</sup> -> Non-S&E occupations,All sectors,Self-employed<sup>d</sup>,Non-S&E occupations,,3,90000,11500,101000,17000,78000,11000
8162,r089,All sectors -> Other sector<sup>e</sup>,All sectors,Other sector<sup>e</sup>,,,2,140000,7000,145000,6000,123000,7500
8162,r090,All sectors -> Other sector<sup>e</sup> -> Science occupations,All sectors,Other sector<sup>e</sup>,Science occupations,,3,129000,10000,140000,10500,118000,16500
8162,r091,"All sectors -> Other sector<sup>e</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Other sector<sup>e</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,84000,6000,73000,25000,90000,12500
