table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_hierarchy_depth,field_fy_2020_total,field_fy_2020_stimulus,field_fy_2020_non_stimulus,field_fy_2021_total,field_fy_2021_stimulus,field_fy_2021_non_stimulus,field_fy_2022_preliminary_total,field_fy_2022_preliminary_stimulus,field_fy_2022_preliminary_non_stimulus
9420,r001,All departments and agencies,All departments and agencies,,1,43758135,1925398,41832737,43750114,419697,43330416,44673778,310912,44362866
9420,r002,All departments and agencies -> Department of Defense,All departments and agencies,Department of Defense,2,6416163,169711,6246452,6900567,0,6900567,7400607,0,7400607
9420,r003,All departments and agencies -> Department of Energy,All departments and agencies,Department of Energy,2,5023579,0,5023579,5276862,0,5276862,4523208,0,4523208
9420,r004,All departments and agencies -> Department of Health and Human Services,All departments and agencies,Department of Health and Human Services,2,22424757,1740770,20683987,21209856,358416,20851440,21258821,220086,21038736
9420,r005,All departments and agencies -> National Aeronautics and Space Administration,All departments and agencies,National Aeronautics and Space Administration,2,2554761,0,2554761,2697919,0,2697919,3009641,0,3009641
9420,r006,All departments and agencies -> National Science Foundation,All departments and agencies,National Science Foundation,2,889239,8417,880823,934101,33627,900475,986305,35506,950799
9420,r007,All departments and agencies -> All other departments and agencies,All departments and agencies,All other departments and agencies,2,6449636,6500,6443136,6730809,27655,6703154,7495195,55320,7439875
