table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb,field_2017_18_change_,field_2018_19_change_
1320,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,3544,3508,2027,-1.0,-42.2
1320,r002,R&D and R&D plant -> Department of Energy (271),R&D and R&D plant,Department of Energy (271),,,,2,3472,3440,1940,-0.9,-43.6
1320,r003,R&D and R&D plant -> Department of Energy (271) -> Energy programs,R&D and R&D plant,Department of Energy (271),Energy programs,,,3,3151,3130,1925,-0.7,-38.5
1320,r004,"R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Energy efficiency and renewable energy<sup>c,d</sup>",R&D and R&D plant,Department of Energy (271),Energy programs,"Energy efficiency and renewable energy<sup>c,d</sup>",,4,1487,1492,650,0.3,-56.5
1320,r005,"R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Electricity delivery and energy reliability<sup>c,e</sup>",R&D and R&D plant,Department of Energy (271),Energy programs,"Electricity delivery and energy reliability<sup>c,e</sup>",,4,150,144,na,-4.1,na
1320,r006,"R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Fossil energy<sup>c,f</sup>",R&D and R&D plant,Department of Energy (271),Energy programs,"Fossil energy<sup>c,f</sup>",,4,623,619,436,-0.7,-29.6
1320,r007,R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Nuclear energy<sup>c</sup>,R&D and R&D plant,Department of Energy (271),Energy programs,Nuclear energy<sup>c</sup>,,4,891,875,754,-1.8,-13.8
1320,r008,R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Electricity delivery<sup>e</sup>,R&D and R&D plant,Department of Energy (271),Energy programs,Electricity delivery<sup>e</sup>,,4,na,na,53,na,na
1320,r009,"R&D and R&D plant -> Department of Energy (271) -> Energy programs -> Cybersecurity, Energy Security, and Emergency Response<sup>e</sup>",R&D and R&D plant,Department of Energy (271),Energy programs,"Cybersecurity, Energy Security, and Emergency Response<sup>e</sup>",,4,na,na,33,na,na
1320,r010,R&D and R&D plant -> Department of Energy (271) -> Advanced Research Projects Agency-Energy (ARPA-E)<sup>g</sup>,R&D and R&D plant,Department of Energy (271),Advanced Research Projects Agency-Energy (ARPA-E)<sup>g</sup>,,,3,306,295,0,-3.6,-100.0
