table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_r_d,field_intramurala,field_extramural_united_states_and_u_s_territories_industry,field_extramural_united_states_and_u_s_territories_industry_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_universities_and_colleges,field_extramural_united_states_and_u_s_territories_university_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_other_nonprofits,field_extramural_united_states_and_u_s_territories_nonprofit_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_state_local_governments,field_extramural_foreign
6473,r001,All agencies,All agencies,,,,,1,167402.8,51471.7,51428.0,4118.7,38540.9,5355.2,10698.9,3676.0,720.1,1393.3
6473,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
6473,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,2643.6,1689.8,4.6,0.0,883.7,0.0,51.9,0.0,8.6,5.1
6473,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6473,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1423.5,1247.9,0.0,0.0,156.6,0.0,14.3,0.0,0.3,4.4
6473,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,39.8,27.6,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0
6473,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,81.7,74.6,1.8,0.0,4.1,0.0,1.2,0.0,0.05,0.0
6473,r008,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,342.0,305.0,1.4,0.0,25.0,0.0,4.1,0.0,5.9,0.6
6473,r009,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,9.0,8.4,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0
6473,r010,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,737.9,19.3,1.5,0.0,683.0,0.0,31.7,0.0,2.4,0.0
6473,r011,All agencies -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,2.8,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0
6473,r012,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1621.7,1193.0,50.5,0.0,313.8,4.2,31.0,19.9,5.1,4.4
6473,r013,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,734.9,622.1,34.2,0.0,48.6,0.0,6.0,19.6,0.1,4.4
6473,r014,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,768.1,452.1,16.3,0.0,265.2,4.2,25.0,0.3,4.9,0.05
6473,r015,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6473,r016,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,111.1,111.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6473,r017,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,66695.0,22666.6,35233.5,442.2,4524.9,463.1,1473.9,916.8,8.8,965.3
6473,r018,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,3664.3,317.3,2383.2,38.6,647.5,39.3,163.1,33.8,0.3,41.3
6473,r019,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,2870.4,1097.6,400.1,0.0,703.4,0.3,627.6,3.5,0.3,37.6
6473,r020,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,11683.2,4675.7,6133.8,135.4,551.9,27.1,9.0,126.2,0.8,23.3
6473,r021,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,10786.4,3447.7,5749.4,2.3,1005.7,25.6,258.4,234.1,0.0,63.3
6473,r022,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,19113.8,7339.1,10154.3,73.0,1025.2,38.4,311.3,112.2,0.6,59.7
6473,r023,All agencies -> Departments -> Department of Defense -> U.S. Space Force,All agencies,Departments,Department of Defense,U.S. Space Force,,4,4385.7,134.8,3872.3,9.2,17.7,49.0,1.2,188.6,5.2,107.7
6473,r024,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,14191.2,5654.5,6540.3,183.8,573.5,283.4,103.4,218.4,1.5,632.4
6473,r025,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,240.1,10.5,15.1,0.0,158.2,0.0,46.2,0.0,10.2,0.0
6473,r026,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,13453.0,871.8,2973.7,2771.1,1837.1,2375.1,148.4,2419.9,55.6,0.3
6473,r027,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,438.0,0.0,165.4,18.4,181.5,16.0,26.8,29.9,0.0,0.0
6473,r028,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,139.8,3.2,9.2,38.2,16.6,8.4,9.8,54.0,0.4,0.0
6473,r029,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,2096.2,0.0,645.6,140.1,520.8,170.8,0.0,593.2,25.7,0.0
6473,r030,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,22.2,0.0,8.0,12.5,1.0,0.0,0.8,0.0,0.0,0.0
6473,r031,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,679.3,411.6,0.0,23.8,200.9,8.9,0.0,34.2,0.0,0.0
6473,r032,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,3983.7,234.6,1544.8,2033.3,14.9,16.3,69.7,70.0,0.1,0.0
6473,r033,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,2298.1,172.2,182.8,1867.0,1.2,3.9,69.7,1.3,0.0,0.0
6473,r034,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,1387.4,50.3,1336.1,0.9,0.0,0.0,0.0,0.1,0.0,0.0
