table_id,row_id,field_of_highest_degree_and_employment_sector_full_path,field_of_highest_degree_and_employment_sector_level_1,field_of_highest_degree_and_employment_sector_level_2,field_of_highest_degree_and_employment_sector_level_3,field_of_highest_degree_and_employment_sector_level_4,field_of_highest_degree_and_employment_sector_hierarchy_depth,field_number,field_salary,field_primary_work_activity_computer_applications_number,field_primary_work_activity_computer_applications_salary,field_primary_work_activity_design_number,field_primary_work_activity_design_salary,field_primary_work_activity_management_and_administrationa_number,field_primary_work_activity_management_and_administrationa_salary,field_primary_work_activity_research_and_developmentb_number,field_primary_work_activity_research_and_developmentb_salary,field_primary_work_activity_teaching_number,field_primary_work_activity_teaching_salary,field_primary_work_activity_otherc_number,field_primary_work_activity_otherc_salary
7778,r001,All fields,All fields,,,,1,7230000,99000,2141000,108000,741000,100000,1527000,101000,1663000,90000,291000,74000,867000,88000
7778,r002,All fields -> Business or industry,All fields,Business or industry,,,2,5431000,105000,1923000,110000,669000,101000,1177000,105000,1000000,105000,26000,78000,636000,90000
7778,r003,All fields -> 4-year educational institution,All fields,4-year educational institution,,,2,825000,66000,80000,75000,20000,70000,66000,87000,413000,54000,206000,75000,40000,76000
7778,r004,All fields -> 2-year college or precollege educational institution,All fields,2-year college or precollege educational institution,,,2,165000,67000,23000,67000,,,18000,65000,24000,55000,48000,69000,52000,71000
7778,r005,All fields -> Government,All fields,Government,,,2,808000,90000,115000,89000,51000,100000,267000,98000,226000,86000,11000,85000,139000,89000
7778,r006,All fields -> S&E fields,All fields,S&E fields,,,2,5564000,100000,1712000,110000,594000,100000,1055000,104000,1353000,90000,224000,75000,627000,89000
7778,r007,All fields -> S&E fields -> Business or industry,All fields,S&E fields,Business or industry,,3,4177000,106000,1554000,111000,538000,101000,815000,107000,803000,107000,11000,84000,455000,93000
7778,r008,All fields -> S&E fields -> 4-year educational institution,All fields,S&E fields,4-year educational institution,,3,685000,65000,62000,78000,12000,69000,47000,90000,366000,52000,174000,76000,24000,76000
7778,r009,All fields -> S&E fields -> 2-year college or precollege educational institution,All fields,S&E fields,2-year college or precollege educational institution,,3,108000,70000,14000,53000,,,7000,73000,10000,62000,34000,70000,42000,74000
7778,r010,All fields -> S&E fields -> Government,All fields,S&E fields,Government,,3,595000,92000,83000,96000,43000,93000,186000,99000,173000,84000,S,S,105000,88000
7778,r011,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",,3,695000,72000,51000,78000,12000,76000,131000,78000,360000,67000,46000,69000,95000,71000
7778,r012,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences -> Business or industry",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",Business or industry,4,347000,84000,41000,78000,9000,89000,86000,78000,146000,90000,S,S,63000,72000
7778,r013,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences -> 4-year educational institution",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",4-year educational institution,4,210000,57000,4000,S,,,13000,79000,154000,52000,33000,69000,5000,71000
7778,r014,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences -> 2-year college or precollege educational institution",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",2-year college or precollege educational institution,4,13000,69000,,,,,,,,,11000,69000,,
7778,r015,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences -> Government",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",Government,4,124000,70000,5000,73000,2000,57000,32000,77000,58000,63000,0.05,0.05,27000,69000
7778,r016,All fields -> S&E fields -> Computer and mathematical sciences,All fields,S&E fields,Computer and mathematical sciences,,3,1709000,107000,1007000,110000,98000,129000,223000,113000,215000,105000,50000,70000,116000,95000
7778,r017,All fields -> S&E fields -> Computer and mathematical sciences -> Business or industry,All fields,S&E fields,Computer and mathematical sciences,Business or industry,4,1450000,110000,914000,111000,89000,129000,183000,119000,169000,115000,S,S,92000,96000
7778,r018,All fields -> S&E fields -> Computer and mathematical sciences -> 4-year educational institution,All fields,S&E fields,Computer and mathematical sciences,4-year educational institution,4,105000,80000,29000,89000,S,S,12000,86000,25000,70000,32000,68000,4000,119000
7778,r019,All fields -> S&E fields -> Computer and mathematical sciences -> 2-year college or precollege educational institution,All fields,S&E fields,Computer and mathematical sciences,2-year college or precollege educational institution,4,37000,68000,11000,52000,,,S,S,S,S,11000,69000,8000,71000
7778,r020,All fields -> S&E fields -> Computer and mathematical sciences -> Government,All fields,S&E fields,Computer and mathematical sciences,Government,4,116000,96000,53000,99000,S,S,24000,96000,17000,80000,,,13000,94000
7778,r021,All fields -> S&E fields -> Physical and related sciences,All fields,S&E fields,Physical and related sciences,,3,412000,92000,40000,110000,19000,105000,82000,105000,187000,83000,35000,77000,47000,76000
7778,r022,All fields -> S&E fields -> Physical and related sciences -> Business or industry,All fields,S&E fields,Physical and related sciences,Business or industry,4,234000,105000,33000,119000,16000,105000,57000,105000,92000,109000,1000,,35000,78000
7778,r023,All fields -> S&E fields -> Physical and related sciences -> 4-year educational institution,All fields,S&E fields,Physical and related sciences,4-year educational institution,4,107000,55000,4000,44000,1000,,4000,S,64000,36000,31000,79000,2000,51000
7778,r024,All fields -> S&E fields -> Physical and related sciences -> 2-year college or precollege educational institution,All fields,S&E fields,Physical and related sciences,2-year college or precollege educational institution,4,4000,68000,,,,,,,,,3000,70000,,
7778,r025,All fields -> S&E fields -> Physical and related sciences -> Government,All fields,S&E fields,Physical and related sciences,Government,4,66000,92000,3000,77000,2000,S,21000,104000,31000,92000,,,10000,76000
7778,r026,All fields -> S&E fields -> Social and related sciences,All fields,S&E fields,Social and related sciences,,3,594000,82000,91000,82000,26000,95000,110000,88000,145000,82000,67000,77000,156000,82000
7778,r027,All fields -> S&E fields -> Social and related sciences -> Business or industry,All fields,S&E fields,Social and related sciences,Business or industry,4,327000,89000,76000,87000,22000,98000,80000,88000,59000,86000,4000,68000,86000,85000
7778,r028,All fields -> S&E fields -> Social and related sciences -> 4-year educational institution,All fields,S&E fields,Social and related sciences,4-year educational institution,4,143000,69000,S,S,,,6000,62000,59000,64000,56000,78000,11000,75000
7778,r029,All fields -> S&E fields -> Social and related sciences -> 2-year college or precollege educational institution,All fields,S&E fields,Social and related sciences,2-year college or precollege educational institution,4,48000,75000,,,,,3000,68000,4000,83000,7000,74000,33000,76000
7778,r030,All fields -> S&E fields -> Social and related sciences -> Government,All fields,S&E fields,Social and related sciences,Government,4,76000,96000,4000,80000,S,S,21000,100000,22000,90000,,,26000,95000
7778,r031,All fields -> S&E fields -> Engineering,All fields,S&E fields,Engineering,,3,2155000,106000,524000,115000,439000,99000,508000,112000,446000,105000,26000,90000,212000,99000
7778,r032,All fields -> S&E fields -> Engineering -> Business or industry,All fields,S&E fields,Engineering,Business or industry,4,1818000,110000,489000,118000,402000,99000,408000,113000,336000,110000,2000,88000,180000,100000
7778,r033,All fields -> S&E fields -> Engineering -> 4-year educational institution,All fields,S&E fields,Engineering,4-year educational institution,4,119000,77000,14000,78000,6000,68000,12000,129000,64000,55000,20000,94000,3000,81000
7778,r034,All fields -> S&E fields -> Engineering -> 2-year college or precollege educational institution,All fields,S&E fields,Engineering,2-year college or precollege educational institution,4,5000,70000,S,S,,,,,,,2000,70000,,
7778,r035,All fields -> S&E fields -> Engineering -> Government,All fields,S&E fields,Engineering,Government,4,213000,100000,18000,92000,30000,93000,88000,108000,45000,95000,S,S,29000,98000
7778,r036,All fields -> S&E-related fields,All fields,S&E-related fields,,,2,400000,92000,97000,105000,38000,88000,81000,94000,110000,91000,15000,71000,59000,73000
7778,r037,All fields -> S&E-related fields -> Business or industry,All fields,S&E-related fields,Business or industry,,3,291000,95000,87000,107000,35000,88000,60000,96000,64000,95000,4000,S,42000,63000
7778,r038,All fields -> S&E-related fields -> 4-year educational institution,All fields,S&E-related fields,4-year educational institution,,3,47000,71000,3000,56000,0.05,0.05,4000,86000,24000,62000,5000,73000,10000,S
7778,r039,All fields -> S&E-related fields -> 2-year college or precollege educational institution,All fields,S&E-related fields,2-year college or precollege educational institution,,3,9000,72000,,,,,,,,,6000,64000,,
7778,r040,All fields -> S&E-related fields -> Government,All fields,S&E-related fields,Government,,3,54000,90000,6000,62000,S,S,17000,80000,21000,100000,,,7000,86000
7778,r041,All fields -> Non-S&E fields,All fields,Non-S&E fields,,,2,1267000,93000,332000,99000,109000,110000,392000,100000,200000,90000,52000,71000,181000,85000
7778,r042,All fields -> Non-S&E fields -> Business or industry,All fields,Non-S&E fields,Business or industry,,3,964000,100000,282000,101000,97000,114000,303000,103000,133000,101000,11000,64000,139000,85000
7778,r043,All fields -> Non-S&E fields -> 4-year educational institution,All fields,Non-S&E fields,4-year educational institution,,3,94000,73000,16000,73000,8000,77000,15000,79000,24000,61000,27000,73000,6000,57000
7778,r044,All fields -> Non-S&E fields -> 2-year college or precollege educational institution,All fields,Non-S&E fields,2-year college or precollege educational institution,,3,49000,61000,8000,67000,,,10000,62000,S,S,8000,67000,S,S
7778,r045,All fields -> Non-S&E fields -> Government,All fields,Non-S&E fields,Government,,3,160000,90000,26000,74000,5000,113000,64000,95000,32000,85000,S,S,27000,92000
