table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_,field_worldwide_male,field_worldwide_,field_worldwide_female,field_worldwide_,field_domestic_total,field_domestic_,field_domestic_male,field_domestic_,field_domestic_female,field_domestic_,field_foreign_total,field_foreign_,field_foreign_male,field_foreign_,field_foreign_female,field_foreign_
1425,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81",2195,,1601,,594,,1522,,1122,,399,,674,,479,,194,
1425,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,1318,,992,,326,,912,,690,,222,,406,,302,,104,
1425,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,38,,21,i ,17,,24,,14,i ,10,,14,,7,i ,7,
1425,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,9,,5,,4,,6,,4,,3,,3,,1,,1,
1425,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,9,,6,i ,4,i ,8,,5,i ,3,i ,1,,1,i ,0.05,i 
1425,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,3,,2,i ,1,,3,,2,,0.05,,0.05,,0.05,,0.05,
1425,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,8,,6,,2,,6,,4,,1,,2,,2,,0.05,
1425,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,4,,3,i ,1,i ,4,,3,i ,1,i ,0.05,,0.05,i ,0.05,i 
1425,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,2,,2,,1,,2,,1,,0.05,,0.05,,0.05,,0.05,
1425,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,236,,128,,108,,173,,95,,77,,63,,32,,31,
1425,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,19,,13,,6,,14,,10,,4,,5,,3,,2,
1425,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,8,,6,,2,,5,,4,i ,1,i ,3,,2,,1,
1425,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,7,i ,5,i ,3,i ,5,i ,3,i ,2,i ,2,i ,1,i ,1,i 
1425,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,161,,78,,83,,123,,62,,61,,39,,17,,22,
1425,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,21,,11,,10,,13,,7,,6,,7,,4,,4,
1425,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259",20,,15,,5,,13,,10,,3,,7,,5,,2,
1425,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,37,,27,,10,,29,,22,,8,,8,,5,,3,
1425,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,9,,7,,2,,7,,6,,1,,1,,1,,0.05,
1425,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,8,,7,,1,,7,,6,i ,1,,1,,1,,0.05,
1425,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,33,,29,i ,4,i ,30,,27,i ,3,i ,3,,2,,0.05,
1425,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,113,,99,,14,i ,78,,70,,9,i ,35,,29,,5,i 
1425,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,15,,14,,1,,9,,8,,1,,6,,5,,1,
1425,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,14,,12,,2,,9,,8,,1,,5,,4,,1,
1425,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,12,,11,,1,,7,,7,,1,,4,,4,,0.05,
1425,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,73,,63,i ,10,i ,53,,47,i ,6,i ,20,,16,i ,4,i 
1425,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,424,,343,,81,,264,,215,,48,,160,,128,i ,32,i 
1425,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,77,,64,,13,,48,,40,,8,,29,,24,,5,
