table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients,field_historically_black_college_or_university
3276,r001,"Female, all institutions","Female, all institutions",,,1,361,-
3276,r002,"Female, all institutions -> Foreign or unknown institutions","Female, all institutions",Foreign or unknown institutions,,2,63,-
3276,r003,"Female, all institutions -> Top 11 U.S. institutions","Female, all institutions",Top 11 U.S. institutions,,2,86,-
3276,r004,"Female, all institutions -> Top 11 U.S. institutions -> North Carolina Agricultural and Technical State U.","Female, all institutions",Top 11 U.S. institutions,North Carolina Agricultural and Technical State U.,3,12,Yes
3276,r005,"Female, all institutions -> Top 11 U.S. institutions -> U. Maryland, College Park","Female, all institutions",Top 11 U.S. institutions,"U. Maryland, College Park",3,11,No
3276,r006,"Female, all institutions -> Top 11 U.S. institutions -> Florida A&M U.","Female, all institutions",Top 11 U.S. institutions,Florida A&M U.,3,10,Yes
3276,r007,"Female, all institutions -> Top 11 U.S. institutions -> U. Maryland, Baltimore County","Female, all institutions",Top 11 U.S. institutions,"U. Maryland, Baltimore County",3,9,No
3276,r008,"Female, all institutions -> Top 11 U.S. institutions -> Howard U.","Female, all institutions",Top 11 U.S. institutions,Howard U.,3,8,Yes
3276,r009,"Female, all institutions -> Top 11 U.S. institutions -> Massachusetts Institute of Technology","Female, all institutions",Top 11 U.S. institutions,Massachusetts Institute of Technology,3,8,No
3276,r010,"Female, all institutions -> Top 11 U.S. institutions -> Morgan State U.","Female, all institutions",Top 11 U.S. institutions,Morgan State U.,3,8,Yes
3276,r011,"Female, all institutions -> Top 11 U.S. institutions -> Johns Hopkins U.","Female, all institutions",Top 11 U.S. institutions,Johns Hopkins U.,3,5,No
3276,r012,"Female, all institutions -> Top 11 U.S. institutions -> Norfolk State U.","Female, all institutions",Top 11 U.S. institutions,Norfolk State U.,3,5,Yes
3276,r013,"Female, all institutions -> Top 11 U.S. institutions -> Tuskegee U.","Female, all institutions",Top 11 U.S. institutions,Tuskegee U.,3,5,Yes
3276,r014,"Female, all institutions -> Top 11 U.S. institutions -> Virginia Polytechnic Institute and State U.","Female, all institutions",Top 11 U.S. institutions,Virginia Polytechnic Institute and State U.,3,5,No
3276,r015,"Female, all institutions -> Other U.S. institutions","Female, all institutions",Other U.S. institutions,,2,212,-
3276,r016,"Male, all institutions","Male, all institutions",,,1,932,-
3276,r017,"Male, all institutions -> Foreign or unknown institutions","Male, all institutions",Foreign or unknown institutions,,2,432,-
3276,r018,"Male, all institutions -> Top 21 U.S. institutions","Male, all institutions",Top 21 U.S. institutions,,2,193,-
