table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_computer_sciences,field_mathematics,field_other_computer_sciences_and_mathematics
6404,r001,All agencies surveyed,All agencies surveyed,,,,1,1371895.9,924890.0,397034.3,49971.6
6404,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,
6404,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,3,140.1,116.1,24.0,0.0
6404,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,4,101.8,101.8,0.0,0.0
6404,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,4,38.3,14.3,24.0,0.0
6404,r006,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,280789.4,195100.5,46909.1,38779.8
6404,r007,All agencies surveyed -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies surveyed,Departments,Department of Defense,Defense Advanced Research Projects Agency,4,140697.7,120334.6,3624.8,16738.3
6404,r008,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,4,24950.7,2268.8,6295.2,16386.8
6404,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,4,42135.5,31404.8,10730.8,0.0
6404,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,38381.8,26009.7,12372.1,0.0
6404,r011,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,34623.6,15082.6,13886.3,5654.7
6404,r012,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,3,26018.6,7713.1,9233.2,9072.2
6404,r013,All agencies surveyed -> Departments -> Department of Energy -> Office of Science,All agencies surveyed,Departments,Department of Energy,Office of Science,4,26018.6,7713.1,9233.2,9072.2
6404,r014,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,113113.2,0.0,113113.2,0.0
6404,r015,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,113113.2,0.0,113113.2,0.0
6404,r016,All agencies surveyed -> Departments -> Department of Homeland Security,All agencies surveyed,Departments,Department of Homeland Security,,3,2119.6,0.0,0.0,2119.6
6404,r017,All agencies surveyed -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies surveyed,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,4,2119.6,0.0,0.0,2119.6
6404,r018,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,
6404,r019,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,949715.1,721960.3,227754.8,0.0
