table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_nonfederal
12273,r001,All states,All states,,1,"['691,547', '  ']","['608,058', '  ']","['83,489', '  ']","['31,626', '  ']","['51,863', '  ']"
12273,r002,All states -> Alabama,All states,Alabama,2,"['4,907', '  ']","['2,259', '  ']","['2,649', 'i ']","['2,548', 'i ']","['101', '  ']"
12273,r003,All states -> Alaska,All states,Alaska,2,"['211', 'i ']","['189', 'i ']","['22', '  ']","['13', '  ']","['8', '  ']"
12273,r004,All states -> Arizona,All states,Arizona,2,"['10,261', '  ']","['8,250', '  ']","['2,010', '  ']","['1,233', '  ']","['778', '  ']"
12273,r005,All states -> Arkansas,All states,Arkansas,2,"['604', '  ']","['545', '  ']","['59', '  ']","['13', '  ']","['46', '  ']"
12273,r006,All states -> California,All states,California,2,"['235,556', '  ']","['220,081', '  ']","['15,474', '  ']","['7,046', '  ']","['8,429', '  ']"
12273,r007,All states -> Colorado,All states,Colorado,2,"['10,496', '  ']","['8,135', '  ']","['2,362', 'i ']","['1,982', 'i ']","['379', 'i ']"
12273,r008,All states -> Connecticut,All states,Connecticut,2,"['11,443', '  ']","['9,037', '  ']","['2,406', '  ']","['2,193', '  ']","['213', '  ']"
12273,r009,All states -> Delaware,All states,Delaware,2,"['4,544', '  ']","['2,874', '  ']","['1,670', '  ']","['5', 'e ']","['1,665', '  ']"
12273,r010,All states -> District of Columbia,All states,District of Columbia,2,"['1,007', '  ']","['881', '  ']","['126', '  ']","['87', '  ']","['39', '  ']"
12273,r011,All states -> Florida,All states,Florida,2,"['11,509', '  ']","['8,746', '  ']","['2,763', 'i ']","['1,828', 'i ']","['935', '  ']"
12273,r012,All states -> Georgia,All states,Georgia,2,"['8,666', '  ']","['7,684', '  ']","['982', 'i ']","['107', '  ']","['875', 'i ']"
12273,r013,All states -> Hawaii,All states,Hawaii,2,"['491', '  ']","['447', '  ']","['44', '  ']","['35', '  ']","['9', 'i ']"
12273,r014,All states -> Idaho,All states,Idaho,2,"['2,932', '  ']","['2,883', '  ']","['49', '  ']","['6', '  ']","['43', '  ']"
12273,r015,All states -> Illinois,All states,Illinois,2,"['18,061', '  ']","['16,785', '  ']","['1,276', 'i ']","['142', '  ']","['1,134', 'i ']"
12273,r016,All states -> Indiana,All states,Indiana,2,"['11,493', '  ']","['9,943', '  ']","['1,550', 'i ']","['132', '  ']","['1,418', 'i ']"
12273,r017,All states -> Iowa,All states,Iowa,2,"['3,956', '  ']","['3,257', '  ']","['698', '  ']","['6', 'e ']","['693', '  ']"
12273,r018,All states -> Kansas,All states,Kansas,2,"['2,996', '  ']","['2,219', '  ']","['777', 'i ']","['14', 'e ']","['763', 'i ']"
12273,r019,All states -> Kentucky,All states,Kentucky,2,"['1,053', '  ']","['925', '  ']","['129', 'i ']","['15', '  ']","['113', 'i ']"
12273,r020,All states -> Louisiana,All states,Louisiana,2,"['604', '  ']","['530', '  ']","['75', '  ']","['39', '  ']","['36', 'i ']"
12273,r021,All states -> Maine,All states,Maine,2,"['656', '  ']","['597', '  ']","['59', '  ']","['45', '  ']","['15', '  ']"
12273,r022,All states -> Maryland,All states,Maryland,2,"['8,591', '  ']","['5,843', '  ']","['2,748', '  ']","['1,938', '  ']","['809', 'i ']"
12273,r023,All states -> Massachusetts,All states,Massachusetts,2,"['49,732', '  ']","['43,311', '  ']","['6,421', '  ']","['2,160', '  ']","['4,261', '  ']"
12273,r024,All states -> Michigan,All states,Michigan,2,"['25,790', '  ']","['23,381', '  ']","['2,409', '  ']","['150', '  ']","['2,258', '  ']"
12273,r025,All states -> Minnesota,All states,Minnesota,2,"['8,537', '  ']","['8,141', '  ']","['396', '  ']","['142', '  ']","['254', '  ']"
12273,r026,All states -> Mississippi,All states,Mississippi,2,"['532', '  ']","['442', '  ']","['91', '  ']","['45', '  ']","['46', '  ']"
12273,r027,All states -> Missouri,All states,Missouri,2,"['5,478', '  ']","['4,914', '  ']","['564', 'i ']","['299', 'i ']","['265', 'i ']"
12273,r028,All states -> Montana,All states,Montana,2,"['404', '  ']","['376', '  ']","['28', '  ']","['12', '  ']","['15', '  ']"
