table_id,row_id,_b_state_or_location_and_institution_b_full_path,_b_state_or_location_and_institution_b_level_1,_b_state_or_location_and_institution_b_level_2,_b_state_or_location_and_institution_b_level_3,_b_state_or_location_and_institution_b_hierarchy_depth,field_all_fields,field_education_total,field_education_education_administration,field_education_education_research,field_education_teacher_education,field_education_teaching_fields,field_education_other_education,field_humanities_and_arts_total,field_humanities_and_arts_foreign_languages_and_literature,field_humanities_and_arts_history,field_humanities_and_arts_letters,field_humanities_and_arts_other_humanities_and_arts,field_othera_total,field_othera_business_management_and_administration,field_othera_communication,field_othera_non_s_e_fields_nec
4645,r001,All institutions,All institutions,,,1,55283,4716,927,2312,113,940,424,4939,564,887,1392,2096,3006,1466,593,947
4645,r002,All institutions -> Alabama,All institutions,Alabama,,2,692,110,29,36,16,26,3,22,3,4,12,3,48,28,8,12
4645,r003,All institutions -> Alabama -> Alabama A&M U.,All institutions,Alabama,Alabama A&M U.,3,9,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4645,r004,All institutions -> Alabama -> Alabama State U.,All institutions,Alabama,Alabama State U.,3,18,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
4645,r005,"All institutions -> Alabama -> Auburn U., Auburn",All institutions,Alabama,"Auburn U., Auburn",3,269,46,8,14,15,8,1,6,0,3,2,1,14,7,0,7
4645,r006,All institutions -> Alabama -> Tuskegee U.,All institutions,Alabama,Tuskegee U.,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4645,r007,"All institutions -> Alabama -> U. Alabama, Birmingham",All institutions,Alabama,"U. Alabama, Birmingham",3,149,17,1,5,1,9,1,0,0,0,0,0,0,0,0,0
4645,r008,"All institutions -> Alabama -> U. Alabama, Huntsville",All institutions,Alabama,"U. Alabama, Huntsville",3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4645,r009,"All institutions -> Alabama -> U. Alabama, Tuscaloosa",All institutions,Alabama,"U. Alabama, Tuscaloosa",3,157,25,4,14,0,6,1,16,3,1,10,2,22,9,8,5
4645,r010,All institutions -> Alabama -> U. South Alabama,All institutions,Alabama,U. South Alabama,3,36,3,0,3,0,0,0,0,0,0,0,0,12,12,0,0
4645,r011,All institutions -> Alaska,All institutions,Alaska,,2,54,2,0,1,0,0,1,1,0,0,1,0,3,1,0,2
4645,r012,"All institutions -> Alaska -> U. Alaska, Anchorage",All institutions,Alaska,"U. Alaska, Anchorage",3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4645,r013,"All institutions -> Alaska -> U. Alaska, Fairbanks",All institutions,Alaska,"U. Alaska, Fairbanks",3,49,2,0,1,0,0,1,1,0,0,1,0,3,1,0,2
4645,r014,All institutions -> Arizona,All institutions,Arizona,,2,1052,97,5,39,4,40,9,105,18,10,22,55,57,35,12,10
4645,r015,All institutions -> Arizona -> Arizona State U.,All institutions,Arizona,Arizona State U.,3,536,34,0,12,1,21,0,67,10,2,8,47,34,14,11,9
4645,r016,All institutions -> Arizona -> Northern Arizona U.,All institutions,Arizona,Northern Arizona U.,3,35,11,0,8,1,1,1,0,0,0,0,0,1,0,0,1
4645,r017,All institutions -> Arizona -> Prescott C.,All institutions,Arizona,Prescott C.,3,8,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
4645,r018,All institutions -> Arizona -> U. Arizona,All institutions,Arizona,U. Arizona,3,473,46,5,19,2,18,2,38,8,8,14,8,22,21,1,0
4645,r019,All institutions -> Arkansas,All institutions,Arkansas,,2,270,28,5,17,0,6,0,23,2,7,10,4,17,16,0,1
4645,r020,"All institutions -> Arkansas -> Arkansas State U., Jonesboro",All institutions,Arkansas,"Arkansas State U., Jonesboro",3,9,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
4645,r021,All institutions -> Arkansas -> U. Arkansas for Medical Sciences,All institutions,Arkansas,U. Arkansas for Medical Sciences,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4645,r022,"All institutions -> Arkansas -> U. Arkansas, Fayetteville",All institutions,Arkansas,"U. Arkansas, Fayetteville",3,193,26,4,17,0,5,0,20,2,7,10,1,15,14,0,1
4645,r023,"All institutions -> Arkansas -> U. Arkansas, Little Rock",All institutions,Arkansas,"U. Arkansas, Little Rock",3,32,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4645,r024,All institutions -> Arkansas -> U. Central Arkansas,All institutions,Arkansas,U. Central Arkansas,3,11,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0
4645,r025,All institutions -> California,All institutions,California,,2,5988,280,33,120,5,30,92,564,62,103,114,285,182,99,35,48
4645,r026,"All institutions -> California -> Alliant International U., San Diego",All institutions,California,"Alliant International U., San Diego",3,82,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
4645,r027,All institutions -> California -> Azusa Pacific U.,All institutions,California,Azusa Pacific U.,3,22,19,1,18,0,0,0,0,0,0,0,0,0,0,0,0
4645,r028,All institutions -> California -> Biola U.,All institutions,California,Biola U.,3,29,13,1,2,0,1,9,2,0,0,0,2,0,0,0,0
4645,r029,All institutions -> California -> California Institute of Integral Studies,All institutions,California,California Institute of Integral Studies,3,40,1,1,0,0,0,0,12,0,0,0,12,9,0,1,8
4645,r030,All institutions -> California -> California Institute of Technology,All institutions,California,California Institute of Technology,3,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4645,r031,All institutions -> California -> California Institute of the Arts,All institutions,California,California Institute of the Arts,3,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
4645,r032,All institutions -> California -> Chapman U.,All institutions,California,Chapman U.,3,24,11,1,1,1,0,8,0,0,0,0,0,0,0,0,0
