table_id,row_id,time_period,_b_budget_function_b_level_1,_b_budget_function_b_level_2,_b_budget_function_b_hierarchy_depth,value
10425,r001_2,Agency for International Development,Budget function,International affairs (150),2,X
10425,r002_10,Appalachian Regional Commission,Budget function,Community and regional development (450),2,X
10425,r003_6,Army Corps of Engineers (civil),Budget function,Natural resources and environment (300),2,X
10425,r004_12,Consumer Product Safety Commission,Budget function,Health (550),2,X
10425,r005_6,Department of Agriculture,Budget function,Natural resources and environment (300),2,X
10425,r005_7,Department of Agriculture,Budget function,Agriculture (350),2,X
10425,r006_6,Department of Commerce,Budget function,Natural resources and environment (300),2,X
10425,r006_8,Department of Commerce,Budget function,Commerce and housing credit (370),2,X
10425,r007_1,Department of Defense (military),Budget function,National defense (050),2,X
10425,r008_11,Department of Education,Budget function,"Education, training, employment, and social services (500)",2,X
10425,r009_1,Department of Energy,Budget function,National defense (050),2,X
10425,r009_3,Department of Energy,Budget function,General science and basic research (251),2,X
10425,r009_5,Department of Energy,Budget function,Energy (270),2,X
10425,r010_12,Department of Health and Human Services,Budget function,Health (550),2,X
10425,r010_13,Department of Health and Human Services,Budget function,Medicare (570),2,X
10425,r010_14,Department of Health and Human Services,Budget function,Income security (600),2,X
10425,r011_1,Department of Homeland Security,Budget function,National defense (050),2,X
10425,r011_6,Department of Homeland Security,Budget function,Natural resources and environment (300),2,X
10425,r011_9,Department of Homeland Security,Budget function,Transportation (400),2,X
10425,r011_16,Department of Homeland Security,Budget function,Administration of justice (750),2,X
10425,r012_6,Department of the Interior,Budget function,Natural resources and environment (300),2,X
10425,r012_10,Department of the Interior,Budget function,Community and regional development (450),2,X
10425,r013_1,Department of Justice,Budget function,National defense (050),2,X
10425,r013_16,Department of Justice,Budget function,Administration of justice (750),2,X
10425,r014_2,Department of State,Budget function,International affairs (150),2,X
10425,r015_9,Department of Transportation,Budget function,Transportation (400),2,X
10425,r016_15,Department of Veterans Affairs,Budget function,Veterans benefits and services (700),2,X
10425,r017_6,Environmental Protection Agency,Budget function,Natural resources and environment (300),2,X
10425,r018_4,National Aeronautics and Space Administration,Budget function,"Space flight, research, and supporting activities (252)",2,X
10425,r018_9,National Aeronautics and Space Administration,Budget function,Transportation (400),2,X
10425,r019_3,National Science Foundation,Budget function,General science and basic research (251),2,X
10425,r020_5,Nuclear Regulatory Commission,Budget function,Energy (270),2,X
10425,r021_8,Postal Service,Budget function,Commerce and housing credit (370),2,X
10425,r022_11,Smithsonian Institution,Budget function,"Education, training, employment, and social services (500)",2,X
10425,r023_14,Social Security Administration,Budget function,Income security (600),2,X
10425,r024_5,Tennessee Valley Authority,Budget function,Energy (270),2,X
