table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_level_5,field_of_study_and_sex_hierarchy_depth,field_total_number,field_total_se,field_employed_total_number,field_employed_total_se,field_employed_full_time_number,field_employed_full_time_se,field_employed_part_time_number,field_employed_part_time_se,field_unemployeda_number,field_unemployeda_se,field_retired_number,field_retired_se,field_not_employed_or_not_seeking_workb_number,field_not_employed_or_not_seeking_workb_se
8172,r001,All fields,All fields,,,,,1,1023650,1925,872100,2425,779600,2425,92500,1375,16650,775,114750,1525,20150,800
8172,r002,All fields -> Male,All fields,Male,,,,2,640350,1950,543550,2350,496950,2175,46650,1025,10300,600,79200,1350,7300,525
8172,r003,All fields -> Female,All fields,Female,,,,2,383250,1050,328500,1250,282650,1275,45850,950,6350,425,35550,825,12850,600
8172,r004,All fields -> Science,All fields,Science,,,,2,767500,1675,647300,2000,571050,2075,76250,1225,11850,675,91750,1400,16600,725
8172,r005,All fields -> Science -> Male,All fields,Science,Male,,,3,452800,1825,378200,2000,341700,1900,36500,925,6850,500,62150,1200,5650,450
8172,r006,All fields -> Science -> Female,All fields,Science,Female,,,3,314650,1250,269100,1300,229350,1325,39750,900,5000,400,29550,750,11000,600
8172,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,265700,1050,226850,1275,208550,1325,18300,675,3800,325,29050,750,6000,425
8172,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Male,,4,148000,1275,125000,1225,116050,1250,8950,500,2050,225,19150,725,1800,250
8172,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Female,,4,117700,825,101850,900,92500,850,9300,450,1750,225,9900,425,4200,350
8172,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,4,21050,350,16600,350,15150,375,1450,200,450,100,3650,325,350,75
8172,r011,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Male,5,14600,350,11250,350,10400,325,850,150,300,100,3000,325,100,50
8172,r012,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Female,5,6450,225,5350,225,4750,200,600,125,150,50,650,125,250,75
8172,r013,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,,4,35250,450,29550,600,27050,600,2500,250,350,150,4300,400,1100,225
8172,r014,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Male,5,21350,550,18050,550,16500,525,1550,250,150,75,2750,325,400,150
8172,r015,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Female,5,13950,425,11450,425,10550,425,900,150,S,S,1550,225,700,175
8172,r016,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",,4,36000,350,32300,450,30050,525,2250,325,500,150,2500,300,700,150
8172,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",Male,5,18050,475,16300,475,15200,550,1150,225,250,125,1350,225,100,75
8172,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",Female,5,17900,450,16000,450,14900,450,1100,200,200,75,1150,175,600,125
8172,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,,4,28750,300,24750,425,23150,450,1650,225,400,125,2900,275,650,150
8172,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Male,5,14650,400,12350,425,11650,450,700,175,300,100,1900,250,150,75
8172,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Female,5,14100,375,12450,375,11500,375,950,175,150,50,1000,125,500,125
8172,r022,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,,4,11150,225,9000,225,7950,250,1050,150,200,50,1750,175,200,75
8172,r023,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,Male,5,7500,225,5800,200,5150,225,650,125,150,50,1500,200,S,S
8172,r024,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,Female,5,3650,150,3200,150,2800,150,400,75,50,25,300,75,100,50
8172,r025,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,,4,9100,200,6850,250,6150,225,750,125,200,75,1900,175,150,75
8172,r026,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,Male,5,6350,200,4650,250,4150,200,500,125,200,75,1500,175,,
8172,r027,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,Female,5,2800,150,2250,125,2000,125,250,75,,,450,75,100,50
8172,r028,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,,4,124400,675,107800,850,99100,850,8700,350,1750,200,12000,525,2800,275
8172,r029,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Male,5,65500,825,56600,825,53050,850,3600,275,750,125,7200,425,900,175
8172,r030,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Female,5,58900,625,51150,675,46050,700,5100,300,1000,175,4800,325,1900,225
8172,r031,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,,3,36650,400,33600,425,31650,475,1950,250,400,100,2100,200,550,150
8172,r032,All fields -> Science -> Computer and information sciences -> Male,All fields,Science,Computer and information sciences,Male,,4,29450,425,27350,425,25850,475,1500,225,350,100,1500,175,250,125
8172,r033,All fields -> Science -> Computer and information sciences -> Female,All fields,Science,Computer and information sciences,Female,,4,7200,275,6250,275,5800,275,500,100,50,50,600,75,300,75
8172,r034,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,,3,42950,525,36600,575,33850,575,2750,250,450,100,4750,325,1150,225
8172,r035,All fields -> Science -> Mathematics and statistics -> Male,All fields,Science,Mathematics and statistics,Male,,4,32850,525,28100,575,26050,575,2050,225,350,100,3800,300,550,175
8172,r036,All fields -> Science -> Mathematics and statistics -> Female,All fields,Science,Mathematics and statistics,Female,,4,10100,350,8500,350,7800,325,700,125,100,50,900,125,550,150
8172,r037,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,,3,163600,875,137050,1025,125600,1075,11450,525,3150,350,20750,725,2750,300
8172,r038,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Male,,4,122600,875,101250,975,93050,1000,8200,500,2250,300,17950,675,1200,175
8172,r039,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Female,,4,41000,675,35750,725,32550,675,3250,300,900,150,2800,200,1550,225
8172,r040,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,,4,7250,125,6350,175,5850,175,500,75,100,50,750,125,100,50
8172,r041,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,Male,5,5550,150,4700,175,4400,175,350,75,50,50,700,125,,
8172,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,Female,5,1700,100,1600,100,1450,100,150,50,,,50,25,,
8172,r043,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",,4,80500,650,66350,800,61100,775,5250,375,1800,300,10750,525,1600,225
8172,r044,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Male,5,56800,725,46050,775,42500,750,3550,325,1250,250,8900,500,600,125
8172,r045,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Female,5,23700,550,20300,575,18550,550,1700,250,550,150,1850,175,1000,200
8172,r046,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",,4,26950,275,22050,325,19750,325,2350,200,600,125,3800,225,450,75
