table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_level_5,field_of_study_and_sex_hierarchy_depth,field_total_number,field_total_se,field_employed_total_number,field_employed_total_se,field_employed_full_time_number,field_employed_full_time_se,field_employed_part_time_number,field_employed_part_time_se,field_unemployeda_number,field_unemployeda_se,field_retired_number,field_retired_se,field_not_employed_or_not_seeking_workb_number,field_not_employed_or_not_seeking_workb_se
8172,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Male,5,18550,300,14700,325,13250,325,1500,175,400,100,3250,225,200,75
8172,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Female,5,8350,225,7350,225,6500,225,850,100,200,50,550,75,250,50
8172,r049,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,,4,48900,650,42300,675,38900,700,3350,325,600,125,5400,425,600,150
8172,r050,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,Male,5,41650,650,35750,700,32900,750,2850,300,500,125,5050,400,350,100
8172,r051,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,Female,5,7250,400,6500,375,6000,400,500,125,100,50,350,100,250,125
8172,r052,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,137550,550,113500,825,84500,1000,29000,825,1550,200,18450,675,4050,450
8172,r053,All fields -> Science -> Psychology -> Male,All fields,Science,Psychology,Male,,4,52100,825,41050,900,31800,800,9250,525,550,125,9350,525,1100,275
8172,r054,All fields -> Science -> Psychology -> Female,All fields,Science,Psychology,Female,,4,85500,775,72450,825,52700,825,19750,725,1000,175,9100,475,2950,375
8172,r055,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,121000,950,99700,1000,86900,875,12750,625,2500,300,16650,575,2200,275
8172,r056,All fields -> Science -> Social sciences -> Male,All fields,Science,Social sciences,Male,,4,67800,850,55400,850,48850,825,6500,450,1300,225,10400,550,750,175
8172,r057,All fields -> Science -> Social sciences -> Female,All fields,Science,Social sciences,Female,,4,53200,650,44300,650,38050,675,6250,375,1200,200,6250,325,1450,225
8172,r058,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,,4,32250,550,27300,550,24200,550,3100,300,400,100,4050,350,550,175
8172,r059,All fields -> Science -> Social sciences -> Economics -> Male,All fields,Science,Social sciences,Economics,Male,5,22850,575,19000,575,16900,575,2100,250,250,75,3350,325,250,125
8172,r060,All fields -> Science -> Social sciences -> Economics -> Female,All fields,Science,Social sciences,Economics,Female,5,9400,375,8300,375,7300,350,1000,150,150,75,700,100,250,125
8172,r061,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,,4,24050,550,20500,550,18550,525,1900,225,550,150,2500,300,500,150
8172,r062,All fields -> Science -> Social sciences -> Political science and government -> Male,All fields,Science,Social sciences,Political science and government,Male,5,14850,475,12800,475,11650,450,1100,200,350,125,1600,225,150,75
8172,r063,All fields -> Science -> Social sciences -> Political science and government -> Female,All fields,Science,Social sciences,Political science and government,Female,5,9200,375,7700,350,6900,350,800,150,200,75,900,150,350,125
8172,r064,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",,4,19400,325,15650,375,13450,375,2150,250,400,125,3200,250,200,75
8172,r065,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies -> Male",All fields,Science,Social sciences,"Sociology, demography, and population studies",Male,5,8750,325,6900,275,6050,300,800,150,150,75,1700,225,,
8172,r066,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies -> Female",All fields,Science,Social sciences,"Sociology, demography, and population studies",Female,5,10650,325,8750,275,7400,275,1350,175,250,100,1500,200,150,75
8172,r067,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,,4,45300,525,36300,575,30700,525,5600,300,1150,200,6900,350,950,150
8172,r068,All fields -> Science -> Social sciences -> Other social sciences -> Male,All fields,Science,Social sciences,Other social sciences,Male,5,21350,475,16750,500,14300,400,2450,250,600,150,3750,275,300,100
8172,r069,All fields -> Science -> Social sciences -> Other social sciences -> Female,All fields,Science,Social sciences,Other social sciences,Female,5,23950,450,19550,400,16400,400,3100,225,600,150,3200,250,650,125
8172,r070,All fields -> Engineering,All fields,Engineering,,,,2,206100,1150,183100,1325,172500,1275,10600,600,3800,375,16550,700,2650,275
8172,r071,All fields -> Engineering -> Male,All fields,Engineering,Male,,,3,169600,1200,149800,1425,141400,1375,8400,575,3100,350,15200,675,1550,250
8172,r072,All fields -> Engineering -> Female,All fields,Engineering,Female,,,3,36500,700,33300,675,31100,675,2200,200,700,125,1350,175,1100,150
8172,r073,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,7850,250,7150,250,6900,250,250,75,100,75,550,100,50,25
8172,r074,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> Male",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",Male,,4,7100,275,6400,275,6200,275,200,75,100,75,550,100,,
8172,r075,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> Female",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",Female,,4,800,75,750,75,750,75,50,25,,,,,0.05,0.05
8172,r076,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,,3,24850,425,21650,500,20400,475,1250,250,550,125,2350,300,300,100
8172,r077,All fields -> Engineering -> Chemical engineering -> Male,All fields,Engineering,Chemical engineering,Male,,4,19350,400,16850,475,16000,475,900,250,300,100,2100,300,100,75
8172,r078,All fields -> Engineering -> Chemical engineering -> Female,All fields,Engineering,Chemical engineering,Female,,4,5500,325,4800,325,4400,325,350,125,250,75,250,100,200,75
8172,r079,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,,3,21800,550,19750,575,18250,550,1500,250,300,100,1450,225,300,125
8172,r080,All fields -> Engineering -> Civil engineering -> Male,All fields,Engineering,Civil engineering,Male,,4,17250,450,15400,500,14250,475,1200,250,250,100,1350,225,200,125
8172,r081,All fields -> Engineering -> Civil engineering -> Female,All fields,Engineering,Civil engineering,Female,,4,4600,275,4300,250,4000,250,300,75,50,50,S,S,100,50
8172,r082,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,,3,55900,575,50400,650,47900,675,2550,300,900,200,4100,375,500,125
8172,r083,All fields -> Engineering -> Electrical and computer engineering -> Male,All fields,Engineering,Electrical and computer engineering,Male,,4,48900,600,43750,675,41650,700,2150,300,800,200,3950,350,350,125
8172,r084,All fields -> Engineering -> Electrical and computer engineering -> Female,All fields,Engineering,Electrical and computer engineering,Female,,4,7000,375,6650,375,6250,375,400,75,100,50,150,50,100,50
8172,r085,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,,3,30550,425,27500,450,26400,500,1100,175,500,150,2050,250,500,175
8172,r086,All fields -> Engineering -> Mechanical engineering -> Male,All fields,Engineering,Mechanical engineering,Male,,4,26400,500,23600,550,22600,575,950,175,450,150,1900,250,450,175
8172,r087,All fields -> Engineering -> Mechanical engineering -> Female,All fields,Engineering,Mechanical engineering,Female,,4,4150,300,3950,300,3800,300,150,50,,,100,75,50,50
8172,r088,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,,3,19750,375,17450,400,16500,400,950,150,400,125,1600,200,350,100
8172,r089,All fields -> Engineering -> Metallurgical and materials engineering -> Male,All fields,Engineering,Metallurgical and materials engineering,Male,,4,16050,400,14200,400,13450,425,750,150,300,100,1400,200,100,75
8172,r090,All fields -> Engineering -> Metallurgical and materials engineering -> Female,All fields,Engineering,Metallurgical and materials engineering,Female,,4,3700,250,3200,225,3050,225,200,50,100,50,200,75,200,100
8172,r091,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,,3,45350,450,39250,525,36200,550,3050,250,1000,175,4450,275,650,100
8172,r092,All fields -> Engineering -> Other engineering -> Male,All fields,Engineering,Other engineering,Male,,4,34600,525,29550,575,27300,600,2250,225,850,175,3950,275,250,75
8172,r093,All fields -> Engineering -> Other engineering -> Female,All fields,Engineering,Other engineering,Female,,4,10750,375,9700,350,8900,350,750,150,150,50,500,100,400,100
8172,r094,All fields -> Health,All fields,Health,,,,2,50050,450,41650,525,36000,550,5650,350,1000,175,6500,350,900,150
8172,r095,All fields -> Health -> Male,All fields,Health,Male,,,3,17950,450,15600,450,13850,425,1750,200,350,125,1850,175,150,50
8172,r096,All fields -> Health -> Female,All fields,Health,Female,,,3,32100,525,26100,500,22150,475,3900,325,650,150,4650,325,750,150
