table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8448,r001,R&D and R&D plant,R&D and R&D plant,,,,1,14150,14563,16041,2.9,10.1
8448,r002,R&D and R&D plant -> Department of Energy,R&D and R&D plant,Department of Energy,,,2,7086,6906,7594,-2.5,10.0
8448,r003,R&D and R&D plant -> Department of Energy -> Office of Science,R&D and R&D plant,Department of Energy,Office of Science,,3,7086,6906,7594,-2.5,10.0
8448,r004,R&D and R&D plant -> National Science Foundation,R&D and R&D plant,National Science Foundation,,,2,7064,7657,8447,8.4,10.3
8448,r005,R&D and R&D plant -> National Science Foundation -> Biological Sciences,R&D and R&D plant,National Science Foundation,Biological Sciences,,3,794,782,871,-1.5,11.4
8448,r006,R&D and R&D plant -> National Science Foundation -> Computer and Information Science and Engineering,R&D and R&D plant,National Science Foundation,Computer and Information Science and Engineering,,3,981,954,1033,-2.7,8.2
8448,r007,R&D and R&D plant -> National Science Foundation -> STEM Education<sup>b</sup>,R&D and R&D plant,National Science Foundation,STEM Education<sup>b</sup>,,3,481,578,698,20.2,20.8
8448,r008,R&D and R&D plant -> National Science Foundation -> Engineering,R&D and R&D plant,National Science Foundation,Engineering,,3,727,728,844,0.2,15.9
8448,r009,R&D and R&D plant -> National Science Foundation -> Geosciences,R&D and R&D plant,National Science Foundation,Geosciences,,3,1008,971,1112,-3.6,14.5
8448,r010,R&D and R&D plant -> National Science Foundation -> Integrative Activities,R&D and R&D plant,National Science Foundation,Integrative Activities,,3,374,376,490,0.5,30.4
8448,r011,R&D and R&D plant -> National Science Foundation -> International Science and Engineering,R&D and R&D plant,National Science Foundation,International Science and Engineering,,3,34,58,66,68.5,15.3
8448,r012,R&D and R&D plant -> National Science Foundation -> Major Research Equipment and Facilities and Construction,R&D and R&D plant,National Science Foundation,Major Research Equipment and Facilities and Construction,,3,170,501,187,194.3,-62.7
8448,r013,R&D and R&D plant -> National Science Foundation -> Mathematical and Physical Sciences,R&D and R&D plant,National Science Foundation,Mathematical and Physical Sciences,,3,1562,1516,1568,-2.9,3.4
8448,r014,R&D and R&D plant -> National Science Foundation -> Polar Programs,R&D and R&D plant,National Science Foundation,Polar Programs,,3,346,502,493,44.9,-1.9
8448,r015,"R&D and R&D plant -> National Science Foundation -> Social, Behavioral and Economic Sciences",R&D and R&D plant,National Science Foundation,"Social, Behavioral and Economic Sciences",,3,244,269,296,10.0,10.3
8448,r016,"R&D and R&D plant -> National Science Foundation -> Technology, Innovation, and Partnerships",R&D and R&D plant,National Science Foundation,"Technology, Innovation, and Partnerships",,3,343,423,790,23.1,86.7
8448,r017,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,12118,12304,14027,1.5,14.0
8448,r018,R&D and R&D plant -> R&D -> Department of Energy,R&D and R&D plant,R&D,Department of Energy,,3,5487,5415,6125,-1.3,13.1
8448,r019,R&D and R&D plant -> R&D -> Department of Energy -> Office of Science,R&D and R&D plant,R&D,Department of Energy,Office of Science,4,5487,5415,6125,-1.3,13.1
8448,r020,R&D and R&D plant -> R&D -> National Science Foundation,R&D and R&D plant,R&D,National Science Foundation,,3,6631,6889,7902,3.9,14.7
8448,r021,R&D and R&D plant -> R&D -> National Science Foundation -> Biological Sciences,R&D and R&D plant,R&D,National Science Foundation,Biological Sciences,4,728,750,829,3.0,10.6
8448,r022,R&D and R&D plant -> R&D -> National Science Foundation -> Computer and Information Science and Engineering,R&D and R&D plant,R&D,National Science Foundation,Computer and Information Science and Engineering,4,966,916,984,-5.2,7.4
