table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_intramural_r_d_2019_,field_personnel_costs_2019_amount,field_personnel_costs_2019_of_total,field_total_intramural_r_d_2020_,field_personnel_costs_2020_amount,field_personnel_costs_2020_of_total
3957,r001,All agencies,All agencies,,,,,1,39312750.4,13227485.2,33.6,42404871.1,13448772.7,31.7
3957,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,
3957,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,1643887.9,934859.6,56.9,1792910.1,983643.0,54.9
3957,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,7710.5,5782.9,75.0,6952.5,5214.4,75.0
3957,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1147417.9,640284.0,55.8,1305282.8,686757.0,52.6
3957,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,28587.9,13722.2,48.0,28643.0,13748.6,48.0
3957,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,73922.6,45678.0,61.8,73633.0,31712.0,43.1
3957,r008,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,300000.0,188000.0,62.7,277825.6,193000.0,69.5
3957,r009,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,8656.9,6907.2,79.8,7965.8,6907.2,86.7
3957,r010,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,77592.1,34485.4,44.4,92607.5,46303.7,50.0
3957,r011,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1102118.7,615497.0,55.8,1155298.4,666465.5,57.7
3957,r012,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,602288.8,383983.0,63.8,624740.3,405849.9,65.0
3957,r013,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,396327.4,188349.7,47.5,402540.0,203224.1,50.5
3957,r014,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7900.0,5260.0,66.6,8180.0,5400.0,66.0
3957,r015,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,95602.6,37904.3,39.6,119838.1,51991.5,43.4
3957,r016,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,20314486.6,3961642.7,19.5,21826438.4,4348952.5,19.9
3957,r017,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,344034.1,253191.8,73.6,395482.2,277255.9,70.1
3957,r018,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,4321737.3,1813570.9,42.0,4590375.9,1871833.4,40.8
3957,r019,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,3834386.6,573025.0,14.9,4060754.1,597727.3,14.7
3957,r020,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,6066597.9,135731.2,2.2,6713193.9,240667.1,3.6
3957,r021,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,5747730.7,1186123.8,20.6,6066632.3,1361468.8,22.4
3957,r022,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,10400.3,7446.6,71.6,10392.1,7449.5,71.7
3957,r023,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,1052331.6,216199.8,20.5,1357953.7,219304.2,16.1
3957,r024,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,3148.9,2361.7,75.0,3517.5,2638.2,75.0
3957,r025,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,601000.0,80000.0,13.3,605000.0,80000.0,13.2
3957,r026,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,173017.9,0.05,**,243253.1,50.0,**
3957,r027,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,173017.9,0.05,**,233253.1,0.05,**
3957,r028,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,0.0,0.0,-,10000.0,50.0,0.5
3957,r029,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,2623.4,2.0,0.1,1400.0,2.0,0.1
3957,r030,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,29.1,1.2,4.1,30.0,2.0,6.7
3957,r031,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,272512.3,133834.9,49.1,504753.0,136612.0,27.1
3957,r032,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,7753166.1,2482404.2,32.0,8182730.7,2637301.9,32.2
