table_id,row_id,demographic_characteristic_full_path,demographic_characteristic_level_1,demographic_characteristic_level_2,demographic_characteristic_level_3,demographic_characteristic_level_4,demographic_characteristic_hierarchy_depth,field_all_recipientsa_number_,field_all_disability_respondents_number,field_all_disability_respondents_percent,field_with_disability_number,field_with_disability_percent,field_visual_disabilities_number,field_visual_disabilities_percent,field_hearing_disabilities_number,field_hearing_disabilities_percent,field_walking_disabilities_number,field_walking_disabilities_percent,field_lifting_disabilities_number,field_lifting_disabilities_percent,field_cognitive_disabilitiesb_number,field_cognitive_disabilitiesb_percent,field_without_disability_number,field_without_disability_percent
1212,r011,All S&E doctorate recipients<sup>c</sup> -> Field of study -> Science -> Social sciences,All S&E doctorate recipients<sup>c</sup>,Field of study,Science,Social sciences,4,5734,5030,100.0,455,9.0,182,3.6,85,1.7,41,0.8,65,1.3,204,4.1,4575,91.0
1212,r012,All S&E doctorate recipients<sup>c</sup> -> Field of study -> Engineering,All S&E doctorate recipients<sup>c</sup>,Field of study,Engineering,,3,9745,8592,100.0,629,7.3,387,4.5,99,1.2,28,0.3,47,0.5,199,2.3,7963,92.7
1212,r013,All S&E doctorate recipients<sup>c</sup> -> Sex,All S&E doctorate recipients<sup>c</sup>,Sex,,,2,,,,,,,,,,,,,,,,,
1212,r014,All S&E doctorate recipients<sup>c</sup> -> Sex -> Male,All S&E doctorate recipients<sup>c</sup>,Sex,Male,,3,23108,20769,100.0,1566,7.5,765,3.7,291,1.4,75,0.4,82,0.4,658,3.2,19203,92.5
1212,r015,All S&E doctorate recipients<sup>c</sup> -> Sex -> Female,All S&E doctorate recipients<sup>c</sup>,Sex,Female,,3,16309,14170,100.0,1147,8.1,457,3.2,145,1.0,71,0.5,140,1.0,547,3.9,13023,91.9
1212,r016,All S&E doctorate recipients<sup>c</sup> -> Citizenship,All S&E doctorate recipients<sup>c</sup>,Citizenship,,,2,,,,,,,,,,,,,,,,,
1212,r017,All S&E doctorate recipients<sup>c</sup> -> Citizenship -> U.S. citizens and permanent residents,All S&E doctorate recipients<sup>c</sup>,Citizenship,U.S. citizens and permanent residents,,3,24025,21864,100.0,1788,8.2,483,2.2,343,1.6,101,0.5,127,0.6,1030,4.7,20076,91.8
1212,r018,All S&E doctorate recipients<sup>c</sup> -> Citizenship -> Temporary visa holders,All S&E doctorate recipients<sup>c</sup>,Citizenship,Temporary visa holders,,3,13734,13023,100.0,919,7.1,737,5.7,89,0.7,44,0.3,94,0.7,174,1.3,12104,92.9
1212,r019,All S&E doctorate recipients<sup>c</sup> -> Ethnicity and race,All S&E doctorate recipients<sup>c</sup>,Ethnicity and race,,,2,,,,,,,,,,,,,,,,,
1212,r020,All S&E doctorate recipients<sup>c</sup> -> Ethnicity and race -> Hispanic or Latino<sup>d</sup>,All S&E doctorate recipients<sup>c</sup>,Ethnicity and race,Hispanic or Latino<sup>d</sup>,,3,2486,2310,100.0,229,9.9,92,4.0,38,1.6,10,0.4,13,0.6,120,5.2,2081,90.1
1212,r021,All S&E doctorate recipients<sup>c</sup> -> Ethnicity and race -> Not Hispanic or Latino,All S&E doctorate recipients<sup>c</sup>,Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,
1212,r022,All S&E doctorate recipients<sup>c</sup> -> Ethnicity and race -> Not Hispanic or Latino -> American Indian or Alaska Native,All S&E doctorate recipients<sup>c</sup>,Ethnicity and race,Not Hispanic or Latino,American Indian or Alaska Native,4,64,57,100.0,8,14.0,5,8.8,,,,,,,,,49,86.0
1212,r023,All S&E doctorate recipients<sup>c</sup> -> Ethnicity and race -> Not Hispanic or Latino -> Asian,All S&E doctorate recipients<sup>c</sup>,Ethnicity and race,Not Hispanic or Latino,Asian,4,12147,11486,100.0,825,7.2,667,5.8,71,0.6,37,0.3,68,0.6,146,1.3,10661,92.8
1212,r024,All S&E doctorate recipients<sup>c</sup> -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,All S&E doctorate recipients<sup>c</sup>,Ethnicity and race,Not Hispanic or Latino,Black or African American,4,1619,1489,100.0,92,6.2,47,3.2,14,0.9,10,0.7,14,0.9,29,1.9,1397,93.8
1212,r025,All S&E doctorate recipients<sup>c</sup> -> Ethnicity and race -> Not Hispanic or Latino -> White,All S&E doctorate recipients<sup>c</sup>,Ethnicity and race,Not Hispanic or Latino,White,4,19482,18478,100.0,1441,7.8,374,2.0,288,1.6,82,0.4,113,0.6,836,4.5,17037,92.2
1212,r026,All S&E doctorate recipients<sup>c</sup> -> Ethnicity and race -> Not Hispanic or Latino -> More than one race,All S&E doctorate recipients<sup>c</sup>,Ethnicity and race,Not Hispanic or Latino,More than one race,4,783,768,100.0,77,10.0,21,2.7,12,1.6,,,6,0.8,55,7.2,691,90.0
1212,r027,All S&E doctorate recipients<sup>c</sup> -> Ethnicity and race -> Not Hispanic or Latino -> Other race or race not reported,All S&E doctorate recipients<sup>c</sup>,Ethnicity and race,Not Hispanic or Latino,Other race or race not reported,4,559,254,100.0,22,8.7,9,3.5,,,1,0.4,,,,,232,91.3
1212,r028,All S&E doctorate recipients<sup>c</sup> -> Ethnicity and race -> Ethnicity not reported,All S&E doctorate recipients<sup>c</sup>,Ethnicity and race,Ethnicity not reported,,3,2295,98,100.0,19,19.4,7,7.1,6,6.1,2,2.0,0,0.0,7,7.1,79,80.6
