table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_intramural_performersa,field_extramural_performersb_total,field_extramural_performersb_academic_institutions,field_extramural_performersb_companies_and_individualsc,field_extramural_performersb_otherd
9947,r001,United States<sup>e</sup>,United States<sup>e</sup>,,,1,2643991142,696624562,1947366580,1032713072,454745763,459907745
9947,r002,United States<sup>e</sup> -> Alabama,United States<sup>e</sup>,Alabama,,2,88219991,12081222,76138769,12354753,691474,63092542
9947,r003,"United States<sup>e</sup> -> Alabama -> Commerce, Department of",United States<sup>e</sup>,Alabama,"Commerce, Department of",3,63419633,0,63419633,1000000,419633,62000000
9947,r004,"United States<sup>e</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>e</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,1219039,0,1219039,1219039,0,0
9947,r005,"United States<sup>e</sup> -> Alabama -> Economic and Community Affairs, Department of",United States<sup>e</sup>,Alabama,"Economic and Community Affairs, Department of",3,1693012,0,1693012,1421171,271841,0
9947,r006,"United States<sup>e</sup> -> Alabama -> Education, Department of",United States<sup>e</sup>,Alabama,"Education, Department of",3,6214729,4918832,1295897,203355,0,1092542
9947,r007,"United States<sup>e</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>e</sup>,Alabama,"Forensic Sciences, Department of",3,208094,208094,0,0,0,0
9947,r008,United States<sup>e</sup> -> Alabama -> Geological Survey,United States<sup>e</sup>,Alabama,Geological Survey,3,3563032,3563032,0,0,0,0
9947,r009,"United States<sup>e</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>e</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,3684864,3391264,293600,293600,0,0
9947,r010,United States<sup>e</sup> -> Alabama -> Supercomputer Authority,United States<sup>e</sup>,Alabama,Supercomputer Authority,3,4553801,0,4553801,4553801,0,0
9947,r011,"United States<sup>e</sup> -> Alabama -> Transportation, Department of",United States<sup>e</sup>,Alabama,"Transportation, Department of",3,3663787,0,3663787,3663787,0,0
9947,r012,United States<sup>e</sup> -> Alaska,United States<sup>e</sup>,Alaska,,2,17157228,11600345,5556883,1476494,2512461,1567928
9947,r013,United States<sup>e</sup> -> Alaska -> Energy Authority,United States<sup>e</sup>,Alaska,Energy Authority,3,231152,0,231152,0,231152,0
9947,r014,"United States<sup>e</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>e</sup>,Alaska,"Environmental Conservation, Department of ",3,534187,59405,474782,135724,339058,0
9947,r015,United States<sup>e</sup> -> Alaska -> Housing Finance Corporation,United States<sup>e</sup>,Alaska,Housing Finance Corporation,3,500000,0,500000,0,0,500000
9947,r016,"United States<sup>e</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>e</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,9216400,9216400,0,0,0,0
9947,r017,United States<sup>e</sup> -> Alaska -> Railroad Corporation,United States<sup>e</sup>,Alaska,Railroad Corporation,3,3636619,1868960,1767659,0,1767659,0
9947,r018,"United States<sup>e</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>e</sup>,Alaska,"Transportation and Public Facilities, Department of",3,3038870,455580,2583290,1340770,174592,1067928
9947,r019,United States<sup>e</sup> -> Arizona,United States<sup>e</sup>,Arizona,,2,7946421,2039798,5906623,4170522,1648151,87950
