table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_level_6,_b_detailed_field_b_hierarchy_depth,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10677,r001,All fields,All fields,,,,,,1,28180,29284,30349,29661,30548,32279
10677,r002,All fields -> Science,All fields,Science,,,,,2,17268,18278,18819,18212,18728,19423
10677,r003,All fields -> Science -> Agricultural and veterinary sciences<sup>a</sup>,All fields,Science,Agricultural and veterinary sciences<sup>a</sup>,,,,3,496,565,645,964,902,1068
10677,r004,All fields -> Science -> Agricultural and veterinary sciences<sup>a</sup> -> Agricultural sciences,All fields,Science,Agricultural and veterinary sciences<sup>a</sup>,Agricultural sciences,,,4,496,565,645,650,602,755
10677,r005,All fields -> Science -> Agricultural and veterinary sciences<sup>a</sup> -> Veterinary biomedical and clinical sciences<sup>b</sup>,All fields,Science,Agricultural and veterinary sciences<sup>a</sup>,Veterinary biomedical and clinical sciences<sup>b</sup>,,,4,na,na,na,314,300,313
10677,r006,All fields -> Science -> Biological and biomedical sciences<sup>a</sup>,All fields,Science,Biological and biomedical sciences<sup>a</sup>,,,,3,8203,8250,8229,8112,8187,8207
10677,r007,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biochemistry,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biochemistry,,,4,757,723,755,800,822,843
10677,r008,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biology,,,4,847,897,766,776,784,754
10677,r009,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biomedical sciences,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biomedical sciences,,,4,533,588,622,406,419,571
10677,r010,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biophysics,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biophysics,,,4,46,25,36,66,77,79
10677,r011,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biostatistics and bioinformatics,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biostatistics and bioinformatics,,,4,357,393,400,380,338,357
10677,r012,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biotechnology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biotechnology,,,4,91,102,91,95,87,87
10677,r013,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Botany and plant biology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Botany and plant biology,,,4,228,343,314,258,230,218
10677,r014,"All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Cell, cellular biology, and anatomical sciences",All fields,Science,Biological and biomedical sciences<sup>a</sup>,"Cell, cellular biology, and anatomical sciences",,,4,600,610,579,548,533,590
10677,r015,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Ecology and population biology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Ecology and population biology,,,4,242,248,183,230,250,221
10677,r016,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Epidemiology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Epidemiology,,,4,107,99,99,126,128,122
10677,r017,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Genetics,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Genetics,,,4,510,405,501,545,591,551
10677,r018,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Microbiological sciences and immunology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Microbiological sciences and immunology,,,4,863,773,764,750,711,708
10677,r019,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Molecular biology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Molecular biology,,,4,133,186,233,225,239,210
10677,r020,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Neurobiology and neuroscience,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Neurobiology and neuroscience,,,4,852,732,726,789,795,800
10677,r021,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Nutrition science,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Nutrition science,,,4,113,165,136,143,137,98
10677,r022,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Pathology and experimental pathology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Pathology and experimental pathology,,,4,444,398,422,401,382,308
10677,r023,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Pharmacology and toxicology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Pharmacology and toxicology,,,4,436,372,377,394,433,387
10677,r024,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Physiology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Physiology,,,4,616,681,723,731,663,714
10677,r025,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Zoology and animal biology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Zoology and animal biology,,,4,127,160,168,137,174,187
10677,r026,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biological and biomedical sciences nec,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biological and biomedical sciences nec,,,4,301,350,334,312,394,402
10677,r027,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,,,3,476,515,510,458,457,507
10677,r028,All fields -> Science -> Computer and information sciences -> Computer science,All fields,Science,Computer and information sciences,Computer science,,,4,279,261,274,218,209,192
10677,r029,All fields -> Science -> Computer and information sciences -> Computer and information sciences<sup>c</sup>,All fields,Science,Computer and information sciences,Computer and information sciences<sup>c</sup>,,,4,134,143,137,147,150,174
10677,r030,All fields -> Science -> Computer and information sciences -> Computer and information sciences<sup>c</sup> -> Computer and information sciences<sup>d</sup>,All fields,Science,Computer and information sciences,Computer and information sciences<sup>c</sup>,Computer and information sciences<sup>d</sup>,,5,NA,NA,NA,104,111,134
