table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_nonfederal
2042,r001,All states,All states,,1,"['400,100', '  ']","['339,036', '  ']","['61,065', '  ']","['24,277', 'i ']","['36,787', '  ']"
2042,r002,All states -> Alabama,All states,Alabama,2,"['1,896', '  ']","['968', '  ']","['928', '  ']","['821', '  ']","['107', 'i ']"
2042,r003,All states -> Alaska,All states,Alaska,2,"['912', '  ']","['905', '  ']","['7', '  ']","['3', '  ']","['4', '  ']"
2042,r004,All states -> Arizona,All states,Arizona,2,"['6,338', '  ']","['4,476', '  ']","['1,862', '  ']","['932', '  ']","['929', '  ']"
2042,r005,All states -> Arkansas,All states,Arkansas,2,"['466', '  ']","['442', '  ']","['24', '  ']","['6', '  ']","['18', '  ']"
2042,r006,All states -> California,All states,California,2,"['132,473', '  ']","['120,111', '  ']","['12,362', '  ']","['5,573', 'i ']","['6,789', '  ']"
2042,r007,All states -> Colorado,All states,Colorado,2,"['4,703', '  ']","['3,828', '  ']","['875', '  ']","['645', 'i ']","['230', '  ']"
2042,r008,All states -> Connecticut,All states,Connecticut,2,"['8,694', '  ']","['6,423', '  ']","['2,272', '  ']","['1,835', '  ']","['437', '  ']"
2042,r009,All states -> Delaware,All states,Delaware,2,"['2,048', '  ']","['1,445', 'i ']","['603', '  ']","['9', '  ']","['593', '  ']"
2042,r010,All states -> District of Columbia,All states,District of Columbia,2,"['406', '  ']","['279', '  ']","['127', '  ']","['111', '  ']","['16', '  ']"
2042,r011,All states -> Florida,All states,Florida,2,"['6,463', '  ']","['4,496', '  ']","['1,966', 'i ']","['1,300', 'i ']","['667', '  ']"
2042,r012,All states -> Georgia,All states,Georgia,2,"['6,450', '  ']","['5,085', '  ']","['1,365', 'i ']","['110', 'i ']","['1,255', 'i ']"
2042,r013,All states -> Hawaii,All states,Hawaii,2,"['169', '  ']","['105', '  ']","['64', '  ']","['22', '  ']","['41', '  ']"
