table_id,row_id,_b_r_d_field_b_full_path,_b_r_d_field_b_level_1,_b_r_d_field_b_level_2,_b_r_d_field_b_level_3,_b_r_d_field_b_level_4,_b_r_d_field_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
5366,r001,All R&D fields,All R&D fields,,,,1,2588624,8036,0.3,1201365,4323,0.4
5366,r002,All R&D fields -> All science and engineering,All R&D fields,All science and engineering,,,2,2528918,96260,3.8,1195886,39600,3.3
5366,r003,All R&D fields -> All science and engineering -> Computer and information sciences,All R&D fields,All science and engineering,Computer and information sciences,,3,164385,9387,5.7,113808,2562,2.3
5366,r004,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",,3,136963,3359,2.5,91416,929,1.0
5366,r005,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,20841,661,3.2,16572,150,0.9
5366,r006,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,52636,1496,2.8,29953,485,1.6
5366,r007,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,57836,1155,2.0,42700,263,0.6
5366,r008,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,5650,47,0.8,2191,31,1.4
5366,r009,All R&D fields -> All science and engineering -> Life sciences,All R&D fields,All science and engineering,Life sciences,,3,990630,19030,1.9,373658,11729,3.1
5366,r010,All R&D fields -> All science and engineering -> Life sciences -> Agricultural sciences,All R&D fields,All science and engineering,Life sciences,Agricultural sciences,4,98162,282,0.3,24075,157,0.7
5366,r011,All R&D fields -> All science and engineering -> Life sciences -> Biological and biomedical sciences,All R&D fields,All science and engineering,Life sciences,Biological and biomedical sciences,4,455430,10842,2.4,193815,6868,3.5
5366,r012,All R&D fields -> All science and engineering -> Life sciences -> Health sciences,All R&D fields,All science and engineering,Life sciences,Health sciences,4,382382,7826,2.0,135695,4687,3.5
5366,r013,All R&D fields -> All science and engineering -> Life sciences -> Natural resources and conservation,All R&D fields,All science and engineering,Life sciences,Natural resources and conservation,4,11673,48,0.4,4225,13,0.3
5366,r014,All R&D fields -> All science and engineering -> Life sciences -> Life sciences nec,All R&D fields,All science and engineering,Life sciences,Life sciences nec,4,42983,32,0.1,15848,4,0.0
5366,r015,All R&D fields -> All science and engineering -> Mathematics and statistics,All R&D fields,All science and engineering,Mathematics and statistics,,3,7907,3507,44.4,4158,1280,30.8
5366,r016,All R&D fields -> All science and engineering -> Physical sciences,All R&D fields,All science and engineering,Physical sciences,,3,409342,16685,4.1,256469,6625,2.6
5366,r017,All R&D fields -> All science and engineering -> Physical sciences -> Astronomy and astrophysics,All R&D fields,All science and engineering,Physical sciences,Astronomy and astrophysics,4,35304,4196,11.9,18802,1963,10.4
5366,r018,All R&D fields -> All science and engineering -> Physical sciences -> Chemistry,All R&D fields,All science and engineering,Physical sciences,Chemistry,4,136354,1102,0.8,75360,663,0.9
5366,r019,All R&D fields -> All science and engineering -> Physical sciences -> Materials science,All R&D fields,All science and engineering,Physical sciences,Materials science,4,19654,199,1.0,11453,199,1.7
5366,r020,All R&D fields -> All science and engineering -> Physical sciences -> Physics,All R&D fields,All science and engineering,Physical sciences,Physics,4,184112,8866,4.8,125708,3434,2.7
5366,r021,All R&D fields -> All science and engineering -> Physical sciences -> Physical sciences nec,All R&D fields,All science and engineering,Physical sciences,Physical sciences nec,4,33918,2322,6.8,25146,366,1.5
5366,r022,All R&D fields -> All science and engineering -> Psychology,All R&D fields,All science and engineering,Psychology,,3,22078,495,2.2,8666,260,3.0
5366,r023,All R&D fields -> All science and engineering -> Social sciences,All R&D fields,All science and engineering,Social sciences,,3,14414,490,3.4,2767,224,8.1
5366,r024,All R&D fields -> All science and engineering -> Social sciences -> Anthropology,All R&D fields,All science and engineering,Social sciences,Anthropology,4,2843,5,0.2,145,1,0.7
5366,r025,All R&D fields -> All science and engineering -> Social sciences -> Economics,All R&D fields,All science and engineering,Social sciences,Economics,4,2422,33,1.4,167,6,3.6
5366,r026,All R&D fields -> All science and engineering -> Social sciences -> Political science and government,All R&D fields,All science and engineering,Social sciences,Political science and government,4,886,21,2.4,140,2,1.4
5366,r027,"All R&D fields -> All science and engineering -> Social sciences -> Sociology, demography, and population studies",All R&D fields,All science and engineering,Social sciences,"Sociology, demography, and population studies",4,2108,225,10.7,906,127,14.0
5366,r028,All R&D fields -> All science and engineering -> Social sciences -> Social sciences nec,All R&D fields,All science and engineering,Social sciences,Social sciences nec,4,6155,206,3.3,1409,88,6.2
5366,r029,All R&D fields -> All science and engineering -> Sciences nec,All R&D fields,All science and engineering,Sciences nec,,3,41326,1546,3.7,9128,547,6.0
5366,r030,All R&D fields -> All science and engineering -> Engineering,All R&D fields,All science and engineering,Engineering,,3,741873,41761,5.6,335816,15444,4.6
5366,r031,"All R&D fields -> All science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,All science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,62078,4759,7.7,37169,1575,4.2
5366,r032,All R&D fields -> All science and engineering -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,All science and engineering,Engineering,Bioengineering and biomedical engineering,4,56178,1284,2.3,26692,715,2.7
5366,r033,All R&D fields -> All science and engineering -> Engineering -> Chemical engineering,All R&D fields,All science and engineering,Engineering,Chemical engineering,4,53400,600,1.1,23898,258,1.1
5366,r034,All R&D fields -> All science and engineering -> Engineering -> Civil engineering,All R&D fields,All science and engineering,Engineering,Civil engineering,4,39656,319,0.8,17784,131,0.7
5366,r035,"All R&D fields -> All science and engineering -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,All science and engineering,Engineering,"Electrical, electronic, and communications engineering",4,138659,19213,13.9,88821,6458,7.3
5366,r036,All R&D fields -> All science and engineering -> Engineering -> Industrial and manufacturing engineering,All R&D fields,All science and engineering,Engineering,Industrial and manufacturing engineering,4,22505,3511,15.6,15311,1150,7.5
5366,r037,All R&D fields -> All science and engineering -> Engineering -> Mechanical engineering,All R&D fields,All science and engineering,Engineering,Mechanical engineering,4,95127,8688,9.1,52675,4001,7.6
5366,r038,All R&D fields -> All science and engineering -> Engineering -> Metallurgical and materials engineering,All R&D fields,All science and engineering,Engineering,Metallurgical and materials engineering,4,58883,694,1.2,35461,264,0.7
5366,r039,All R&D fields -> All science and engineering -> Engineering -> Engineering nec,All R&D fields,All science and engineering,Engineering,Engineering nec,4,215387,2695,1.3,38005,892,2.3
