table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_companies_companies_number_,field_all_companies_,field_all_companies_amount,field_all_companies_,field_1_4_employees_companies_number_,field_1_4_employees_,field_1_4_employees_amount,field_1_4_employees_,field_5_9_employees_companies_number_,field_5_9_employees_,field_5_9_employees_amount,field_5_9_employees_
7725,r001,All states,All states,,1,15391,,5600668,,9892,,2514365,,5501,,3086303,
7725,r002,All states -> Alabama,All states,Alabama,2,131,,59496,,107,r,48147,r,25,,11349,
7725,r003,All states -> Alaska,All states,Alaska,2,4,,281,,2,,179,,2,,102,
7725,r004,All states -> Arizona,All states,Arizona,2,366,,117036,,236,,47643,,129,,69393,
7725,r005,All states -> Arkansas,All states,Arkansas,2,32,,13506,,24,,10856,r,8,r,2650,r
7725,r006,All states -> California,All states,California,2,4409,,1758934,,2886,,778010,,1524,,980924,
7725,r007,All states -> Colorado,All states,Colorado,2,611,,163113,,400,,64753,,210,,98361,
7725,r008,All states -> Connecticut,All states,Connecticut,2,269,,65202,,155,,33869,,116,,31333,
7725,r009,All states -> Delaware,All states,Delaware,2,136,,51109,,79,,21356,,58,,29752,
7725,r010,All states -> District of Columbia,All states,District of Columbia,2,26,,9259,,17,,4985,,10,,4274,
7725,r011,All states -> Florida,All states,Florida,2,654,,189261,,370,,71399,,286,,117862,
7725,r012,All states -> Georgia,All states,Georgia,2,313,,84661,,252,,70881,,62,,13780,
7725,r013,All states -> Hawaii,All states,Hawaii,2,8,,2738,,4,,1092,,5,,1645,
7725,r014,All states -> Idaho,All states,Idaho,2,54,,11838,,38,,4235,,18,,7603,
7725,r015,All states -> Illinois,All states,Illinois,2,455,,166995,,257,,49076,,199,,117918,
7725,r016,All states -> Indiana,All states,Indiana,2,92,,34136,,54,,11173,,38,,22964,
7725,r017,All states -> Iowa,All states,Iowa,2,66,,22886,,24,,7862,,43,,15024,
7725,r018,All states -> Kansas,All states,Kansas,2,61,,14543,,48,,8641,,14,,5902,
7725,r019,All states -> Kentucky,All states,Kentucky,2,62,,20542,,37,,9477,,26,,11065,
7725,r020,All states -> Louisiana,All states,Louisiana,2,78,r,8501,,19,,3329,,59,r,5171,
7725,r021,All states -> Maine,All states,Maine,2,62,,6144,,29,r,3037,,32,r,3108,
7725,r022,All states -> Maryland,All states,Maryland,2,413,,176147,,270,,81271,,144,,94876,
7725,r023,All states -> Massachusetts,All states,Massachusetts,2,547,,264522,,345,,118479,,203,,146043,
7725,r024,All states -> Michigan,All states,Michigan,2,352,,256524,,247,,96159,,107,,160364,r
7725,r025,All states -> Minnesota,All states,Minnesota,2,285,,132367,r,222,,70290,,64,,62077,r
7725,r026,All states -> Mississippi,All states,Mississippi,2,14,,2181,,11,,1802,,2,,379,
7725,r027,All states -> Missouri,All states,Missouri,2,157,,28945,,89,r,10672,,67,,18273,
7725,r028,All states -> Montana,All states,Montana,2,60,,14946,,36,,9597,,23,,5350,r
7725,r029,All states -> Nebraska,All states,Nebraska,2,85,r,12366,r,69,r,7256,r,16,,5109,
7725,r030,All states -> Nevada,All states,Nevada,2,124,,29501,,85,,19413,,38,,10088,
7725,r031,All states -> New Hampshire,All states,New Hampshire,2,109,r,33704,,76,r,11799,,32,,21904,
7725,r032,All states -> New Jersey,All states,New Jersey,2,370,,167115,,299,,118562,,72,,48553,
7725,r033,All states -> New Mexico,All states,New Mexico,2,60,,26965,,43,,9612,,16,,17353,r
7725,r034,All states -> New York,All states,New York,2,880,,342484,,539,,88843,,340,,253641,
7725,r035,All states -> North Carolina,All states,North Carolina,2,368,,104465,,193,,31689,,175,,72776,
7725,r036,All states -> North Dakota,All states,North Dakota,2,14,,5470,,8,,947,,8,,4523,r
7725,r037,All states -> Ohio,All states,Ohio,2,419,,84892,,218,,45322,,202,,39571,
7725,r038,All states -> Oklahoma,All states,Oklahoma,2,63,,18295,,33,,5004,,29,,13291,
7725,r039,All states -> Oregon,All states,Oregon,2,244,,89673,,161,,42322,,84,,47352,
7725,r040,All states -> Pennsylvania,All states,Pennsylvania,2,421,,154531,,241,,77340,,181,,77191,
7725,r041,All states -> Rhode Island,All states,Rhode Island,2,34,,8602,r,27,,6737,r,7,r,1865,r
7725,r042,All states -> South Carolina,All states,South Carolina,2,82,,20519,,68,,12421,,15,,8098,
7725,r043,All states -> South Dakota,All states,South Dakota,2,24,r,68641,r,10,r,643,r,13,r,67997,r
7725,r044,All states -> Tennessee,All states,Tennessee,2,177,,34312,,114,r,14797,r,64,,19515,
7725,r045,All states -> Texas,All states,Texas,2,660,,171867,,534,,136462,,125,,35404,
7725,r046,All states -> Utah,All states,Utah,2,161,,59722,,103,,27911,,56,,31811,
7725,r047,All states -> Vermont,All states,Vermont,2,36,,11494,,25,r,6459,r,12,,5035,r
7725,r048,All states -> Virginia,All states,Virginia,2,426,,126325,,272,,49646,,153,,76679,
7725,r049,All states -> Washington,All states,Washington,2,560,,220878,,303,,115606,,258,,105272,
7725,r050,All states -> West Virginia,All states,West Virginia,2,28,r,8575,r,26,r,8468,r,2,r,107,r
7725,r051,All states -> Wisconsin,All states,Wisconsin,2,195,,48893,,158,,31005,,38,,17888,
7725,r052,All states -> Wyoming,All states,Wyoming,2,44,r,23734,r,20,,1738,,25,r,21996,r
7725,r053,All states -> Undistributed,All states,Undistributed,2,85,r,51835,r,19,,6093,r,68,r,45742,r
