table_id,row_id,sex_level_of_highest_degree_and_occupation_full_path,sex_level_of_highest_degree_and_occupation_level_1,sex_level_of_highest_degree_and_occupation_level_2,sex_level_of_highest_degree_and_occupation_level_3,sex_level_of_highest_degree_and_occupation_level_4,sex_level_of_highest_degree_and_occupation_level_5,sex_level_of_highest_degree_and_occupation_hierarchy_depth,field_2003,field_2010,field_2013,field_2015,field_2017,field_2019
5291,r001,Both sexes,Both sexes,,,,,1,32574000,40623000,43839000,45941000,48223000,50524000
5291,r002,Both sexes -> S&E occupations,Both sexes,S&E occupations,,,,2,4588000,5374000,5766000,6407000,6769000,7466000
5291,r003,"Both sexes -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,S&E occupations,"Biological, agricultural, and other life scientists",,,3,421000,602000,638000,631000,610000,698000
5291,r004,Both sexes -> S&E occupations -> Computer and mathematical scientists,Both sexes,S&E occupations,Computer and mathematical scientists,,,3,1930000,2396000,2653000,3156000,3419000,3774000
5291,r005,Both sexes -> S&E occupations -> Physical and related scientists,Both sexes,S&E occupations,Physical and related scientists,,,3,298000,327000,324000,331000,366000,409000
5291,r006,Both sexes -> S&E occupations -> Social and related scientists,Both sexes,S&E occupations,Social and related scientists,,,3,477000,518000,596000,570000,646000,663000
5291,r007,Both sexes -> S&E occupations -> Engineers,Both sexes,S&E occupations,Engineers,,,3,1463000,1531000,1554000,1719000,1728000,1921000
5291,r008,Both sexes -> S&E-related occupations,Both sexes,S&E-related occupations,,,,2,5155000,6966000,7508000,7867000,8271000,8893000
5291,r009,Both sexes -> Non-S&E occupations,Both sexes,Non-S&E occupations,,,,2,22831000,28282000,30566000,31667000,33183000,34165000
5291,r010,Both sexes -> Bachelor's,Both sexes,Bachelor's,,,,2,20365000,25354000,27802000,28509000,30131000,31373000
5291,r011,Both sexes -> Bachelor's -> S&E occupations,Both sexes,Bachelor's,S&E occupations,,,3,2529000,2980000,3288000,3518000,3846000,4176000
5291,r012,"Both sexes -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",,4,146000,233000,264000,241000,230000,277000
5291,r013,Both sexes -> Bachelor's -> S&E occupations -> Computer and mathematical scientists,Both sexes,Bachelor's,S&E occupations,Computer and mathematical scientists,,4,1243000,1564000,1785000,1978000,2219000,2403000
5291,r014,Both sexes -> Bachelor's -> S&E occupations -> Physical and related scientists,Both sexes,Bachelor's,S&E occupations,Physical and related scientists,,4,119000,126000,128000,126000,164000,189000
5291,r015,Both sexes -> Bachelor's -> S&E occupations -> Social and related scientists,Both sexes,Bachelor's,S&E occupations,Social and related scientists,,4,101000,96000,124000,90000,172000,147000
5291,r016,Both sexes -> Bachelor's -> S&E occupations -> Engineers,Both sexes,Bachelor's,S&E occupations,Engineers,,4,920000,960000,988000,1083000,1061000,1158000
5291,r017,Both sexes -> Bachelor's -> S&E-related occupations,Both sexes,Bachelor's,S&E-related occupations,,,3,2779000,3784000,4065000,4222000,4338000,4794000
5291,r018,Both sexes -> Bachelor's -> Non-S&E occupations,Both sexes,Bachelor's,Non-S&E occupations,,,3,15057000,18589000,20449000,20769000,21946000,22403000
5291,r019,Both sexes -> Master's,Both sexes,Master's,,,,2,8677000,11118000,11728000,12888000,13260000,14158000
5291,r020,Both sexes -> Master's -> S&E occupations,Both sexes,Master's,S&E occupations,,,3,1406000,1644000,1689000,2076000,2069000,2286000
5291,r021,"Both sexes -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists",Both sexes,Master's,S&E occupations,"Biological, agricultural, and other life scientists",,4,94000,152000,158000,169000,149000,152000
5291,r022,Both sexes -> Master's -> S&E occupations -> Computer and mathematical scientists,Both sexes,Master's,S&E occupations,Computer and mathematical scientists,,4,581000,717000,744000,1048000,1039000,1168000
5291,r023,Both sexes -> Master's -> S&E occupations -> Physical and related scientists,Both sexes,Master's,S&E occupations,Physical and related scientists,,4,82000,87000,83000,85000,98000,97000
5291,r024,Both sexes -> Master's -> S&E occupations -> Social and related scientists,Both sexes,Master's,S&E occupations,Social and related scientists,,4,205000,218000,249000,249000,235000,249000
5291,r025,Both sexes -> Master's -> S&E occupations -> Engineers,Both sexes,Master's,S&E occupations,Engineers,,4,443000,472000,456000,525000,548000,619000
5291,r026,Both sexes -> Master's -> S&E-related occupations,Both sexes,Master's,S&E-related occupations,,,3,1208000,1765000,1945000,2064000,2262000,2332000
