table_id,row_id,_b_consortium_b_full_path,_b_consortium_b_level_1,_b_consortium_b_level_2,_b_consortium_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11247,r001,All consortia,All consortia,,1,622790,570107,51016,0,150,1517
11247,r002,All consortia -> Alaska Native Tribal Health Consortium,All consortia,Alaska Native Tribal Health Consortium,2,4917,4917,0,na,na,na
11247,r003,All consortia -> American Indian Higher Education Consortium,All consortia,American Indian Higher Education Consortium,2,2025,603,0,0,150,1272
11247,r004,All consortia -> Arctic Research Consortium of the United States,All consortia,Arctic Research Consortium of the United States,2,393,393,0,na,na,na
11247,r005,All consortia -> Association of Universities for Research in Astronomy,All consortia,Association of Universities for Research in Astronomy,2,310227,262739,47488,0,0,0
11247,r006,All consortia -> Astrophysical Research Consortium,All consortia,Astrophysical Research Consortium,2,1435,0,1435,na,na,na
11247,r007,All consortia -> Clinical Data Interchange Standards Consortium Inc.,All consortia,Clinical Data Interchange Standards Consortium Inc.,2,231,231,0,na,na,na
11247,r008,All consortia -> Commonwealth Center for Advanced Manufacturing,All consortia,Commonwealth Center for Advanced Manufacturing,2,550,550,0,na,na,na
11247,r009,All consortia -> Consortium for Ocean Leadership,All consortia,Consortium for Ocean Leadership,2,650,650,0,0,0,0
11247,r010,All consortia -> Consortium of Universities for the Advancement of Hydrologic Science Inc.,All consortia,Consortium of Universities for the Advancement of Hydrologic Science Inc.,2,3166,3166,0,na,na,na
11247,r011,All consortia -> Consortium of Universities of the Washington Metropolitan Area,All consortia,Consortium of Universities of the Washington Metropolitan Area,2,4462,4462,0,0,0,0
11247,r012,All consortia -> Great Lakes Inter-Tribal Council Inc.,All consortia,Great Lakes Inter-Tribal Council Inc.,2,522,522,0,na,na,na
11247,r013,All consortia -> Louisiana Universities Marine Consortium,All consortia,Louisiana Universities Marine Consortium,2,3539,3476,63,na,na,na
11247,r014,All consortia -> Marine Environmental Sciences Consortium,All consortia,Marine Environmental Sciences Consortium,2,499,499,0,0,0,0
11247,r015,All consortia -> National Consortium for Graduate Degrees for Minorities in Engineering and Science Inc.,All consortia,National Consortium for Graduate Degrees for Minorities in Engineering and Science Inc.,2,3254,3254,0,na,na,na
11247,r016,All consortia -> National Physical Science Consortium,All consortia,National Physical Science Consortium,2,668,423,0,0,0,245
11247,r017,All consortia -> New Jersey Sea Grant Consortium Inc.,All consortia,New Jersey Sea Grant Consortium Inc.,2,2027,2027,0,0,0,0
11247,r018,All consortia -> New Mexico Consortium,All consortia,New Mexico Consortium,2,1225,1225,0,0,0,0
11247,r019,All consortia -> New York Structural Biology Center,All consortia,New York Structural Biology Center,2,6560,6560,0,0,0,0
11247,r020,All consortia -> Northeast Radio Observatory Corp.,All consortia,Northeast Radio Observatory Corp.,2,2000,0,2000,na,na,na
11247,r021,All consortia -> Oak Ridge Associated Universities,All consortia,Oak Ridge Associated Universities,2,54914,54884,30,0,0,0
11247,r022,All consortia -> South Carolina Sea Grant Consortium,All consortia,South Carolina Sea Grant Consortium,2,1997,1997,0,0,0,0
11247,r023,All consortia -> Southwestern Ohio Council for Higher Education,All consortia,Southwestern Ohio Council for Higher Education,2,3194,3194,0,0,0,0
11247,r024,All consortia -> SRCCO Inc.,All consortia,SRCCO Inc.,2,19991,19991,0,na,na,na
11247,r025,All consortia -> Stephenson Technologies Corp.,All consortia,Stephenson Technologies Corp.,2,350,350,0,na,na,na
11247,r026,All consortia -> U. Corp. for Atmospheric Research,All consortia,U. Corp. for Atmospheric Research,2,176701,176701,0,0,0,0
11247,r027,All consortia -> UNAVCO Inc.,All consortia,UNAVCO Inc.,2,15197,15197,0,0,0,0
11247,r028,All consortia -> Universities Research Association,All consortia,Universities Research Association,2,96,96,0,na,na,na
11247,r029,All consortia -> West Virginia High Technology Consortium Foundation,All consortia,West Virginia High Technology Consortium Foundation,2,2000,2000,0,na,na,na
