table_id,row_id,_b_region_country_or_economy_b_full_path,_b_region_country_or_economy_b_level_1,_b_region_country_or_economy_b_level_2,_b_region_country_or_economy_b_level_3,_b_region_country_or_economy_b_hierarchy_depth,field_total,field_dot,field_nsf
10284,r001,All areas,All areas,,,1,236,126,110
10284,r002,All areas -> North America,All areas,North America,,2,236,126,110
10284,r003,All areas -> North America -> Bermuda,All areas,North America,Bermuda,3,110,0,110
10284,r004,All areas -> North America -> Canada,All areas,North America,Canada,3,126,126,0
