table_id,row_id,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_full_path,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_hierarchy_depth,field_all_organizations_,field_organizations_with_r_d_activity,field_organizations_without_r_d_activity
8052,r001,All organizations ,All organizations ,,1,"['9,041,217', '  ']","['3,136,658', '  ']","['5,904,559', '  ']"
8052,r002,All organizations  -> Healthcare,All organizations ,Healthcare,2,"['7,269,716', '  ']","['2,907,835', '  ']","['4,361,881', '  ']"
8052,r003,All organizations  -> Science and technology,All organizations ,Science and technology,2,"['86,164', '  ']","['81,142', '  ']","['5,022', '  ']"
8052,r004,All organizations  -> Other nonprofit organizations ,All organizations ,Other nonprofit organizations ,2,"['1,685,336', '  ']","['147,681', '  ']","['1,537,656', '  ']"
