table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013
10892,r001,All locations,All locations,,,1,101366,109733,116586,119302,124900,125092,138975,138156,132794,135995,122985
10892,r002,All locations -> Alabama,All locations,Alabama,,2,3212,3036,3108,2198,2248,2782,3023,3477,5202,5159,4716
10892,r003,All locations -> Alaska,All locations,Alaska,,2,399,461,495,212,264,222,247,236,196,159,185
10892,r004,All locations -> Arizona,All locations,Arizona,,2,2385,2644,2959,2460,2422,2449,3142,3426,2917,2405,2369
10892,r005,All locations -> Arkansas,All locations,Arkansas,,2,145,147,165,162,178,145,171,182,179,184,167
10892,r006,All locations -> California,All locations,California,,2,20170,19259,19964,26898,26987,19939,26989,27227,22769,18036,16181
10892,r007,All locations -> Colorado,All locations,Colorado,,2,1735,2068,2265,2189,2798,2668,3862,4348,3816,3745,3394
10892,r008,All locations -> Connecticut,All locations,Connecticut,,2,2068,2123,2400,1947,2117,1815,2365,2193,2426,2231,2517
10892,r009,All locations -> Delaware,All locations,Delaware,,2,95,90,94,113,131,144,225,129,115,109,112
10892,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,2986,3329,4162,4193,4278,17537,4265,3890,3014,3339,3908
10892,r011,All locations -> Florida,All locations,Florida,,2,2854,3265,2590,3346,4078,2290,3734,3142,2482,2356,2282
10892,r012,All locations -> Georgia,All locations,Georgia,,2,2133,1907,2182,1751,1686,1386,1958,1520,1422,1133,1130
10892,r013,All locations -> Hawaii,All locations,Hawaii,,2,414,488,600,380,379,348,387,389,404,383,348
10892,r014,All locations -> Idaho,All locations,Idaho,,2,218,289,290,300,287,355,388,479,430,447,381
10892,r015,All locations -> Illinois,All locations,Illinois,,2,1935,1880,2128,2003,2145,2169,2746,2631,2878,2399,2327
10892,r016,All locations -> Indiana,All locations,Indiana,,2,574,557,567,583,597,672,1109,989,903,838,693
10892,r017,All locations -> Iowa,All locations,Iowa,,2,499,538,488,549,662,635,683,909,695,613,560
10892,r018,All locations -> Kansas,All locations,Kansas,,2,269,287,358,294,318,300,464,348,368,232,234
10892,r019,All locations -> Kentucky,All locations,Kentucky,,2,247,252,296,240,222,252,319,287,242,308,307
10892,r020,All locations -> Louisiana,All locations,Louisiana,,2,453,447,444,323,419,406,406,331,597,314,278
10892,r021,All locations -> Maine,All locations,Maine,,2,167,210,292,229,379,168,194,163,180,248,170
10892,r022,All locations -> Maryland,All locations,Maryland,,2,8027,12609,12501,12747,11906,13313,15971,15879,15751,15598,15606
10892,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,5492,5964,6592,6876,7529,6883,9047,8747,7758,6279,5691
10892,r024,All locations -> Michigan,All locations,Michigan,,2,1693,1118,1177,1700,1726,1866,2427,2510,2153,2206,1826
10892,r025,All locations -> Minnesota,All locations,Minnesota,,2,866,831,768,1242,1387,1393,1551,1063,949,961,940
10892,r026,All locations -> Mississippi,All locations,Mississippi,,2,1181,1599,438,555,434,435,385,422,588,543,568
10892,r027,All locations -> Missouri,All locations,Missouri,,2,1349,3059,4202,1316,1221,1111,1285,1151,1193,1123,1056
10892,r028,All locations -> Montana,All locations,Montana,,2,131,189,182,151,654,159,171,139,182,190,135
10892,r029,All locations -> Nebraska,All locations,Nebraska,,2,168,210,193,178,230,205,220,240,262,262,201
10892,r030,All locations -> Nevada,All locations,Nevada,,2,419,555,593,436,321,313,558,380,478,482,585
10892,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,512,422,514,400,340,294,458,350,406,491,296
10892,r032,All locations -> New Jersey,All locations,New Jersey,,2,2088,2274,2525,2173,2192,2193,2492,2853,2583,2167,1727
10892,r033,All locations -> New Mexico,All locations,New Mexico,,2,3090,3363,3593,3315,3478,3503,3696,3338,3456,3379,3421
10892,r034,All locations -> New York,All locations,New York,,2,4382,4505,5320,5368,5368,4651,6242,5602,5042,4727,4605
10892,r035,All locations -> North Carolina,All locations,North Carolina,,2,1617,1684,1806,1771,1828,1773,2022,2151,2060,1922,1759
10892,r036,All locations -> North Dakota,All locations,North Dakota,,2,107,109,118,118,116,98,101,120,118,88,90
10892,r037,All locations -> Ohio,All locations,Ohio,,2,2967,2794,2961,2724,3661,2580,4460,4099,3555,3436,2426
10892,r038,All locations -> Oklahoma,All locations,Oklahoma,,2,570,498,401,271,253,261,370,430,463,450,262
10892,r039,All locations -> Oregon,All locations,Oregon,,2,514,505,650,510,506,581,635,675,711,632,529
10892,r040,All locations -> Pennsylvania,All locations,Pennsylvania,,2,3989,3731,3677,3300,3360,3279,4298,4963,4513,3725,3295
10892,r041,All locations -> Rhode Island,All locations,Rhode Island,,2,566,642,889,623,628,644,679,670,610,557,486
10892,r042,All locations -> South Carolina,All locations,South Carolina,,2,454,384,493,374,422,453,662,662,497,555,397
10892,r043,All locations -> South Dakota,All locations,South Dakota,,2,55,70,70,76,62,76,79,75,61,63,57
10892,r044,All locations -> Tennessee,All locations,Tennessee,,2,1131,1382,1426,1489,1908,1690,2081,2105,1899,2112,2119
10892,r045,All locations -> Texas,All locations,Texas,,2,5414,5507,5187,5915,6693,5030,6031,6896,5475,5620,5234
10892,r046,All locations -> Utah,All locations,Utah,,2,803,1184,1058,846,991,700,1169,1709,1756,972,919
10892,r047,All locations -> Vermont,All locations,Vermont,,2,201,417,263,106,108,121,151,142,124,103,103
10892,r048,All locations -> Virginia,All locations,Virginia,,2,6709,7298,8746,8994,9088,9282,9381,9112,8287,8130,6488
10892,r049,All locations -> Washington,All locations,Washington,,2,2442,2311,2641,4087,4751,4340,4157,3915,4931,2757,3433
10892,r050,All locations -> West Virginia,All locations,West Virginia,,2,383,316,808,301,219,225,263,313,240,263,171
10892,r051,All locations -> Wisconsin,All locations,Wisconsin,,2,658,646,652,636,671,661,886,796,742,734,654
10892,r052,All locations -> Wyoming,All locations,Wyoming,,2,43,48,38,36,37,47,65,37,37,76,41
10892,r053,All locations -> Outlying areas,All locations,Outlying areas,,2,323,135,161,161,178,160,237,263,269,193,229
10892,r054,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,112,101,101,99,86,85,96,95,97,71,83
10892,r055,All locations -> Outlying areas -> Other areas<sup>a</sup>,All locations,Outlying areas,Other areas<sup>a</sup>,3,211,34,59,62,93,75,141,168,172,122,146
10892,r056,All locations -> Offices abroad<sup>b</sup>,All locations,Offices abroad<sup>b</sup>,,2,61,99,97,138,40,87,68,54,36,92,166
10892,r057,All locations -> Undistributed<sup>c</sup>,All locations,Undistributed<sup>c</sup>,,2,NA,NA,NA,NA,NA,NA,NA,NA,4373,20468,15211
