table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1242,r001,All occupations,All occupations,,,,1,145362,139877,139062,139869,142469,143929,146305,148834,151436,153337
1242,r002,"All occupations -> Management, professional, and related occupations",All occupations,"Management, professional, and related occupations",,,2,52634,52047,51721,52217,53831,54738,55829,58002,59293,60719
1242,r003,"All occupations -> Management, professional, and related occupations -> Management, business, and financial operations occupations",All occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",,3,21924,21581,20938,21175,22400,22626,22843,23827,24535,24943
1242,r004,"All occupations -> Management, professional, and related occupations -> Professional and related occupations",All occupations,"Management, professional, and related occupations",Professional and related occupations,,3,30710,30466,30783,31042,31431,32112,32986,34174,34758,35776
1242,r005,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Architect",All occupations,"Management, professional, and related occupations",Professional and related occupations,Architect,4,225,208,188,176,194,185,188,191,237,268
1242,r006,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Biological or life scientist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Biological or life scientist,4,299,331,307,339,304,330,306,301,304,332
1242,r007,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Chemist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Chemist,4,108,117,106,87,102,113,105,97,96,101
1242,r008,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Dietitian",All occupations,"Management, professional, and related occupations",Professional and related occupations,Dietitian,4,107,98,110,104,109,107,117,119,118,117
1242,r009,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Economist and market and survey researcher",All occupations,"Management, professional, and related occupations",Professional and related occupations,Economist and market and survey researcher,4,159,155,180,221,241,264,318,291,336,361
1242,r010,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Engineer",All occupations,"Management, professional, and related occupations",Professional and related occupations,Engineer,4,1975,1840,1818,1977,1995,2018,1996,2075,2243,2336
1242,r011,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Engineering and related technologist or technician",All occupations,"Management, professional, and related occupations",Professional and related occupations,Engineering and related technologist or technician,4,690,584,580,586,614,567,555,590,575,574
1242,r012,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Health technologist or technician",All occupations,"Management, professional, and related occupations",Professional and related occupations,Health technologist or technician,4,2295,2471,2509,2505,2416,2551,2693,2844,2854,2860
