table_id,row_id,age_years_full_path,age_years_level_1,age_years_level_2,age_years_hierarchy_depth,field_all_residents,field_female_number,field_female_percent,field_male_number,field_male_percent
1233,r001,Total,Total,,1,325719178,165311059,50.8,160408119,49.2
1233,r002,Total ->   Younger than 5,Total,  Younger than 5,2,19938860,9742892,48.9,10195968,51.1
1233,r003,Total ->   5 to 9,Total,  5 to 9,2,20304238,9936097,48.9,10368141,51.1
1233,r004,Total ->   10 to 14,Total,  10 to 14,2,20778454,10173382,49.0,10605072,51.0
1233,r005,Total ->   15 to 19,Total,  15 to 19,2,21131660,10331169,48.9,10800491,51.1
1233,r006,Total ->   20 to 24,Total,  20 to 24,2,22118635,10769493,48.7,11349142,51.3
1233,r007,Total ->   25 to 29,Total,  25 to 29,2,23370460,11468230,49.1,11902230,50.9
1233,r008,Total ->   30 to 34,Total,  30 to 34,2,21972212,10883081,49.5,11089131,50.5
1233,r009,Total ->   35 to 39,Total,  35 to 39,2,21231997,10616012,50.0,10615985,50.0
1233,r010,Total ->   40 to 44,Total,  40 to 44,2,19643373,9890258,50.3,9753115,49.7
1233,r011,Total ->   45 to 49,Total,  45 to 49,2,20973858,10587683,50.5,10386175,49.5
1233,r012,Total ->   50 to 54,Total,  50 to 54,2,21401094,10880912,50.8,10520182,49.2
1233,r013,Total ->   55 to 59,Total,  55 to 59,2,22007956,11307436,51.4,10700520,48.6
1233,r014,Total ->   60 to 64,Total,  60 to 64,2,19987702,10430419,52.2,9557283,47.8
1233,r015,Total ->   65 to 69,Total,  65 to 69,2,16836381,8906513,52.9,7929868,47.1
1233,r016,Total ->   70 to 74,Total,  70 to 74,2,12847065,6899793,53.7,5947272,46.3
1233,r017,Total ->   75 to 79,Total,  75 to 79,2,8741261,4842445,55.4,3898816,44.6
1233,r018,Total ->   80 to 84,Total,  80 to 84,2,5965290,3456231,57.9,2509059,42.1
1233,r019,Total ->   85 and over,Total,  85 and over,2,6468682,4189013,64.8,2279669,35.2
1233,r020,Age groups,Age groups,,1,,,,,
1233,r021,Age groups -> Younger than 18,Age groups,Younger than 18,2,73655378,36033608,48.9,37621770,51.1
1233,r022,Age groups -> 18 to 64,Age groups,18 to 64,2,201205121,100983456,50.2,100221665,49.8
1233,r023,Age groups ->   18 to 24,Age groups,  18 to 24,2,30616469,14919425,48.7,15697044,51.3
1233,r024,Age groups ->   25 to 44,Age groups,  25 to 44,2,86218042,42857581,49.7,43360461,50.3
1233,r025,Age groups ->   45 to 64,Age groups,  45 to 64,2,84370610,43206450,51.2,41164160,48.8
1233,r026,Age groups -> 65 and over,Age groups,65 and over,2,50858679,28293995,55.6,22564684,44.4
