table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_personnel_headcount_total_,field_r_d_personnel_headcount_researchersa,field_r_d_personnel_headcount_technicians,field_r_d_personnel_headcount_support_staff,field_r_d_personnel_full_time_equivalents_total_,field_r_d_personnel_full_time_equivalents_researchersa,field_r_d_personnel_full_time_equivalents_technicians,field_r_d_personnel_full_time_equivalents_support_staff
7801,r001,United States<sup>b</sup>,United States<sup>b</sup>,,1,9132,4854,2981,1297,6387.5,3532.8,1949.0,905.7
7801,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,2,154,105,33,16,85.0,62.3,12.3,10.4
7801,r003,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,2,74,50,13,11,58.0,41.5,10.0,6.5
7801,r004,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,2,45,24,14,7,39.4,20.5,12.0,6.9
7801,r005,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,2,11,7,2,2,3.0,2.6,0.2,0.2
7801,r006,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,2,571,446,13,112,464.6,377.7,6.3,80.6
7801,r007,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,2,85,67,5,13,65.0,52.3,4.3,8.4
7801,r008,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,2,212,156,40,16,170.4,120.9,36.0,13.5
7801,r009,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,2,18,13,2,3,18.0,13.0,2.0,3.0
7801,r010,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,2,61,30,18,13,49.5,29.5,7.2,12.8
7801,r011,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,2,808,609,68,131,722.1,553.9,46.9,121.3
7801,r012,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,2,14,5,5,4,7.7,3.0,2.9,1.8
7801,r013,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,2,15,7,2,6,5.9,2.3,0.4,3.2
7801,r014,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,2,105,33,68,4,82.0,23.6,56.4,2.0
7801,r015,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,2,9,5,2,2,6.4,3.8,1.8,0.8
7801,r016,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,2,44,22,15,7,15.8,11.5,3.0,1.3
7801,r017,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,2,40,22,18,0,8.3,6.7,1.6,0.0
7801,r018,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,2,27,16,5,6,21.1,11.1,5.0,5.0
7801,r019,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,2,48,24,20,4,20.4,10.2,8.3,1.9
7801,r020,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,2,218,124,61,33,85.3,60.9,16.5,7.9
7801,r021,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,2,166,68,47,51,141.3,54.3,44.5,42.5
7801,r022,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,2,23,16,6,1,18.0,13.0,3.0,2.0
7801,r023,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,2,100,44,48,8,18.4,10.3,6.0,2.1
7801,r024,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,2,6,4,1,1,1.6,1.0,0.2,0.4
