table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008a,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1464,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['NA', '&nbsp;']","['336,571', '&nbsp;']","['338,451', '&nbsp;']","['359,490', '&nbsp;']","['374,916', '&nbsp;']","['396,352', '&nbsp;']","['416,343', '&nbsp;']","['429,174', '&nbsp;']","['451,831', ' ']"
1464,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['NA', '&nbsp;']","['236,858', '&nbsp;']","['243,611', '&nbsp;']","['253,821', '&nbsp;']","['261,697', '&nbsp;']","['276,110', '&nbsp;']","['285,661', '&nbsp;']","['287,895', '&nbsp;']","['303,241', ' ']"
1464,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['NA', '&nbsp;']","['4,916', '&nbsp;']","['D', '&nbsp;']","['5,589', '&nbsp;']","['5,163', '&nbsp;']","['6,335', '&nbsp;']","['6,136', '&nbsp;']","['6,058', 'i']","['5,821', ' ']"
1464,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['NA', '&nbsp;']","['933', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,358', '&nbsp;']","['1,423', '&nbsp;']","['1,529', '&nbsp;']","['D', ' ']"
1464,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['NA', '&nbsp;']","['519', '&nbsp;']","['522', '&nbsp;']","['656', '&nbsp;']","['605', '&nbsp;']","['759', '&nbsp;']","['734', '&nbsp;']","['818', '&nbsp;']","['1,246', 'i']"
1464,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['NA', '&nbsp;']","['283', '&nbsp;']","['254', '&nbsp;']","['211', '&nbsp;']","['282', '&nbsp;']","['222', '&nbsp;']","['341', 'i']","['198', '&nbsp;']","['203', ' ']"
1464,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,665', '&nbsp;']","['769', '&nbsp;']","['858', '&nbsp;']","['1,022', '&nbsp;']","['880', '&nbsp;']","['867', '&nbsp;']","['929', ' ']"
1464,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['NA', '&nbsp;']","['217', '&nbsp;']","['269', '&nbsp;']","['212', '&nbsp;']","['291', 'i']","['258', 'i']","['238', '&nbsp;']","['198', 'i']","['223', 'i']"
1464,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['1,281', '&nbsp;']","['D', '&nbsp;']","['327', '&nbsp;']","['298', '&nbsp;']","['252', '&nbsp;']","['425', ' ']"
1464,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['NA', '&nbsp;']","['64,442', '&nbsp;']","['72,610', '&nbsp;']","['72,068', '&nbsp;']","['70,218', '&nbsp;']","['74,551', '&nbsp;']","['79,428', '&nbsp;']","['80,961', '&nbsp;']","['85,888', ' ']"
1464,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,671', '&nbsp;']","['5,166', '&nbsp;']","['3,400', '&nbsp;']","['3,336', '&nbsp;']","['3,633', '&nbsp;']","['3,677', '&nbsp;']","['3,082', ' ']"
1464,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,038', '&nbsp;']","['1,117', '&nbsp;']","['D', '&nbsp;']","['1,794', '&nbsp;']","['1,842', '&nbsp;']","['1,780', '&nbsp;']","['1,044', ' ']"
1464,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['2,049', '&nbsp;']","['D', '&nbsp;']","['1,966', 'i']","['2,042', 'i']","['3,405', '&nbsp;']","['D', '&nbsp;']"
1464,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['NA', '&nbsp;']","['53,456', '&nbsp;']","['60,537', '&nbsp;']","['58,866', '&nbsp;']","['58,920', '&nbsp;']","['62,480', '&nbsp;']","['66,731', '&nbsp;']","['D', '&nbsp;']","['74,542', ' ']"
1464,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['NA', '&nbsp;']","['NA', '&nbsp;']","['3,285', '&nbsp;']","['3,386', '&nbsp;']","['3,212', '&nbsp;']","['3,358', '&nbsp;']","['3,501', '&nbsp;']","['D', '&nbsp;']","['3,590', ' ']"
1464,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['1,485', '&nbsp;']","['D', '&nbsp;']","['1,617', '&nbsp;']","['1,679', 'i']","['1,664', '&nbsp;']","['D', ' ']"
1464,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['NA', '&nbsp;']","['2,982', '&nbsp;']","['2,515', '&nbsp;']","['2,640', '&nbsp;']","['4,446', '&nbsp;']","['4,576', '&nbsp;']","['4,519', '&nbsp;']","['2,906', '&nbsp;']","['4,583', ' ']"
1464,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['NA', '&nbsp;']","['1,153', 'i']","['1,596', '&nbsp;']","['1,428', '&nbsp;']","['1,588', 'i']","['1,578', '&nbsp;']","['1,599', '&nbsp;']","['1,487', '&nbsp;']","['1,474', ' ']"
1464,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['NA', '&nbsp;']","['993', '&nbsp;']","['802', '&nbsp;']","['763', '&nbsp;']","['818', '&nbsp;']","['700', '&nbsp;']","['770', '&nbsp;']","['711', '&nbsp;']","['662', ' ']"
1464,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['NA', '&nbsp;']","['2,174', '&nbsp;']","['1,818', '&nbsp;']","['1,993', '&nbsp;']","['1,949', 'i']","['2,303', 'i']","['2,329', '&nbsp;']","['2,467', 'i']","['2,484', ' ']"
1464,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['NA', '&nbsp;']","['11,156', '&nbsp;']","['12,403', '&nbsp;']","['18,312', '&nbsp;']","['17,462', '&nbsp;']","['15,420', '&nbsp;']","['15,089', '&nbsp;']","['16,827', '&nbsp;']","['15,764', ' ']"
1464,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['1,570', '&nbsp;']","['2,142', '&nbsp;']","['2,243', '&nbsp;']","['D', '&nbsp;']","['2,152', '&nbsp;']","['2,189', ' ']"
1464,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['NA', '&nbsp;']","['NA', '&nbsp;']","['2,469', '&nbsp;']","['2,727', '&nbsp;']","['1,357', '&nbsp;']","['3,645', '&nbsp;']","['3,434', '&nbsp;']","['3,812', '&nbsp;']","['4,138', ' ']"
1464,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,795', '&nbsp;']","['2,894', '&nbsp;']","['2,920', '&nbsp;']","['2,327', ' ']"
1464,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['NA', '&nbsp;']","['NA', '&nbsp;']","['6,566', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['7,736', '&nbsp;']","['D', '&nbsp;']","['7,943', '&nbsp;']","['7,109', ' ']"
1464,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['NA', '&nbsp;']","['68,772', '&nbsp;']","['75,345', '&nbsp;']","['79,145', '&nbsp;']","['87,406', '&nbsp;']","['90,114', '&nbsp;']","['94,199', '&nbsp;']","['92,860', '&nbsp;']","['98,175', ' ']"
1464,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['NA', '&nbsp;']","['NA', '&nbsp;']","['17,069', '&nbsp;']","['15,197', '&nbsp;']","['18,877', '&nbsp;']","['20,392', '&nbsp;']","['22,048', '&nbsp;']","['23,049', '&nbsp;']","['16,075', ' ']"
1464,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['NA', '&nbsp;']","['26,082', '&nbsp;']","['29,354', '&nbsp;']","['32,146', '&nbsp;']","['38,300', '&nbsp;']","['40,611', '&nbsp;']","['42,028', '&nbsp;']","['40,348', '&nbsp;']","['41,695', ' ']"
1464,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['NA', '&nbsp;']","['16,498', '&nbsp;']","['17,905', '&nbsp;']","['18,242', '&nbsp;']","['18,640', '&nbsp;']","['18,046', '&nbsp;']","['18,993', '&nbsp;']","['17,020', '&nbsp;']","['18,111', ' ']"
1464,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['NA', '&nbsp;']","['NA', '&nbsp;']","['4,548', '&nbsp;']","['4,987', '&nbsp;']","['4,999', '&nbsp;']","['2,837', '&nbsp;']","['5,049', '&nbsp;']","['3,599', '&nbsp;']","['3,553', ' ']"
1464,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['NA', '&nbsp;']","['NA', '&nbsp;']","['8,769', '&nbsp;']","['8,641', '&nbsp;']","['8,312', '&nbsp;']","['8,753', '&nbsp;']","['8,486', '&nbsp;']","['8,033', '&nbsp;']","['8,373', ' ']"
1464,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['NA', '&nbsp;']","['NA', '&nbsp;']","['4,588', '&nbsp;']","['4,615', '&nbsp;']","['5,329', '&nbsp;']","['6,456', '&nbsp;']","['5,458', '&nbsp;']","['5,387', '&nbsp;']","['6,185', ' ']"
1464,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['NA', '&nbsp;']","['NA', '&nbsp;']","['11,017', '&nbsp;']","['13,559', '&nbsp;']","['11,589', '&nbsp;']","['11,065', '&nbsp;']","['11,130', '&nbsp;']","['12,443', '&nbsp;']","['22,294', ' ']"
1464,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['NA', '&nbsp;']","['4,475', '&nbsp;']","['4,767', '&nbsp;']","['5,319', '&nbsp;']","['4,140', '&nbsp;']","['5,738', '&nbsp;']","['5,705', '&nbsp;']","['5,710', '&nbsp;']","['6,207', ' ']"
1464,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['NA', '&nbsp;']","['56,183', '&nbsp;']","['51,362', '&nbsp;']","['49,030', '&nbsp;']","['50,415', '&nbsp;']","['51,547', '&nbsp;']","['56,597', '&nbsp;']","['57,698', '&nbsp;']","['60,326', ' ']"
1464,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['NA', '&nbsp;']","['NA', '&nbsp;']","['17,764', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['23,610', '&nbsp;']","['D', '&nbsp;']","['25,735', '&nbsp;']","['29,171', ' ']"
1464,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['NA', '&nbsp;']","['36,409', '&nbsp;']","['31,627', '&nbsp;']","['26,858', '&nbsp;']","['D', '&nbsp;']","['25,684', '&nbsp;']","['D', '&nbsp;']","['29,113', '&nbsp;']","['28,462', ' ']"
1464,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",5,336411–13,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['27,463', '&nbsp;']","['27,034', ' ']"
1464,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,425', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,649', 'i']","['1,428', 'i']"
