table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
9649,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,533', '  ']","['969', '  ']","['13', '  ']","['47', '  ']","['3', '  ']","['80', '  ']","['15', '  ']","['89', '  ']","['*', '  ']","['49', '  ']","['268', '  ']"
9649,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['912', '  ']","['328', '  ']","['1', '  ']","['4', '  ']","['1', '  ']","['356', '  ']","['4', '  ']","['21', '  ']","['*', '  ']","['132', '  ']","['64', '  ']"
9649,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['4,291', '  ']","['2,389', '  ']","['44', '  ']","['169', '  ']","['56', '  ']","['1,081', '  ']","['49', '  ']","['92', '  ']","['7', '  ']","['156', 'r ']","['249', '  ']"
9649,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['17,730', '  ']","['10,264', '  ']","['364', '  ']","['784', '  ']","['137', '  ']","['2,430', '  ']","['302', '  ']","['714', '  ']","['49', '  ']","['560', '  ']","['2,125', '  ']"
9649,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,867', '  ']","['1,028', '  ']","['1', '  ']","['79', '  ']","['7', '  ']","['218', '  ']","['9', '  ']","['59', '  ']","['2', '  ']","['139', '  ']","['326', '  ']"
9649,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['5,349', '  ']","['2,742', '  ']","['278', '  ']","['56', '  ']","['37', '  ']","['584', 'i ']","['186', '  ']","['390', '  ']","['9', '  ']","['173', '  ']","['896', '  ']"
9649,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,374', '  ']","['853', '  ']","['7', '  ']","['36', '  ']","['12', '  ']","['106', '  ']","['25', '  ']","['46', '  ']","['7', '  ']","['113', '  ']","['169', '  ']"
9649,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['9,140', '  ']","['5,642', '  ']","['79', '  ']","['614', '  ']","['80', '  ']","['1,523', '  ']","['82', '  ']","['219', '  ']","['31', '  ']","['136', '  ']","['734', '  ']"
9649,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['101,063', '  ']","['57,021', '  ']","['10,716', '  ']","['1,713', '  ']","['1,649', '  ']","['7,263', '  ']","['1,562', '  ']","['5,582', '  ']","['857', '  ']","['1,059', '  ']","['13,641', '  ']"
9649,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['12,557', '  ']","['7,340', '  ']","['888', '  ']","['434', '  ']","['138', '  ']","['309', '  ']","['787', '  ']","['502', '  ']","['25', 'i ']","['145', '  ']","['1,989', '  ']"
9649,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['47,396', '  ']","['25,270', '  ']","['5,017', '  ']","['830', '  ']","['333', '  ']","['4,068', '  ']","['247', '  ']","['2,477', '  ']","['435', '  ']","['281', '  ']","['8,438', '  ']"
9649,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['13,644', '  ']","['8,538', '  ']","['339', '  ']","['264', '  ']","['124', '  ']","['1,453', '  ']","['117', '  ']","['467', '  ']","['26', '  ']","['471', '  ']","['1,846', '  ']"
9649,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['3,087', '  ']","['1,886', '  ']","['200', '  ']","['70', '  ']","['17', '  ']","['203', '  ']","['29', '  ']","['67', '  ']","['19', '  ']","['166', '  ']","['429', '  ']"
9649,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['5,301', '  ']","['3,230', '  ']","['47', '  ']","['99', '  ']","['35', '  ']","['792', '  ']","['39', '  ']","['224', '  ']","['1', '  ']","['104', '  ']","['731', '  ']"
9649,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['5,256', '  ']","['3,421', '  ']","['92', '  ']","['95', '  ']","['73', '  ']","['458', '  ']","['49', '  ']","['176', '  ']","['6', '  ']","['200', '  ']","['686', '  ']"
9649,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['27,465', '  ']","['15,873', '  ']","['4,472', '  ']","['184', '  ']","['1,055', '  ']","['1,433', '  ']","['410', '  ']","['2,137', '  ']","['372', '  ']","['161', '  ']","['1,368', '  ']"
9649,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['5,494', '  ']","['3,440', '  ']","['134', '  ']","['238', '  ']","['51', '  ']","['446', '  ']","['82', '  ']","['134', '  ']","['47', '  ']","['198', '  ']","['725', '  ']"
9649,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['50,760', '  ']","['31,136', '  ']","['390', '  ']","['1,397', '  ']","['637', '  ']","['7,049', '  ']","['323', '  ']","['1,534', '  ']","['457', '  ']","['1,229', '  ']","['6,609', '  ']"
9649,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['26,391', '  ']","['16,671', '  ']","['298', '  ']","['1,072', '  ']","['536', '  ']","['3,219', '  ']","['238', '  ']","['1,085', '  ']","['389', '  ']","['514', '  ']","['2,369', '  ']"
9649,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['21,468', 'i ']","['12,662', 'i ']","['55', '  ']","['246', '  ']","['71', 'i ']","['3,254', 'i ']","['63', '  ']","['385', 'i ']","[' 17 - 69', 'i ']","['642', '  ']","['4,017 - 4,073', '  ']"
9649,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['19,845', 'i ']","['11,653', 'i ']","['54', '  ']","['204', '  ']","['65', 'i ']","['2,836', 'i ']","['61', '  ']","['380', 'i ']","[' 17 - 69', 'i ']","['621', '  ']","['3,901 - 3,957', '  ']"
9649,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['1,623', '  ']","['1,010', '  ']","['1', '  ']","['43', '  ']","['6', '  ']","['418', '  ']","['3', '  ']","['6', '  ']","['0', '  ']","['21', '  ']","['115', '  ']"
9649,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"[' 21 - 25', '  ']","['12', '  ']","['0', '  ']","['2', '  ']","['1', '  ']","['*', 'i ']","['*', '  ']","['2', 'r ']","[' 0 - 2', 'i ']","['1', '  ']","[' 0 - 9', '  ']"
9649,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['2,875 - 2,880', '  ']","['1,790', 'i ']","['37', '  ']","['76', 'i ']","['29', '  ']","['575', 'i ']","['22', 'i ']","['61', 'i ']","[' 0 - 52', 'i ']","['73', 'i ']","[' 158 - 218', 'i ']"
9649,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['426', '  ']","['299', '  ']","['2', '  ']","['11', '  ']","['6', '  ']","['43', '  ']","['2', '  ']","['10', '  ']","['3', '  ']","['22', '  ']","['29', '  ']"
