table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_fy_2020,field_fy_2021,field_fy_2022
12388,r001,All states,All states,,1,"['8,230,657', '  ']","['8,723,736', '  ']","['8,277,041', '  ']"
12388,r002,All states -> Alabama,All states,Alabama,2,"['15,130', '  ']","['21,135', '  ']","['9,305', '  ']"
12388,r003,All states -> Alaska,All states,Alaska,2,"['2,947', '  ']","['8,148', '  ']","['5,407', '  ']"
12388,r004,All states -> Arizona,All states,Arizona,2,"['67,066', '  ']","['14,245', '  ']","['28,432', '  ']"
12388,r005,All states -> Arkansas,All states,Arkansas,2,"['0', '  ']","['0', '  ']","['2,007', '  ']"
12388,r006,All states -> California,All states,California,2,"['1,025,032', '  ']","['800,013', '  ']","['709,614', '  ']"
12388,r007,All states -> Colorado,All states,Colorado,2,"['89,869', '  ']","['107,100', '  ']","['154,771', '  ']"
12388,r008,All states -> Connecticut,All states,Connecticut,2,"['8,372', '  ']","['65,129', '  ']","['7,984', '  ']"
12388,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
12388,r010,All states -> District of Columbia,All states,District of Columbia,2,"['527,641', '  ']","['336,348', '  ']","['428,297', '  ']"
12388,r011,All states -> Florida,All states,Florida,2,"['56,566', '  ']","['59,764', '  ']","['30,918', '  ']"
12388,r012,All states -> Georgia,All states,Georgia,2,"['100,422', '  ']","['170,050', '  ']","['212,781', '  ']"
12388,r013,All states -> Hawaii,All states,Hawaii,2,"['31,538', '  ']","['7,788', '  ']","['383', '  ']"
12388,r014,All states -> Idaho,All states,Idaho,2,"['0', '  ']","['3,773', '  ']","['474', '  ']"
12388,r015,All states -> Illinois,All states,Illinois,2,"['185,382', '  ']","['288,225', '  ']","['322,262', '  ']"
12388,r016,All states -> Indiana,All states,Indiana,2,"['118', '  ']","['7,956', '  ']","['282', '  ']"
12388,r017,All states -> Iowa,All states,Iowa,2,"['1,450', '  ']","['2,276', '  ']","['7,897', '  ']"
12388,r018,All states -> Kansas,All states,Kansas,2,"['718', '  ']","['591', '  ']","['789', '  ']"
12388,r019,All states -> Kentucky,All states,Kentucky,2,"['853', '  ']","['12,420', '  ']","['0', '  ']"
12388,r020,All states -> Louisiana,All states,Louisiana,2,"['11,442', '  ']","['10,320', '  ']","['35,496', '  ']"
12388,r021,All states -> Maine,All states,Maine,2,"['17,546', '  ']","['16,640', '  ']","['25,939', '  ']"
12388,r022,All states -> Maryland,All states,Maryland,2,"['337,758', '  ']","['466,491', '  ']","['267,071', '  ']"
12388,r023,All states -> Massachusetts,All states,Massachusetts,2,"['433,072', '  ']","['538,605', '  ']","['579,112', '  ']"
12388,r024,All states -> Michigan,All states,Michigan,2,"['40,524', '  ']","['69,840', '  ']","['36,469', '  ']"
12388,r025,All states -> Minnesota,All states,Minnesota,2,"['37,423', '  ']","['33,234', '  ']","['44,368', '  ']"
12388,r026,All states -> Mississippi,All states,Mississippi,2,"['0', '  ']","['425', '  ']","['0', '  ']"
12388,r027,All states -> Missouri,All states,Missouri,2,"['122,903', '  ']","['189,848', '  ']","['72,729', '  ']"
12388,r028,All states -> Montana,All states,Montana,2,"['626', '  ']","['1,409', '  ']","['941', '  ']"
12388,r029,All states -> Nebraska,All states,Nebraska,2,"['15,302', '  ']","['18,918', '  ']","['17,116', '  ']"
12388,r030,All states -> Nevada,All states,Nevada,2,"['163', '  ']","['5,554', '  ']","['5,328', '  ']"
12388,r031,All states -> New Hampshire,All states,New Hampshire,2,"['6,700', '  ']","['46', '  ']","['8,029', '  ']"
12388,r032,All states -> New Jersey,All states,New Jersey,2,"['32,664', '  ']","['142,649', '  ']","['64,487', '  ']"
12388,r033,All states -> New Mexico,All states,New Mexico,2,"['4,785', '  ']","['4,317', '  ']","['1,440', '  ']"
12388,r034,All states -> New York,All states,New York,2,"['1,131,541', '  ']","['1,617,093', '  ']","['1,654,271', '  ']"
12388,r035,All states -> North Carolina,All states,North Carolina,2,"['141,516', '  ']","['225,739', '  ']","['497,963', '  ']"
12388,r036,All states -> North Dakota,All states,North Dakota,2,"['30,480', '  ']","['0', '  ']","['0', '  ']"
12388,r037,All states -> Ohio,All states,Ohio,2,"['45,626', '  ']","['81,947', '  ']","['109,919', '  ']"
12388,r038,All states -> Oklahoma,All states,Oklahoma,2,"['3,365', '  ']","['71,140', '  ']","['5,414', '  ']"
12388,r039,All states -> Oregon,All states,Oregon,2,"['23,622', '  ']","['40,137', '  ']","['2,943', '  ']"
12388,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['147,428', '  ']","['249,922', '  ']","['463,874', '  ']"
12388,r041,All states -> Rhode Island,All states,Rhode Island,2,"['17,012', '  ']","['30,423', '  ']","['5,692', '  ']"
12388,r042,All states -> South Carolina,All states,South Carolina,2,"['4,482', '  ']","['10,523', '  ']","['8,419', '  ']"
12388,r043,All states -> South Dakota,All states,South Dakota,2,"['359', '  ']","['1,749', '  ']","['0', '  ']"
12388,r044,All states -> Tennessee,All states,Tennessee,2,"['52,518', '  ']","['49,687', '  ']","['44,110', '  ']"
12388,r045,All states -> Texas,All states,Texas,2,"['320,951', '  ']","['336,059', '  ']","['358,670', '  ']"
12388,r046,All states -> Utah,All states,Utah,2,"['239', '  ']","['1,921', '  ']","['25,914', '  ']"
12388,r047,All states -> Vermont,All states,Vermont,2,"['87', '  ']","['214', '  ']","['0', '  ']"
12388,r048,All states -> Virginia,All states,Virginia,2,"['167,505', '  ']","['269,736', '  ']","['168,934', '  ']"
12388,r049,All states -> Washington,All states,Washington,2,"['2,950,213', '  ']","['2,270,546', '  ']","['1,779,421', '  ']"
12388,r050,All states -> West Virginia,All states,West Virginia,2,"['2,623', '  ']","['1,318', '  ']","['0', '  ']"
12388,r051,All states -> Wisconsin,All states,Wisconsin,2,"['16,506', '  ']","['61,707', '  ']","['71,038', '  ']"
12388,r052,All states -> Wyoming,All states,Wyoming,2,"['572', '  ']","['618', '  ']","['331', '  ']"
