table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2020_actuala,field_2021_preliminarya,field_2022_proposed
5533,r001,All functions conducting R&D,All functions conducting R&D,,1,2.7,3.0,3.9
5533,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,10.6,10.6,10.2
5533,r003,All functions conducting R&D -> Health,All functions conducting R&D,Health,2,4.8,4.8,6.5
5533,r004,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,65.1,56.1,58.0
5533,r005,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,87.2,85.2,64.2
5533,r006,All functions conducting R&D -> Energy,All functions conducting R&D,Energy,2,68.4,86.4,12.2
5533,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,5.3,5.9,4.2
5533,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,3.8,5.7,12.4
5533,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,1.0,0.8,1.1
5533,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,0.6,0.6,0.5
5533,r011,All functions conducting R&D -> Commerce and housing credit<sup>b</sup>,All functions conducting R&D,Commerce and housing credit<sup>b</sup>,2,0.1,-0.5,3.8
5533,r012,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,0.2,0.2,0.4
5533,r013,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,0.7,0.8,0.8
5533,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,0.3,0.3,0.3
5533,r015,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0.05,0.05,0.05
5533,r016,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,0.1,0.1,0.2
5533,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0.05,0.05,0.05
